time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
200.005;2.840753;4.763187;5980.345;-4993.105;987.2404;14127.785;0.0;0.0;1825.7017
200.01;2.945414;5.0708585;6183.7534;-4904.9785;1278.775;15242.82;0.0;0.0;1814.9673
200.015;3.0478613;5.421145;6400.6704;-4789.3325;1611.3376;16546.8;0.0;0.0;1804.5476
200.02;3.1590683;5.8012247;6643.5596;-4660.8027;1982.7571;17943.074;0.0;0.0;1794.4598
200.025;3.2871578;6.194045;6920.6987;-4536.0273;2384.6714;19322.377;0.0;0.0;1784.7128
200.03;3.429914;6.607276;7217.599;-4402.5684;2815.031;20754.586;0.0;0.0;1775.3047
200.035;3.5773132;7.0463057;7520.344;-4251.426;3268.9187;22295.68;0.0;0.0;1766.2385
200.04;3.7268064;7.5040054;7828.574;-4086.371;3742.203;23908.176;0.0;0.0;1757.5201
200.045;3.8806288;7.9511395;8155.665;-3934.705;4220.96;25411.912;0.0;0.0;1749.1515
200.05;4.0494623;8.345977;8520.712;-3834.8032;4685.9087;26552.559;0.0;0.0;1741.1176
200.055;4.237956;8.675197;8913.242;-3794.52;5118.7227;27285.773;0.0;0.0;1733.3807
200.06;4.4304285;8.972199;9290.251;-3773.2834;5516.9673;27874.78;0.0;0.0;1725.8971
200.065;4.6035466;9.274301;9618.32;-3731.56;5886.7603;28581.004;0.0;0.0;1718.6433
200.07;4.751351;9.579159;9904.227;-3673.8535;6230.373;29379.092;0.0;0.0;1711.6168
200.075;4.884812;9.873347;10167.562;-3617.6326;6549.929;30161.553;0.0;0.0;1704.8145
200.08;5.009951;10.156327;10412.491;-3565.041;6847.4497;30918.223;0.0;0.0;1698.2256
200.085;5.12509;10.436557;10633.319;-3507.277;7126.042;31704.31;0.0;0.0;1691.84
200.09;5.2266083;10.723478;10826.244;-3435.8315;7390.4126;32575.666;0.0;0.0;1685.6519
200.095;5.315496;11.016934;10998.819;-3352.475;7646.3438;33516.516;0.0;0.0;1679.6613
200.1;5.3973484;11.313041;11156.902;-3261.8882;7895.014;34495.793;0.0;0.0;1673.8677
200.105;5.4713235;11.620607;11290.15;-3153.1123;8137.0376;35578.586;0.0;0.0;1668.2688
200.11;5.5293593;11.950421;11384.568;-3013.4116;8371.156;36846.75;0.0;0.0;1662.8671
200.115;5.568071;12.292593;11450.184;-2852.1753;8598.009;38230.84;0.0;0.0;1657.6705
200.12;5.5997686;12.620551;11510.816;-2697.8677;8812.949;39551.64;0.0;0.0;1652.682
200.125;5.631183;12.932011;11581.022;-2555.439;9025.584;40769.574;0.0;0.0;1647.8907
200.13;5.6731496;13.191314;11684.629;-2460.7441;9223.885;41662.01;0.0;0.0;1643.285
200.135;5.7328467;13.416636;11803.24;-2394.1865;9409.054;42356.516;0.0;0.0;1638.8358
200.14;5.7884493;13.6500225;11901.094;-2312.1133;9588.98;43131.67;0.0;0.0;1634.5238
200.145;5.832004;13.88096;11995.636;-2227.2725;9768.363;43901.234;0.0;0.0;1630.3508
200.15;5.88759;14.047399;12138.005;-2201.717;9936.288;44260.42;0.0;0.0;1626.3137
200.155;5.9714217;14.156087;12316.377;-2226.7324;10089.645;44266.855;0.0;0.0;1622.3789
200.16;6.058348;14.244209;12494.328;-2263.373;10230.955;44174.805;0.0;0.0;1618.5165
