time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;8.45475;0.0140912505
0.01;0.00021316613;0.003552769;8.314255;0.027948342
0.015;0.0008454789;0.00939421;7.904958;0.04112327
0.02;0.0018760271;0.015633559;7.2612467;0.05322535
0.025;0.0032719807;0.021813205;6.4334984;0.06394785
0.03;0.0049911896;0.027728831;5.4804034;0.07308185
0.035;0.00698527;0.03326319;4.46196;0.080518454
0.04;0.009202597;0.038344156;3.4338405;0.08624152
0.045;0.0115911355;0.04293013;2.4438958;0.09031468
0.05;0.014100957;0.047003187;1.5302091;0.09286503
0.055;0.01668603;0.050563727;0.7204772;0.09406582
0.06;0.01930562;0.053626724;0.03231469;0.09411968
0.065;0.021925237;0.056218557;-0.52584803;0.09324326
0.07;0.024516925;0.05837363;-0.9534986;0.0916541
0.075;0.027059361;0.060131915;-1.2566073;0.089559756
0.08;0.02953753;0.061536524;-1.4461254;0.087149546
0.085;0.03194211;0.06263159;-1.5365396;0.08458865
0.09;0.034268808;0.06346075;-1.5445048;0.08201447
0.095;0.03651741;0.064065635;-1.4876434;0.07953507
0.1;0.03869095;0.06448492;-1.383467;0.07722929
0.105;0.04079499;0.06475396;-1.2484984;0.07514846
0.11;0.04283638;0.0649036;-1.097588;0.073319145
0.115;0.044822764;0.064960524;-0.9434248;0.071746774
0.12;0.046762127;0.0649474;-0.79623646;0.070419714
0.125;0.0486618;0.0648824;-0.6636742;0.069313586
0.13;0.05052871;0.0647804;-0.55086124;0.06839549
0.135;0.052368175;0.06465206;-0.4605675;0.06762787
0.14;0.054184932;0.06450587;-0.39348873;0.06697206
0.145;0.055982247;0.06434741;-0.34860352;0.06639105
0.15;0.05776235;0.06418038;-0.32355967;0.065851785
0.155;0.05952642;0.0640069;-0.31507525;0.06532666
0.16;0.061274897;0.06382802;-0.3193281;0.06479445
0.165;0.063007414;0.06364385;-0.33230454;0.064240605
0.17;0.0647234;0.063454315;-0.35010853;0.06365709
0.175;0.066421814;0.06325887;-0.36920395;0.063041754
0.18;0.068101674;0.0630571;-0.38659889;0.06239742
0.185;0.069762155;0.06284879;-0.39995554;0.061730828
0.19;0.071402445;0.06263372;-0.40764338;0.06105142
0.195;0.073022336;0.062412255;-0.40873092;0.060370203
0.2;0.07462152;0.0621846;-0.4029368;0.05969864
0.205;0.076200575;0.061951686;-0.3905443;0.059047736
0.21;0.077759825;0.06171415;-0.37229297;0.05842725
0.215;0.079300426;0.0614732;-0.34926084;0.057845145
0.22;0.0808235;0.061229926;-0.32273698;0.05730725
0.225;0.08233042;0.060985498;-0.2940996;0.056817085
0.23;0.08382281;0.060741164;-0.26471072;0.056375902
0.235;0.085301794;0.060497727;-0.2358192;0.05598287
0.24;0.086769186;0.06025638;-0.20849009;0.055635385
0.245;0.08822627;0.060017873;-0.18355505;0.05532946
0.25;0.08967408;0.059782717;-0.16159122;0.05506014
0.255;0.0911141;0.0595517;-0.14292498;0.054821935
0.26;0.09254702;0.059325017;-0.12765469;0.054609176
0.265;0.09397366;0.059102934;-0.115688145;0.054416362
0.27;0.09539458;0.058885545;-0.106781624;0.054238394
0.275;0.09681027;0.058672886;-0.100583486;0.054070752
0.28;0.098220944;0.058464844;-0.09667501;0.05390963
0.285;0.099626824;0.058261298;-0.09460885;0.053751945
0.29;0.10102784;0.05806198;-0.093940206;0.05359538
0.295;0.1024245;0.05786695;-0.094249666;0.0534383
0.3;0.103816286;0.05767571;-0.09515924;0.053279698
0.305;0.10520324;0.05748811;-0.096342154;0.053119127
0.31;0.10658536;0.057303958;-0.09753178;0.052956574
0.315;0.1079626;0.05712307;-0.09852322;0.05279237
0.32;0.10933488;0.05694525;-0.099170044;0.052627087
0.325;0.11070201;0.05677026;-0.09937517;0.05246146
0.33;0.11206404;0.056598;-0.09908364;0.05229632
0.335;0.11342103;0.056428373;-0.0982712;0.052132536
0.34;0.11477285;0.0562612;-0.09693856;0.051970974
0.345;0.11611989;0.056096565;-0.09510107;0.05181247
0.35;0.11746194;0.05593426;-0.0927818;0.051657833
0.355;0.11879926;0.0557743;-0.09000823;0.05150782
0.36;0.12013186;0.0556166;-0.08681121;0.051363137
0.365;0.121460035;0.0554612;-0.08322781;0.05122442
0.37;0.12278402;0.055308115;-0.07930212;0.051092252
0.375;0.1241038;0.055157244;-0.07508891;0.050967105
0.38;0.12541966;0.055008624;-0.07065746;0.05084934
0.385;0.12673213;0.054862395;-0.06609479;0.050739184
0.39;0.12804113;0.054718435;-0.061505243;0.050636675
0.395;0.1293468;0.05457671;-0.05700414;0.05054167
0.4;0.13065004;0.054437518;-0.052706476;0.050453823
0.405;0.13195018;0.05430049;-0.04871483;0.05037263
0.41;0.13324843;0.05416603;-0.04510857;0.05029745
0.415;0.13454409;0.05403377;-0.041936014;0.050227556
0.42;0.13583796;0.053903956;-0.039211664;0.050162204
0.425;0.1371296;0.053776313;-0.036917992;0.050100677
0.43;0.13841957;0.053650994;-0.035010066;0.050042324
0.435;0.13970804;0.053527985;-0.033421304;0.049986623
0.44;0.1409945;0.05340701;-0.032069586;0.049933173
0.445;0.14227974;0.053288296;-0.030863173;0.049881734
0.45;0.14356333;0.053171605;-0.029707614;0.04983222
0.455;0.14484519;0.053056844;-0.02851177;0.0497847
0.46;0.14612575;0.052944113;-0.02719406;0.04973938
0.465;0.14740445;0.052833136;-0.02568947;0.049696565
0.47;0.14868219;0.05272418;-0.023958117;0.049656633
0.475;0.14995825;0.05261693;-0.021991124;0.04961998
0.48;0.15123293;0.052511435;-0.019809475;0.049586967
0.485;0.15250634;0.052407674;-0.01745654;0.049557872
0.49;0.15377888;0.05230574;-0.014991722;0.049532887
0.495;0.15505047;0.052205544;-0.012487921;0.049512073
0.5;0.15632126;0.052107085;-0.010030109;0.049495354
0.505;0.15759121;0.0520103;-0.0077112424;0.049482502
0.51;0.1588605;0.0519152;-0.0056251404;0.04947313
0.515;0.16012952;0.051821854;-0.0038582475;0.049466696
0.52;0.16139807;0.051730152;-0.0024825768;0.04946256
0.525;0.16266616;0.051640052;-0.0015499463;0.049459975
0.53;0.16393416;0.051551625;-0.0010850754;0.04945817
0.535;0.16520168;0.051464695;-0.0010777507;0.049456373
0.54;0.1664686;0.0513792;-0.0014785522;0.049453907
0.545;0.16773541;0.051295232;-0.0022033486;0.049450234
0.55;0.16900212;0.05121276;-0.0031455269;0.049444992
0.555;0.17026839;0.051131647;-0.004192401;0.049438003
0.56;0.17153397;0.051051777;-0.0052392366;0.04942927
0.565;0.17279913;0.05097319;-0.006197755;0.049418945
0.57;0.17406404;0.05089592;-0.007000187;0.049407277
0.575;0.17532827;0.050819788;-0.0076031378;0.049394604
0.58;0.17659181;0.050744776;-0.007990204;0.049381286
0.585;0.1778549;0.050670914;-0.008170902;0.04936767
0.59;0.17911732;0.05059812;-0.008172859;0.049354047
0.595;0.18037908;0.05052635;-0.008029374;0.049340665
0.6;0.18164091;0.050455805;-0.0077676647;0.04932772
0.605;0.18290223;0.05038629;-0.0074025625;0.04931538
0.61;0.1841627;0.05031768;-0.0069355555;0.049303822
0.615;0.18542302;0.05025014;-0.0063585355;0.049293224
0.62;0.18668321;0.050183658;-0.0056618815;0.049283788
0.625;0.18794288;0.0501181;-0.004844597;0.049275715
0.63;0.18920282;0.050053656;-0.003923335;0.049269177
0.635;0.19046196;0.049990017;-0.0029379996;0.04926428
0.64;0.19172126;0.049927413;-0.0019518322;0.049261026
0.645;0.1929804;0.049865738;-0.0010452055;0.049259283
0.65;0.19423938;0.04980497;-0.00030587416;0.049258772
0.655;0.19549821;0.049745094;0.00018124314;0.049259078
0.66;0.19675688;0.04968608;0.0003445647;0.04925965
0.665;0.19801562;0.049627975;0.0001365807;0.04925988
0.67;0.19927406;0.049570665;-0.00045640444;0.04925912
0.675;0.20053239;0.049514167;-0.0014087639;0.049256768
0.68;0.20179023;0.04945839;-0.0026570805;0.049252342
0.685;0.20304786;0.04940337;-0.004108414;0.04924549
0.69;0.20430501;0.049349032;-0.0056523443;0.049236074
0.695;0.20556158;0.04929534;-0.007174217;0.049224116
0.7;0.20681764;0.0492423;-0.008568422;0.049209837
0.705;0.20807281;0.04918979;-0.009749378;0.049193587
0.71;0.20932737;0.049137883;-0.010657541;0.049175825
0.715;0.21058077;0.04908643;-0.011259502;0.049157057
0.72;0.21183391;0.049035627;-0.011543102;0.04913782
0.725;0.21308604;0.048985295;-0.011511008;0.049118634
0.73;0.21433704;0.0489354;-0.011174511;0.04910001
0.735;0.21558781;0.04888612;-0.010550109;0.04908243
0.74;0.21683791;0.048837367;-0.009658446;0.049066328
0.745;0.21808676;0.048788987;-0.008523916;0.049052123
0.75;0.21933551;0.048741225;-0.007174428;0.049040165
0.755;0.22058378;0.04869399;-0.005641852;0.049030762
0.76;0.22183168;0.048647296;-0.003962705;0.049024157
0.765;0.22307949;0.048601195;-0.0021765947;0.04902053
0.77;0.22432657;0.048555538;-0.00032401955;0.04901999
0.775;0.22557412;0.048510563;0.0015544567;0.04902258
0.78;0.22682174;0.048466187;0.003416321;0.049028274
0.785;0.22806916;0.04842232;0.0052138628;0.049036965
0.79;0.22931708;0.04837913;0.0068923472;0.04904845
0.795;0.23056541;0.048336565;0.008391543;0.04906244
0.8;0.23181409;0.048294604;0.0096498;0.04907852
0.805;0.23306312;0.04825323;0.010609533;0.049096204
0.81;0.23431244;0.048212435;0.011220759;0.049114905
0.815;0.23556247;0.048172288;0.011442607;0.049133975
0.82;0.23681253;0.04813263;0.011244384;0.049152717
0.825;0.23806348;0.048093636;0.010607161;0.049170393
0.83;0.23931424;0.04805507;0.00952646;0.04918627
0.835;0.24056545;0.04801706;0.008017101;0.049199633
0.84;0.24181691;0.047979545;0.006119186;0.049209833
0.845;0.24306859;0.047942523;0.0039016316;0.049216334
0.85;0.24431978;0.04790584;0.0014605741;0.04921877
0.855;0.24557194;0.047869775;-0.0010841374;0.049216963
0.86;0.24682309;0.04783393;-0.0035952912;0.04921097
0.865;0.24807464;0.047798578;-0.005928934;0.04920109
0.87;0.24932572;0.04776355;-0.007949502;0.04918784
0.875;0.25057605;0.047728773;-0.009545857;0.04917193
