time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.860348;0.0047672465
0.01;7.161236e-05;0.0011935394;2.8521044;0.009520754
0.015;0.00028603486;0.0031781653;2.8275683;0.0142333675
0.02;0.0006420326;0.0053502717;2.7872972;0.018878864
0.025;0.0011375813;0.0075838757;2.7321646;0.02343247
0.03;0.001769914;0.009832855;2.6633518;0.02787139
0.035;0.0025355597;0.012074094;2.5822275;0.0321751
0.04;0.0034304606;0.014293586;2.4903393;0.036325667
0.045;0.004449992;0.01648145;2.3892958;0.040307827
0.05;0.0055890763;0.018630255;2.2807622;0.0441091
0.055;0.006842279;0.020734178;2.1663666;0.04771971
0.06;0.008203854;0.022788484;2.047681;0.05113251
0.065;0.009667845;0.024789348;1.9262055;0.054342855
0.07;0.011228165;0.026733726;1.8033117;0.057348374
0.075;0.012878694;0.028619317;1.6802679;0.06014882
0.08;0.014613176;0.030444117;1.5581928;0.06274581
0.085;0.01642558;0.03220702;1.4380887;0.065142624
0.09;0.018309852;0.033907134;1.3208224;0.067343995
0.095;0.020260131;0.03554409;1.2071255;0.06935587
0.1;0.022270724;0.037117872;1.0976143;0.071185224
0.105;0.024336083;0.0386287;0.9927829;0.07283986
0.11;0.02645113;0.04007747;0.8930265;0.074328244
0.115;0.028610758;0.041464865;0.79863614;0.075659305
0.12;0.030810226;0.04279198;0.70981455;0.07684232
0.125;0.03304514;0.044060186;0.6266841;0.0778868
0.13;0.035311386;0.04527101;0.5492948;0.07880229
0.135;0.03760496;0.046425875;0.4776372;0.07959835
0.14;0.03992249;0.047526773;0.41163948;0.08028442
0.145;0.042260487;0.04857527;0.35119042;0.080869734
0.15;0.044616047;0.049573384;0.29613292;0.08136329
0.155;0.04698642;0.050523028;0.2462788;0.08177376
0.16;0.049369022;0.051426068;0.20141383;0.082109444
0.165;0.05176168;0.05228452;0.1612999;0.082378276
0.17;0.054162335;0.053100325;0.12568381;0.08258775
0.175;0.05656928;0.053875506;0.094300374;0.08274492
0.18;0.058980927;0.054611966;0.06687641;0.08285638
0.185;0.06139592;0.05531164;0.04313541;0.08292827
0.19;0.063812934;0.055976257;0.022799354;0.08296627
0.195;0.06623118;0.05660785;0.005592867;0.08297559
0.2;0.06864971;0.05720809;-0.008754945;0.082961
0.205;0.07106762;0.05777855;-0.02050826;0.08292682
0.21;0.07348474;0.058321226;-0.029922584;0.08287695
0.215;0.0759002;0.058837358;-0.03724334;0.08281488
0.22;0.078313895;0.059328705;-0.042704657;0.082743704
0.225;0.08072521;0.059796453;-0.04652843;0.08266616
0.23;0.083134316;0.060242254;-0.048923325;0.08258462
0.235;0.08554113;0.060667466;-0.050084807;0.08250114
0.24;0.08794512;0.061073;-0.05019444;0.08241748
0.245;0.09034674;0.06146037;-0.049419574;0.08233512
0.25;0.09274596;0.06183064;-0.04791417;0.08225526
0.255;0.09514267;0.06218475;-0.04581818;0.0821789
0.26;0.09753694;0.06252368;-0.04325796;0.0821068
0.265;0.09992906;0.06284847;-0.040347032;0.08203956
0.27;0.10231929;0.063160054;-0.03718629;0.081977576
0.275;0.10470749;0.063459076;-0.03386454;0.08192114
0.28;0.10709415;0.06374651;-0.030459203;0.08187037
0.285;0.109479465;0.064023085;-0.027037036;0.08182531
0.29;0.11186316;0.064289175;-0.023654569;0.08178589
0.295;0.114245586;0.064545535;-0.020358967;0.08175196
0.3;0.11662722;0.064792894;-0.017188638;0.08172331
0.305;0.11900773;0.06503154;-0.014174005;0.081699684
0.31;0.12138762;0.06526216;-0.011338144;0.08168079
0.315;0.12376722;0.0654853;-0.008697731;0.08166629
0.32;0.12614617;0.06570113;-0.0062637297;0.08165585
0.325;0.12852463;0.06591007;-0.004042188;0.08164912
0.33;0.13090321;0.06611273;-0.00203497;0.08164572
0.335;0.13328147;0.066309184;-0.0002404861;0.081645325
0.34;0.1356602;0.0665001;0.0013456753;0.08164757
0.345;0.1380384;0.066685215;0.0027301763;0.08165211
0.35;0.14041696;0.06686522;0.0039214366;0.081658654
0.355;0.14279577;0.06704027;0.0049292366;0.081666864
0.36;0.14517452;0.06721042;0.005764404;0.081676476
0.365;0.14755411;0.06737631;0.0064384653;0.081687205
0.37;0.14993359;0.06753766;0.006963504;0.08169881
0.375;0.1523137;0.06769498;0.007351969;0.08171106
0.38;0.15469426;0.06784836;0.007616417;0.08172376
0.385;0.15707475;0.06799773;0.0077693723;0.081736706
0.39;0.15945616;0.068143666;0.007823184;0.081749745
0.395;0.16183738;0.068285815;0.0077898195;0.08176273
0.4;0.16421922;0.06842467;0.007680809;0.08177553
0.405;0.16660173;0.068560384;0.0075071757;0.08178804
0.41;0.1689844;0.06869285;0.0072792876;0.08180017
0.415;0.1713675;0.06882229;0.0070069684;0.08181185
0.42;0.17375088;0.06894876;0.0066991667;0.08182301
0.425;0.1761346;0.06907239;0.0063642305;0.08183362
0.43;0.17851894;0.069193386;0.006009661;0.08184364
0.435;0.18090336;0.06931163;0.0056421184;0.08185305
