radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;4.1068764e-05
0.88;0.00020739362
0.89;0.0009614707
0.9;0.0038824123
0.91;0.012331064
0.92;0.034070354
0.93;0.076025434
0.9400000000000001;0.14903903
0.9500000000000001;0.26701486
0.96;0.42509168
0.97;0.6267407
0.98;0.87082607
0.99;1.1363865
1.0;1.4025452
1.01;1.664368
1.02;1.8932616
1.03;2.104222
1.04;2.2803445
1.05;2.4103014
1.06;2.4950314
1.07;2.5474472
1.08;2.5660295
1.09;2.558432
1.1;2.5290344
1.11;2.480211
1.12;2.4156134
1.1300000000000001;2.3416145
1.1400000000000001;2.2544808
1.1500000000000001;2.1688209
1.16;2.0876615
1.17;1.9997821
1.18;1.9154816
1.19;1.8302622
1.2;1.7505631
1.21;1.6707098
1.22;1.5910666
1.23;1.5260773
1.24;1.4613593
1.25;1.3956473
1.26;1.3429934
1.27;1.289262
1.28;1.2326789
1.29;1.1858678
1.3;1.146071
1.31;1.1015517
1.32;1.0656718
1.33;1.0288284
1.34;1.0011808
1.35;0.973511
1.36;0.9421901
1.37;0.91542226
1.3800000000000001;0.8984796
1.3900000000000001;0.8733443
1.4000000000000001;0.8520957
1.41;0.83244133
1.42;0.81099397
1.43;0.79377913
1.44;0.781898
1.45;0.7668366
1.46;0.7569845
1.47;0.7419043
1.48;0.7353898
1.49;0.7286586
1.5;0.7224243
1.51;0.7141633
1.52;0.71100163
1.53;0.7137097
1.54;0.70296913
1.55;0.70261896
1.56;0.6998925
1.57;0.69888526
1.58;0.69906545
1.59;0.6968849
1.6;0.6979706
1.61;0.70298296
1.62;0.7056134
1.6300000000000001;0.7096903
1.6400000000000001;0.7121279
1.6500000000000001;0.7174585
1.6600000000000001;0.72341096
1.67;0.7307445
1.68;0.737323
1.69;0.74587876
1.7;0.7567397
1.71;0.76900065
1.72;0.7757412
1.73;0.78664
1.74;0.7970579
1.75;0.81194174
1.76;0.8188207
1.77;0.83225024
1.78;0.8489255
1.79;0.8621913
1.8;0.87351847
1.81;0.8877639
1.82;0.90476197
1.83;0.9212551
1.84;0.93415356
1.85;0.9488085
1.86;0.96212953
1.87;0.977493
1.8800000000000001;0.9959042
1.8900000000000001;1.010233
1.9000000000000001;1.0212958
1.9100000000000001;1.0334104
1.92;1.0452358
1.93;1.0629578
1.94;1.082907
1.95;1.0942109
1.96;1.1096054
1.97;1.1188838
1.98;1.1272882
1.99;1.1400647
2.0;1.1529206
2.0100000000000002;1.1614649
2.02;1.1713343
2.0300000000000002;1.178278
2.04;1.1867054
2.05;1.1910198
2.06;1.1963168
2.07;1.2005095
