radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;1.4009803e-05
0.87;1.3689589e-05
0.88;0.00023415413
0.89;0.0015501262
0.9;0.005948323
0.91;0.017348507
0.92;0.04038121
0.93;0.090425625
0.9400000000000001;0.1717882
0.9500000000000001;0.29740486
0.96;0.46303177
0.97;0.6702115
0.98;0.91499454
0.99;1.1721935
1.0;1.4485576
1.01;1.695875
1.02;1.9252284
1.03;2.1179163
1.04;2.289767
1.05;2.3944921
1.06;2.478184
1.07;2.520146
1.08;2.5273087
1.09;2.521657
1.1;2.489843
1.11;2.4319007
1.12;2.3724225
1.1300000000000001;2.302352
1.1400000000000001;2.2172482
1.1500000000000001;2.135244
1.16;2.0559375
1.17;1.9729427
1.18;1.8938441
1.19;1.812071
1.2;1.7357101
1.21;1.6626865
1.22;1.5899857
1.23;1.5228882
1.24;1.46263
1.25;1.3967098
1.26;1.3412464
1.27;1.2890252
1.28;1.2340156
1.29;1.1924678
1.3;1.1468345
1.31;1.1060281
1.32;1.0686936
1.33;1.0291731
1.34;1.0019468
1.35;0.9741316
1.36;0.94755363
1.37;0.91778123
1.3800000000000001;0.89192873
1.3900000000000001;0.875174
1.4000000000000001;0.85391706
1.41;0.83331275
1.42;0.8182884
1.43;0.7987172
1.44;0.78451294
1.45;0.77362525
1.46;0.76111245
1.47;0.74989724
1.48;0.743394
1.49;0.73661214
1.5;0.7232742
1.51;0.72255504
1.52;0.7180325
1.53;0.71150017
1.54;0.7080334
1.55;0.7066746
1.56;0.7062708
1.57;0.70581686
1.58;0.7019686
1.59;0.701218
1.6;0.70384413
1.61;0.7076273
1.62;0.70819366
1.6300000000000001;0.71212196
1.6400000000000001;0.71450955
1.6500000000000001;0.72222924
1.6600000000000001;0.7290604
1.67;0.7368209
1.68;0.74113697
1.69;0.74923915
1.7;0.75728077
1.71;0.7665928
1.72;0.7784411
1.73;0.78650635
1.74;0.79676026
1.75;0.8073936
1.76;0.8186162
1.77;0.8360809
1.78;0.84724057
1.79;0.8658103
1.8;0.8774483
1.81;0.89090484
1.82;0.9070307
1.83;0.92303807
1.84;0.9367248
1.85;0.94917685
1.86;0.9638472
1.87;0.97890407
1.8800000000000001;0.9943379
1.8900000000000001;1.0121019
1.9000000000000001;1.0243696
1.9100000000000001;1.0384319
1.92;1.0554532
1.93;1.0698354
1.94;1.0804621
1.95;1.0891136
1.96;1.103194
1.97;1.1124418
1.98;1.1247573
1.99;1.1416442
2.0;1.1520138
2.0100000000000002;1.1603119
2.02;1.1739447
2.0300000000000002;1.1764028
2.04;1.1800438
2.05;1.1887313
2.06;1.1906828
