x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-5.568628;-5.604755;-9.776791;1.8629583;-1.2615938;-1.3211746;25.29825;48.49672;-37.008205;12.25;12.25;12.25;1372;99.99999999998154
2.0116713;-12.516255;-6.4536057;0.37392962;-0.44611;-0.7843595;2.7050896;7.5222235;-3.8630636;12.25;12.25;12.25;1372;99.99999999998154
-7.8311067;-4.2439494;-0.25901905;1.1837671;0.6445229;-0.14628927;5.2941217;-13.439814;10.701184;12.25;12.25;12.25;1372;99.99999999998154
-11.718141;-1.9920019;-8.923869;0.60671884;0.6875188;0.7703655;16.076962;14.81812;13.487605;12.25;12.25;12.25;1372;99.99999999998154
-3.9883418;-2.3537946;-5.045999;0.89039445;-0.5485949;1.142861;-8.882584;8.275629;6.730386;12.25;12.25;12.25;1372;99.99999999998154
7.23435;-4.13767;-0.22383685;-0.33699757;-0.7988848;-0.29511544;3.0259397;-7.2046604;4.324062;12.25;12.25;12.25;1372;99.99999999998154
-3.4066553;4.412599;-3.5791476;1.7542666;0.32363302;0.7422109;-3.9159224;16.287691;-12.19425;12.25;12.25;12.25;1372;99.99999999998154
-4.045548;-5.817615;-9.21196;0.5151999;-0.13223067;-0.022699837;14.146516;-15.603968;11.647542;12.25;12.25;12.25;1372;99.99999999998154
-1.2136922;-0.80610055;2.8718836;-0.13044286;0.9608035;0.24171045;13.451408;0.6630055;4.7067547;12.25;12.25;12.25;1372;99.99999999998154
1.94175;-2.9085925;-10.161885;0.11671502;0.23115063;-0.37173623;5.627782;11.720494;10.908193;12.25;12.25;12.25;1372;99.99999999998154
-8.517553;-5.48834;-2.6798046;1.128779;0.063211784;0.47039738;-22.641329;2.3438683;-8.977469;12.25;12.25;12.25;1372;99.99999999998154
-0.71221864;-8.9951315;-9.472749;-0.2058876;-1.0250937;1.06243;-7.6313677;4.1078906;15.828286;12.25;12.25;12.25;1372;99.99999999998154
5.5543237;-7.766076;3.5389042;0.8954642;-0.89565074;-0.3112032;-1.8637542;-13.287343;-14.118056;12.25;12.25;12.25;1372;99.99999999998154
-1.1644756;-3.8341854;-7.626283;-0.15329517;0.25653455;1.3555188;-10.010678;-15.47076;-17.090902;12.25;12.25;12.25;1372;99.99999999998154
-0.24155301;-0.7101143;-0.8887735;0.32024086;1.8794522;0.4960684;10.04439;25.246601;-11.241377;12.25;12.25;12.25;1372;99.99999999998154
-2.6026611;-3.7292366;-10.80282;-0.30362704;-0.7898203;0.8553472;0.74970955;-6.1948285;17.331263;12.25;12.25;12.25;1372;99.99999999998154
