time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.9999001;-2.1898468;2057.015;-7984.3115;-5927.297;-16190.591;0.0;0.0;1838.2656
0.01;0.9994212;-2.1775703;2055.2668;-7977.0215;-5921.755;-16119.392;0.0;0.0;1838.2656
0.015;0.99895084;-2.1546888;2053.434;-7961.4385;-5908.0044;-15989.539;0.0;0.0;1838.2656
0.02;0.9984303;-2.12572;2051.2036;-7946.1523;-5894.9487;-15825.321;0.0;0.0;1838.2656
0.025;0.99776715;-2.089714;2048.3252;-7929.948;-5881.623;-15620.999;0.0;0.0;1838.2656
0.03;0.9969315;-2.0462322;2044.6399;-7912.8037;-5868.164;-15373.835;0.0;0.0;1838.2656
0.035;0.99587715;-1.9934933;2039.951;-7892.4746;-5852.5234;-15073.613;0.0;0.0;1838.2656
0.04;0.99455506;-1.9300425;2034.0422;-7867.4844;-5833.4424;-14711.877;0.0;0.0;1838.2656
0.045;0.99291205;-1.854177;2026.7054;-7836.0254;-5809.32;-14278.82;0.0;0.0;1838.2656
0.05;0.990905;-1.7639267;2017.8103;-7795.9785;-5778.168;-13763.318;0.0;0.0;1838.2656
0.055;0.98852336;-1.6580755;2007.419;-7746.4287;-5739.01;-13158.787;0.0;0.0;1838.2656
0.06;0.9858236;-1.535664;1995.9347;-7686.46;-5690.5254;-12460.744;0.0;0.0;1838.2656
0.065;0.9829641;-1.3964009;1984.1836;-7615.4307;-5631.247;-11669.234;0.0;0.0;1838.2656
0.07;0.9801973;-1.2415382;1973.232;-7534.3335;-5561.1016;-10793.295;0.0;0.0;1838.2656
0.075;0.97778475;-1.0735297;1964.0648;-7444.632;-5480.567;-9848.428;0.0;0.0;1838.2656
0.08;0.9759275;-0.89594156;1957.4221;-7349.1035;-5391.6816;-8855.78;0.0;0.0;1838.2656
0.085;0.9747822;-0.713207;1953.9531;-7250.6216;-5296.6685;-7841.098;0.0;0.0;1838.2656
0.09;0.97450745;-0.53056306;1954.2649;-7153.225;-5198.96;-6834.4775;0.0;0.0;1838.2656
0.095;0.9752264;-0.35320282;1958.6685;-7060.036;-5101.3677;-5865.1787;0.0;0.0;1838.2656
0.1;0.97692883;-0.18684122;1966.8517;-6975.2515;-5008.4;-4964.0947;0.0;0.0;1838.2656
0.105;0.9794267;-0.03573012;1977.842;-6901.08;-4923.2383;-4152.7285;0.0;0.0;1838.2656
0.11;0.9823983;0.09703611;1990.2512;-6839.5176;-4849.2666;-3445.368;0.0;0.0;1838.2656
0.115;0.9854798;0.21038115;2002.7205;-6790.282;-4787.5615;-2845.2317;0.0;0.0;1838.2656
0.12;0.98838913;0.30461356;2014.2589;-6752.6963;-4738.4375;-2348.6357;0.0;0.0;1838.2656
0.125;0.99095654;0.38157454;2024.3679;-6724.5073;-4700.1396;-1944.4297;0.0;0.0;1838.2656
0.13;0.9931389;0.44276944;2032.9658;-6704.78;-4671.814;-1624.1481;0.0;0.0;1838.2656
0.135;0.9949585;0.48971295;2040.1666;-6692.6143;-4652.4478;-1379.6658;0.0;0.0;1838.2656
0.14;0.99645334;0.5247395;2046.0382;-6686.465;-4640.427;-1198.2448;0.0;0.0;1838.2656
0.145;0.9976204;0.549696;2050.5886;-6685.2026;-4634.6143;-1069.7155;0.0;0.0;1838.2656
0.15;0.99846953;0.56653184;2053.8076;-6687.6533;-4633.8457;-983.30707;0.0;0.0;1838.2656
0.155;0.9989857;0.57761025;2055.6199;-6692.262;-4636.6426;-925.8366;0.0;0.0;1838.2656
0.16;0.9991416;0.5856693;2055.8274;-6696.74;-4640.913;-881.80756;0.0;0.0;1838.2656
0.165;0.9988743;0.5929222;2054.2712;-6699.8037;-4645.532;-838.697;0.0;0.0;1838.2656
0.17;0.99819696;0.6018365;2051.2458;-6699.922;-4648.676;-783.4856;0.0;0.0;1838.2656
