time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.8698292;0.0047830488
0.01;7.18497e-05;0.001197495;2.8615632;0.00955232
0.015;0.00028698266;0.0031886962;2.8369434;0.0142805595
0.02;0.00064416166;0.005368014;2.796542;0.018941462
0.025;0.0011413547;0.007609031;2.7412384;0.023510193
0.03;0.0017757895;0.009865497;2.6722045;0.027963867
0.035;0.0025439889;0.012114232;2.5908365;0.032281928
0.04;0.0034418716;0.014341133;2.4986656;0.03644637
0.045;0.0044648056;0.016536316;2.3973227;0.040441908
0.05;0.005607718;0.018692393;2.2884612;0.04425601
0.055;0.0068651214;0.0208034;2.1737292;0.04787889
0.06;0.008231277;0.022864658;2.0547001;0.051303394
0.065;0.009700198;0.024872303;1.9328681;0.05452484
0.07;0.011265807;0.02682335;1.8096216;0.057540875
0.075;0.012921883;0.028715294;1.6862222;0.060351245
0.08;0.014662267;0.03054639;1.5638027;0.062957585
0.085;0.016480798;0.03231529;1.4433666;0.0653632
0.09;0.018371483;0.034021266;1.3257817;0.06757283
0.095;0.020328382;0.03566383;1.2117871;0.069592476
0.1;0.022345815;0.037243024;1.1019937;0.07142913
0.105;0.024418294;0.038759198;0.9969052;0.07309064
0.11;0.026540522;0.040212914;0.8969136;0.0745855
0.115;0.028707517;0.041605096;0.8023086;0.075922675
0.12;0.030914579;0.042936917;0.71329606;0.077111505
0.125;0.033157118;0.04420949;0.6299959;0.0781615
0.13;0.035431083;0.04542447;0.55246025;0.079082265
0.135;0.03773255;0.04658339;0.4806749;0.07988339
0.14;0.040057916;0.047687996;0.4145718;0.08057434
0.145;0.042403914;0.048740134;0.35403594;0.081164405
0.15;0.04476744;0.0497416;0.2989123;0.08166259
0.155;0.047145862;0.050694477;0.2490115;0.08207761
0.16;0.049536493;0.051600516;0.2041184;0.08241781
0.165;0.051937312;0.05246193;0.16399497;0.08269113
0.17;0.054346103;0.05328049;0.12838763;0.08290511
0.175;0.056761272;0.054058354;0.09703;0.08306683
0.18;0.059181184;0.05479739;0.069648415;0.08318291
0.185;0.06160444;0.055499494;0.045964807;0.083259515
0.19;0.064029984;0.056166653;0.025699789;0.08330235
0.195;0.06645678;0.056800667;0.008575599;0.08331664
0.2;0.06888387;0.057403225;-0.005681267;0.08330718
0.205;0.0713106;0.057976097;-0.017338032;0.083278276
0.21;0.07373634;0.058520906;-0.02665365;0.083233856
0.215;0.07616069;0.059039295;-0.033877313;0.083177395
0.22;0.078583404;0.05953288;-0.039246764;0.08311198
0.225;0.081004;0.060002968;-0.042987484;0.083040334
0.23;0.08342252;0.060451098;-0.0453116;0.082964815
0.235;0.08583877;0.060878564;-0.046417248;0.082887456
0.24;0.088252455;0.061286427;-0.04648843;0.08280997
0.245;0.09066386;0.061676092;-0.045694575;0.08273382
0.25;0.09307312;0.062048748;-0.04419057;0.08266016
0.255;0.0954799;0.062405165;-0.042117253;0.08258997
0.26;0.09788449;0.06274647;-0.039601386;0.082523964
0.265;0.100287214;0.063073725;-0.036756217;0.082462706
0.27;0.10268797;0.06338763;-0.033682276;0.082406566
0.275;0.10508709;0.06368914;-0.030467575;0.08235579
0.28;0.10748463;0.06397895;-0.027188603;0.082310475
0.285;0.10988076;0.064257756;-0.023911336;0.08227062
0.29;0.112275586;0.0645262;-0.020691385;0.08223613
0.295;0.114669405;0.06478498;-0.017575234;0.082206845
0.3;0.117062315;0.06503462;-0.014600691;0.08218251
0.305;0.11945465;0.065275766;-0.011797808;0.08216285
0.31;0.12184628;0.06550875;-0.009189539;0.08214753
0.315;0.1242375;0.065734126;-0.0067922794;0.082136214
0.32;0.12662853;0.06595236;-0.004616602;0.08212852
0.325;0.129019;0.06616359;-0.0026678336;0.08212407
0.33;0.13140982;0.066368595;-0.00094661076;0.08212249
0.335;0.13380009;0.066567205;0.0005505069;0.08212341
0.34;0.13619106;0.06676032;0.0018305304;0.08212646
0.345;0.13858163;0.066947654;0.0029033814;0.0821313
0.35;0.1409728;0.0671299;0.0037814423;0.0821376
0.355;0.1433638;0.06730695;0.00447898;0.082145065
0.36;0.1457552;0.06747926;0.005011656;0.08215342
0.365;0.14814706;0.06764706;0.005396086;0.08216241
0.37;0.15053906;0.06781039;0.005649355;0.08217183
0.375;0.15293151;0.06796956;0.0057885833;0.082181476
0.38;0.15532432;0.068124704;0.005830625;0.08219119
0.385;0.15771742;0.06827594;0.005791682;0.08220085
0.39;0.16011067;0.06842337;0.005687065;0.082210325
0.395;0.16250448;0.06856729;0.005531044;0.08221954
0.4;0.16489868;0.06870778;0.0053365165;0.08222844
0.405;0.1672929;0.06884481;0.005115126;0.08223696
0.41;0.16968735;0.0689786;0.0048769577;0.08224509
0.415;0.17208245;0.06910942;0.004630713;0.08225281
