radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;1.1980171e-05
0.9400000000000001;0.0003166189
0.9500000000000001;0.0020493665
0.96;0.009000159
0.97;0.033081196
0.98;0.09935518
0.99;0.23627968
1.0;0.49420267
1.01;0.8882957
1.02;1.4293939
1.03;2.0858002
1.04;2.82089
1.05;3.5213747
1.06;4.1413603
1.07;4.6287293
1.08;4.9538765
1.09;5.117929
1.1;5.15114
1.11;5.045707
1.12;4.820964
1.1300000000000001;4.5333776
1.1400000000000001;4.2054706
1.1500000000000001;3.8651872
1.16;3.5105016
1.17;3.1772923
1.18;2.836299
1.19;2.5377724
1.2;2.2567377
1.21;2.0148802
1.22;1.7963566
1.23;1.6088568
1.24;1.4387558
1.25;1.2921348
1.26;1.1616046
1.27;1.0547518
1.28;0.9576814
1.29;0.87767124
1.3;0.8026869
1.31;0.7427352
1.32;0.6915091
1.33;0.6472461
1.34;0.61161566
1.35;0.5776907
1.36;0.552666
1.37;0.52901214
1.3800000000000001;0.50975156
1.3900000000000001;0.49465868
1.4000000000000001;0.48479074
1.41;0.4769067
1.42;0.47013277
1.43;0.46766838
1.44;0.4653592
1.45;0.46696943
1.46;0.46820912
1.47;0.4783018
1.48;0.48303765
1.49;0.4973427
1.5;0.5057951
1.51;0.5191554
1.52;0.533369
1.53;0.5467371
1.54;0.56079155
1.55;0.57005984
1.56;0.58642846
1.57;0.6045105
1.58;0.61729443
1.59;0.6260544
1.6;0.6330617
1.61;0.64150196
1.62;0.6449784
1.6300000000000001;0.6521747
1.6400000000000001;0.6564219
1.6500000000000001;0.6597638
1.6600000000000001;0.66490686
1.67;0.6736525
1.68;0.67941886
1.69;0.6860966
1.7;0.69904906
1.71;0.7049799
1.72;0.7236056
1.73;0.73708844
1.74;0.7584465
1.75;0.78869444
1.76;0.8193675
1.77;0.8517784
1.78;0.89530313
1.79;0.93941486
1.8;0.9951845
1.81;1.0557553
1.82;1.1131529
1.83;1.1700922
1.84;1.243482
1.85;1.3194302
1.86;1.3905323
1.87;1.4612446
1.8800000000000001;1.5279875
1.8900000000000001;1.5882511
1.9000000000000001;1.646305
1.9100000000000001;1.6938164
1.92;1.7292751
1.93;1.7568333
1.94;1.7754682
1.95;1.7817143
1.96;1.7728978
1.97;1.7533587
1.98;1.7299068
1.99;1.7032279
2.0;1.6680048
2.0100000000000002;1.6356999
2.02;1.5942872
2.0300000000000002;1.5575731
2.04;1.5225878
2.05;1.4894783
2.06;1.461558
2.07;1.4389211
2.08;1.4299754
