time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.99979997;-2.1899214;2056.809;-7984.3115;-5927.5024;-16190.591;0.0;0.0;1838.2656
0.01;0.9992213;-2.1777203;2054.8557;-7977.0215;-5922.166;-16119.396;0.0;0.0;1838.2656
0.015;0.99865097;-2.154916;2052.8174;-7961.4424;-5908.625;-15989.559;0.0;0.0;1838.2656
0.02;0.9980307;-2.1260266;2050.3826;-7946.152;-5895.7695;-15825.37;0.0;0.0;1838.2656
0.025;0.99726784;-2.0901132;2047.2996;-7929.968;-5882.668;-15621.148;0.0;0.0;1838.2656
0.03;0.99633276;-2.04671;2043.4113;-7912.8145;-5869.4033;-15374.013;0.0;0.0;1838.2656
0.035;0.9951791;-1.9940729;2038.521;-7892.493;-5853.972;-15073.949;0.0;0.0;1838.2656
0.04;0.9937587;-1.9307401;2032.4146;-7867.523;-5835.1084;-14712.469;0.0;0.0;1838.2656
0.045;0.9920178;-1.8549939;2024.8811;-7836.0815;-5811.2;-14279.677;0.0;0.0;1838.2656
0.05;0.9899131;-1.7648854;2015.7927;-7796.0703;-5780.2773;-13764.57;0.0;0.0;1838.2656
0.055;0.9874353;-1.6592093;2005.2124;-7746.5835;-5741.371;-13160.627;0.0;0.0;1838.2656
0.06;0.9846397;-1.5369962;1993.5432;-7686.6904;-5693.1475;-12463.309;0.0;0.0;1838.2656
0.065;0.98168576;-1.3979204;1981.6072;-7615.7246;-5634.117;-11672.461;0.0;0.0;1838.2656
0.07;0.9788241;-1.243445;1970.4785;-7534.837;-5564.3584;-10798.304;0.0;0.0;1838.2656
0.075;0.97631884;-1.0756016;1961.126;-7445.1846;-5484.0586;-9853.977;0.0;0.0;1838.2656
0.08;0.9743649;-0.89845514;1954.2977;-7349.865;-5395.5674;-8863.394;0.0;0.0;1838.2656
0.085;0.97312427;-0.71604025;1950.6361;-7251.5674;-5300.931;-7850.089;0.0;0.0;1838.2656
0.09;0.9727503;-0.5337019;1950.7434;-7154.3;-5203.5566;-6844.744;0.0;0.0;1838.2656
0.095;0.9733683;-0.356717;1954.9347;-7061.2896;-5106.355;-5877.0913;0.0;0.0;1838.2656
0.1;0.97496754;-0.19056293;1962.8967;-6976.586;-5013.6895;-4976.7095;0.0;0.0;1838.2656
0.105;0.9773611;-0.03982787;1973.6603;-6902.58;-4928.92;-4166.9634;0.0;0.0;1838.2656
0.11;0.9802253;0.09256508;1985.8365;-6841.15;-4855.3135;-3461.1956;0.0;0.0;1838.2656
0.115;0.98319995;0.2056732;1998.0796;-6792.038;-4793.9585;-2861.9133;0.0;0.0;1838.2656
0.12;0.98600626;0.29973152;2009.4019;-6754.521;-4745.119;-2365.8452;0.0;0.0;1838.2656
0.125;0.98847204;0.3764697;2019.2954;-6726.3555;-4707.06;-1962.4369;0.0;0.0;1838.2656
0.13;0.99055123;0.43748143;2027.6814;-6706.6826;-4679.001;-1642.7415;0.0;0.0;1838.2656
0.135;0.9922709;0.48431215;2034.6694;-6694.555;-4659.8857;-1398.4558;0.0;0.0;1838.2656
0.14;0.9936622;0.51914483;2040.3308;-6688.4307;-4648.0996;-1217.6835;0.0;0.0;1838.2656
0.145;0.9947303;0.5438387;2044.6729;-6687.3237;-4642.651;-1090.1859;0.0;0.0;1838.2656
0.15;0.9954768;0.5605453;2047.686;-6689.8213;-4642.1353;-1004.07837;0.0;0.0;1838.2656
0.155;0.9958956;0.5714431;2049.302;-6694.4766;-4645.175;-947.21136;0.0;0.0;1838.2656
0.16;0.9959535;0.5792746;2049.3137;-6698.992;-4649.6787;-904.0458;0.0;0.0;1838.2656
0.165;0.9955891;0.5863257;2047.5729;-6702.13;-4654.557;-861.67865;0.0;0.0;1838.2656
0.17;0.9948193;0.59491885;2044.3696;-6702.4414;-4658.072;-807.8827;0.0;0.0;1838.2656
0.175;0.993801;0.6063136;2040.5276;-6699.496;-4658.9688;-737.35876;0.0;0.0;1838.2656
0.18;0.99278855;0.62088853;2037.1034;-6693.0938;-4655.99;-650.1328;0.0;0.0;1838.2656
0.185;0.99202853;0.6369605;2034.939;-6685.584;-4650.645;-557.17004;0.0;0.0;1838.2656
0.19;0.9916518;0.65363663;2034.343;-6677.4707;-4643.128;-464.01266;0.0;0.0;1838.2656
0.195;0.99164075;0.6689409;2034.9941;-6670.238;-4635.2437;-380.91504;0.0;0.0;1838.2656
0.2;0.9918248;0.6819517;2036.096;-6664.9194;-4628.823;-311.36664;0.0;0.0;1838.2656
0.205;0.99198574;0.69331586;2036.8732;-6660.346;-4623.473;-250.25026;0.0;0.0;1838.2656
0.21;0.99198747;0.7032276;2036.9675;-6656.5913;-4619.624;-195.77771;0.0;0.0;1838.2656
0.215;0.9918149;0.7134476;2036.4307;-6651.7627;-4615.332;-138.3428;0.0;0.0;1838.2656
0.22;0.9915217;0.7235593;2035.5305;-6646.882;-4611.3516;-80.77841;0.0;0.0;1838.2656
0.225;0.9911867;0.73399395;2034.5515;-6641.765;-4607.214;-21.275478;0.0;0.0;1838.2656
0.23;0.9908681;0.74477893;2033.7117;-6636.1646;-4602.453;39.88109;0.0;0.0;1838.2656
0.235;0.9906089;0.7558684;2033.13;-6630.108;-4596.978;102.20045;0.0;0.0;1838.2656
0.24;0.9904193;0.76647675;2032.8009;-6624.503;-4591.702;161.36172;0.0;0.0;1838.2656
0.245;0.99028134;0.77681905;2032.64;-6619.1074;-4586.4673;218.71909;0.0;0.0;1838.2656
0.25;0.9901722;0.786289;2032.5759;-6614.3;-4581.7236;271.07205;0.0;0.0;1838.2656
0.255;0.9900811;0.7953163;2032.5552;-6609.538;-4576.983;320.89746;0.0;0.0;1838.2656
0.26;0.989996;0.8034826;2032.6018;-6605.382;-4572.7803;365.83954;0.0;0.0;1838.2656
0.265;0.9899453;0.81080526;2032.8406;-6601.695;-4568.8545;405.7453;0.0;0.0;1838.2656
0.27;0.9899659;0.81659615;2033.4807;-6599.209;-4565.7285;436.40054;0.0;0.0;1838.2656
0.275;0.990115;0.8205181;2034.6881;-6598.1343;-4563.4463;455.6144;0.0;0.0;1838.2656
0.28;0.9903926;0.8216529;2036.2286;-6599.5425;-4563.314;458.79144;0.0;0.0;1838.2656
0.285;0.99065727;0.8207776;2037.4246;-6602.132;-4564.707;451.57254;0.0;0.0;1838.2656
0.29;0.9907272;0.8182603;2037.7086;-6605.865;-4568.1567;437.1222;0.0;0.0;1838.2656
0.295;0.99054664;0.8157209;2037.105;-6609.122;-4572.017;424.32516;0.0;0.0;1838.2656
0.3;0.99021524;0.8136833;2036.1506;-6611.881;-4575.7305;414.99673;0.0;0.0;1838.2656
0.305;0.9898999;0.8120647;2035.4584;-6614.213;-4578.7544;407.4552;0.0;0.0;1838.2656
0.31;0.9897103;0.8100982;2035.249;-6617.1396;-4581.8906;397.02875;0.0;0.0;1838.2656
0.315;0.9896087;0.80806386;2035.1511;-6620.007;-4584.8555;386.00577;0.0;0.0;1838.2656
0.32;0.98943037;0.80556726;2034.433;-6623.4043;-4588.971;373.67404;0.0;0.0;1838.2656
0.325;0.9890017;0.80470836;2032.6609;-6624.842;-4592.1807;372.4814;0.0;0.0;1838.2656
0.33;0.98832613;0.80647063;2030.1422;-6623.45;-4593.308;387.23743;0.0;0.0;1838.2656
0.335;0.9875773;0.8101869;2027.672;-6620.7773;-4593.1055;412.67218;0.0;0.0;1838.2656
0.34;0.98696476;0.8157437;2025.987;-6616.5254;-4590.538;446.6867;0.0;0.0;1838.2656
0.345;0.9866139;0.82164234;2025.3726;-6612.398;-4587.0254;480.44556;0.0;0.0;1838.2656
0.35;0.98651034;0.8269764;2025.6144;-6608.6045;-4582.99;509.3783;0.0;0.0;1838.2656
0.355;0.98655057;0.83087844;2026.2766;-6605.9326;-4579.6562;529.57263;0.0;0.0;1838.2656
0.36;0.986628;0.83300215;2026.9619;-6604.6035;-4577.6416;539.91376;0.0;0.0;1838.2656
0.365;0.9866673;0.833956;2027.4388;-6603.9873;-4576.5483;544.2203;0.0;0.0;1838.2656
0.37;0.98664033;0.83388674;2027.627;-6603.8047;-4576.1777;543.46204;0.0;0.0;1838.2656
0.375;0.98654;0.83289737;2027.4872;-6604.1113;-4576.624;538.2856;0.0;0.0;1838.2656
0.38;0.9863592;0.83165556;2027.0518;-6604.715;-4577.663;532.30786;0.0;0.0;1838.2656
0.385;0.9861256;0.8306043;2026.4404;-6604.5664;-4578.126;527.7331;0.0;0.0;1838.2656
0.39;0.9858705;0.829648;2025.813;-6604.3354;-4578.5225;523.71436;0.0;0.0;1838.2656
0.395;0.98563665;0.8285261;2025.3301;-6604.391;-4579.061;518.49274;0.0;0.0;1838.2656
0.4;0.98544854;0.82724124;2025.0051;-6604.5166;-4579.5117;512.05707;0.0;0.0;1838.2656
0.405;0.9852762;0.8260667;2024.6725;-6604.396;-4579.7236;506.2449;0.0;0.0;1838.2656
0.41;0.9850659;0.82473993;2024.1201;-6604.573;-4580.453;500.0331;0.0;0.0;1838.2656
0.415;0.9847729;0.8240418;2023.2059;-6603.8887;-4580.6826;498.01117;0.0;0.0;1838.2656
0.42;0.98438674;0.8243929;2021.98;-6602.1904;-4580.2104;502.3995;0.0;0.0;1838.2656
0.425;0.98395693;0.8258123;2020.7024;-6599.6494;-4578.9473;512.78235;0.0;0.0;1838.2656
0.43;0.98356956;0.8278029;2019.7607;-6596.743;-4576.9824;525.64325;0.0;0.0;1838.2656
0.435;0.98332286;0.82986754;2019.4617;-6594.237;-4574.7754;537.6275;0.0;0.0;1838.2656
0.44;0.98325443;0.8312563;2019.8572;-6592.4927;-4572.6357;544.495;0.0;0.0;1838.2656
0.445;0.9833307;0.8311946;2020.6638;-6592.056;-4571.3926;542.54156;0.0;0.0;1838.2656
0.45;0.98343515;0.82974756;2021.4309;-6592.759;-4571.328;533.0274;0.0;0.0;1838.2656
0.455;0.9834716;0.82735765;2021.8167;-6593.8936;-4572.077;519.076;0.0;0.0;1838.2656
0.46;0.9833841;0.82437354;2021.7052;-6595.3867;-4573.6816;502.84222;0.0;0.0;1838.2656
0.465;0.9831862;0.82151115;2021.2488;-6596.6284;-4575.38;487.96964;0.0;0.0;1838.2656
0.47;0.9829502;0.8185406;2020.764;-6598.1787;-4577.4146;472.5569;0.0;0.0;1838.2656
0.475;0.982758;0.8154989;2020.5575;-6599.814;-4579.2563;456.19586;0.0;0.0;1838.2656
0.48;0.9826652;0.8118235;2020.7314;-6602.1064;-4581.375;435.57858;0.0;0.0;1838.2656
0.485;0.98264915;0.8074439;2021.0883;-6604.9214;-4583.833;410.71265;0.0;0.0;1838.2656
0.49;0.98262876;0.8021566;2021.2877;-6608.675;-4587.387;381.1554;0.0;0.0;1838.2656
0.495;0.98252565;0.79653853;2021.0913;-6612.5615;-4591.47;350.5655;0.0;0.0;1838.2656
0.5;0.9823138;0.7912817;2020.4766;-6615.885;-4595.408;322.80484;0.0;0.0;1838.2656
0.505;0.9820151;0.786339;2019.5752;-6619.0503;-4599.475;297.3495;0.0;0.0;1838.2656
0.51;0.981674;0.78211766;2018.5747;-6621.8135;-4603.239;276.07068;0.0;0.0;1838.2656
0.515;0.98133945;0.77850705;2017.6625;-6624.2197;-4606.557;257.98328;0.0;0.0;1838.2656
0.52;0.9810517;0.7756094;2017.03;-6625.9775;-4608.9473;243.26797;0.0;0.0;1838.2656
0.525;0.98085785;0.7728231;2016.779;-6627.812;-4611.033;228.40425;0.0;0.0;1838.2656
0.53;0.980748;0.7697451;2016.7747;-6630.1724;-4613.3975;211.4385;0.0;0.0;1838.2656
0.535;0.98065466;0.7663627;2016.6921;-6632.771;-4616.079;192.95058;0.0;0.0;1838.2656
0.54;0.98048383;0.76301694;2016.1608;-6635.729;-4619.5684;175.56194;0.0;0.0;1838.2656
0.545;0.9801648;0.7603894;2015.0161;-6638.0186;-4623.0024;163.36073;0.0;0.0;1838.2656
0.55;0.9797025;0.75958174;2013.3804;-6638.5684;-4625.188;162.17828;0.0;0.0;1838.2656
0.555;0.97916645;0.7607498;2011.5736;-6637.696;-4626.122;172.2335;0.0;0.0;1838.2656
0.56;0.97864366;0.76357853;2009.9161;-6635.6816;-4625.7656;191.14809;0.0;0.0;1838.2656
0.565;0.9781976;0.7677745;2008.6189;-6632.7646;-4624.1455;216.88275;0.0;0.0;1838.2656
0.57;0.97785735;0.7730269;2007.6841;-6629.3213;-4621.637;247.71799;0.0;0.0;1838.2656
0.575;0.9775835;0.7788479;2006.8772;-6625.5605;-4618.6836;281.4334;0.0;0.0;1838.2656
0.58;0.9772967;0.7854747;2005.8909;-6621.2344;-4615.3438;319.95187;0.0;0.0;1838.2656
0.585;0.9769379;0.7929745;2004.638;-6616.4307;-4611.793;363.8171;0.0;0.0;1838.2656
0.59;0.9765442;0.8019231;2003.4392;-6610.116;-4606.677;415.5646;0.0;0.0;1838.2656
0.595;0.9762473;0.81118953;2002.8989;-6603.938;-4601.039;467.74774;0.0;0.0;1838.2656
0.6;0.97619045;0.81972104;2003.3933;-6598.804;-4595.411;513.8084;0.0;0.0;1838.2656
0.605;0.9763587;0.82658553;2004.4866;-6595.2363;-4590.75;549.4783;0.0;0.0;1838.2656
0.61;0.9765205;0.8320922;2005.2032;-6592.6797;-4587.4766;578.413;0.0;0.0;1838.2656
0.615;0.9764619;0.8370385;2005.0483;-6590.2817;-4585.2334;606.0008;0.0;0.0;1838.2656
0.62;0.97620916;0.8418711;2004.3931;-6587.7173;-4583.324;633.962;0.0;0.0;1838.2656
0.625;0.9759397;0.8469785;2003.9668;-6584.9697;-4581.003;662.9808;0.0;0.0;1838.2656
0.63;0.9758192;0.8513508;2004.2203;-6582.7236;-4578.5034;686.586;0.0;0.0;1838.2656
0.635;0.9758693;0.854124;2005.0128;-6582.2886;-4577.276;700.29486;0.0;0.0;1838.2656
0.64;0.97598237;0.8553722;2005.8677;-6582.5645;-4576.697;705.46844;0.0;0.0;1838.2656
0.645;0.9760416;0.8551342;2006.448;-6584.0117;-4577.5635;702.9954;0.0;0.0;1838.2656
0.65;0.9760224;0.85360855;2006.7859;-6586.228;-4579.4424;693.9061;0.0;0.0;1838.2656
0.655;0.9759719;0.85111505;2007.0529;-6589.038;-4581.9854;679.62103;0.0;0.0;1838.2656
0.66;0.9759149;0.8474618;2007.1989;-6592.856;-4585.657;659.1822;0.0;0.0;1838.2656
0.665;0.9757891;0.8433368;2006.9126;-6596.8257;-4589.913;637.00616;0.0;0.0;1838.2656
0.67;0.9755081;0.839539;2005.9216;-6600.234;-4594.3125;618.0439;0.0;0.0;1838.2656
0.675;0.9750467;0.8369512;2004.2823;-6602.224;-4597.942;607.0512;0.0;0.0;1838.2656
0.68;0.97447616;0.8362916;2002.357;-6602.341;-4599.984;607.26416;0.0;0.0;1838.2656
0.685;0.9739082;0.8371103;2000.5867;-6601.1704;-4600.584;615.31976;0.0;0.0;1838.2656
0.69;0.97343904;0.83845675;1999.3159;-6599.825;-4600.5093;625.2869;0.0;0.0;1838.2656
