time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.9977252;0.004996209
0.01;7.5054515e-05;0.0012509086;2.9888434;0.0099776145
0.015;0.00029977175;0.0033307974;2.9624076;0.014914961
0.02;0.0006728238;0.005606865;2.9190426;0.019780032
0.025;0.0011920276;0.00794685;2.8597343;0.024546254
0.03;0.0018544041;0.010302245;2.7857878;0.029189235
0.035;0.0026562344;0.012648735;2.6987295;0.03368712
0.04;0.0035931556;0.014971483;2.6002698;0.0380209
0.045;0.004660208;0.017260028;2.492195;0.04217456
0.05;0.0058519687;0.01950656;2.3763235;0.046135098
0.055;0.0071626166;0.021704897;2.2544382;0.049892496
0.06;0.008586073;0.023850203;2.1282592;0.053439595
0.065;0.01011597;0.025938386;1.9993955;0.05677192
0.07;0.011745873;0.027966363;1.8693328;0.059887473
0.075;0.013469216;0.029931592;1.7394232;0.06278651
0.08;0.015279568;0.031832434;1.6108605;0.06547128
0.085;0.017170427;0.033667505;1.4847006;0.06794578
0.09;0.019135486;0.035436086;1.3618404;0.070215516
0.095;0.02116862;0.03713793;1.2430391;0.07228725
0.1;0.023263853;0.03877309;1.1289266;0.074168794
0.105;0.025415517;0.040342093;1.0199962;0.075868785
0.11;0.027618121;0.04184564;0.91663295;0.077396505
0.115;0.029866455;0.043284718;0.8191084;0.07876169
0.12;0.03215572;0.04466072;0.7276052;0.07997436
0.125;0.034481343;0.045975123;0.6422167;0.081044726
0.13;0.036838964;0.047229443;0.5629623;0.08198299
0.135;0.03922472;0.04842558;0.48979712;0.08279932
0.14;0.041634936;0.0495654;0.42262053;0.08350369
0.145;0.044066176;0.05065078;0.36128032;0.08410583
0.15;0.04651543;0.05168381;0.30558997;0.08461514
0.155;0.048980054;0.052666724;0.2553285;0.08504069
0.16;0.051457275;0.05360133;0.21024822;0.085391104
0.165;0.053945027;0.054489926;0.17008191;0.08567457
0.17;0.056441326;0.055334635;0.13454834;0.08589882
0.175;0.058944214;0.05613735;0.103356056;0.08607108
0.18;0.061452277;0.05690025;0.07620857;0.08619809
0.185;0.063964255;0.057625454;0.052807484;0.086286105
0.19;0.0664789;0.058314826;0.03285612;0.08634087
0.195;0.06899505;0.05897013;0.01606238;0.08636764
0.2;0.071512066;0.05959339;0.0021406978;0.086371206
0.205;0.07402929;0.060186412;-0.009185628;0.086355895
0.21;0.07654594;0.060750745;-0.018182868;0.08632559
0.215;0.07906179;0.06128821;-0.025105631;0.08628375
