radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;1.4009803e-05
0.87;1.3689589e-05
0.88;0.00012711217
0.89;0.0010268769
0.9;0.003901599
0.91;0.012312307
0.92;0.032368664
0.93;0.074587956
0.9400000000000001;0.14742656
0.9500000000000001;0.26130298
0.96;0.4240179
0.97;0.6296215
0.98;0.8647382
0.99;1.123129
1.0;1.3975531
1.01;1.6580892
1.02;1.8960717
1.03;2.0962322
1.04;2.275464
1.05;2.4062405
1.06;2.5026438
1.07;2.5563838
1.08;2.5708938
1.09;2.5651827
1.1;2.530643
1.11;2.4721634
1.12;2.406352
1.1300000000000001;2.3402324
1.1400000000000001;2.261769
1.1500000000000001;2.1718647
1.16;2.0874112
1.17;1.9956617
1.18;1.915801
1.19;1.8311327
1.2;1.7478517
1.21;1.6728909
1.22;1.6045188
1.23;1.5344952
1.24;1.4643364
1.25;1.3986602
1.26;1.3464588
1.27;1.2929573
1.28;1.2451578
1.29;1.1965718
1.3;1.1471264
1.31;1.1073748
1.32;1.0714061
1.33;1.0342644
1.34;0.9979625
1.35;0.9653327
1.36;0.9421903
1.37;0.9203551
1.3800000000000001;0.88995695
1.3900000000000001;0.8692992
1.4000000000000001;0.8466731
1.41;0.8280392
1.42;0.81506264
1.43;0.80042046
1.44;0.78988975
1.45;0.7768261
1.46;0.75876707
1.47;0.7446736
1.48;0.73679614
1.49;0.72893924
1.5;0.72046787
1.51;0.7119965
1.52;0.70882064
1.53;0.7057148
1.54;0.7026677
1.55;0.6986785
1.56;0.6989407
1.57;0.6967326
1.58;0.6954608
1.59;0.69225764
1.6;0.698047
1.61;0.6994986
1.62;0.6996828
1.6300000000000001;0.70099765
1.6400000000000001;0.7086271
1.6500000000000001;0.7136718
1.6600000000000001;0.7220756
1.67;0.7270516
1.68;0.73559034
1.69;0.7442024
1.7;0.7573958
1.71;0.765715
1.72;0.7727715
1.73;0.78358245
1.74;0.79452854
1.75;0.8060585
1.76;0.81837416
1.77;0.8321057
1.78;0.8421862
1.79;0.8555164
1.8;0.8693943
1.81;0.8850307
1.82;0.9045138
1.83;0.9200989
1.84;0.9327468
1.85;0.94841015
1.86;0.9636213
1.87;0.97705996
1.8800000000000001;0.9919411
1.8900000000000001;1.0092115
1.9000000000000001;1.028657
1.9100000000000001;1.0395983
1.92;1.0517038
1.93;1.0649427
1.94;1.0761735
1.95;1.088625
1.96;1.1062641
1.97;1.115992
1.98;1.1308248
1.99;1.144214
2.0;1.1561971
2.0100000000000002;1.1646963
2.02;1.1737789
2.0300000000000002;1.1861176
2.04;1.1896113
2.05;1.1945118
2.06;1.197229
