x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-2.4141428;-2.9014125;-11.348712;-0.17912214;0.4094924;2.6268854;0.114671186;1.035975;-1.0671091;12.25;12.25;12.25;1372;50.00000000000713
-3.330693;-7.2233887;-7.8095336;-0.8838239;1.1691549;-0.43887165;-9.455495;0.17439196;-20.268408;12.25;12.25;12.25;1372;50.00000000000713
-5.663184;-7.338922;-3.6368415;1.7965779;-1.287886;1.1693573;-5.981524;-15.019506;-9.588555;12.25;12.25;12.25;1372;50.00000000000713
-6.623313;-10.575566;-6.6160526;-1.3896474;1.2387435;0.38473704;-32.408726;11.282481;12.817832;12.25;12.25;12.25;1372;50.00000000000713
-4.1562195;-5.2446537;-6.638654;-0.117896184;-0.99130535;0.43712395;-11.43405;5.682982;1.5681835;12.25;12.25;12.25;1372;50.00000000000713
0.8961776;-3.3680792;-5.7302556;-0.376138;0.42626077;0.6927072;4.4569306;-32.0556;-10.22285;12.25;12.25;12.25;1372;50.00000000000713
-1.2636814;-3.1659937;-2.3748386;-0.09657229;1.6095762;0.7677566;-4.4889336;16.465754;-6.1405525;12.25;12.25;12.25;1372;50.00000000000713
0.8254225;-2.701458;-8.3159075;0.18710007;-0.5546955;0.12033476;-1.0475323;10.583089;-17.886276;12.25;12.25;12.25;1372;50.00000000000713
-1.2128248;-6.4643307;-7.217089;0.44476935;-1.0964981;0.83437747;-5.305876;-1.880691;2.8887646;12.25;12.25;12.25;1372;50.00000000000713
0.28503203;-5.502859;-7.8893085;-0.7418728;0.37981185;-0.4881255;0.53836054;-8.013431;-6.431944;12.25;12.25;12.25;1372;50.00000000000713
-4.634863;-7.6360598;-5.6480856;0.9970495;0.9104221;-0.36963886;13.461966;-19.945772;15.876233;12.25;12.25;12.25;1372;50.00000000000713
3.9903362;-5.5388236;-5.6355004;-0.70281017;0.8810443;-0.5724039;3.6727455;-11.374432;4.2844677;12.25;12.25;12.25;1372;50.00000000000713
-2.4467907;-3.0250063;-5.034369;0.105190225;0.75130194;-1.9644479;-1.9831342;-4.067438;55.9297;12.25;12.25;12.25;1372;50.00000000000713
8.801147;-1.9915335;-12.519593;-1.6390074;-0.7438878;0.2980006;-20.599352;-6.692045;-26.712921;12.25;12.25;12.25;1372;50.00000000000713
3.7563639;-5.0034924;-10.442956;-1.2435431;0.63975644;-0.0011193315;6.2214727;-0.30080077;-5.1962085;12.25;12.25;12.25;1372;50.00000000000713
-2.66815;-9.236617;-6.601094;-0.15530379;-1.0176015;-0.23802033;3.4623308;-2.578709;-1.4818187;12.25;12.25;12.25;1372;50.00000000000713
3.5189817;-9.726732;-6.6316233;-0.3630296;0.15189084;0.70328844;-15.91577;-1.1867456;-4.6688886;12.25;12.25;12.25;1372;50.00000000000713
6.960076;-3.6652682;-6.008413;0.6179289;0.23599908;0.087696075;2.0888402;-20.911083;9.199347;12.25;12.25;12.25;1372;50.00000000000713
0.48847058;-5.9638844;-2.3492699;-1.2552596;-1.0771424;1.1224883;0.21584563;2.8994036;5.9389753;12.25;12.25;12.25;1372;50.00000000000713
5.909041;-3.026221;-2.3626037;1.8870308;1.9436383;-0.00081538595;-4.1532273;-0.040054034;6.7786164;12.25;12.25;12.25;1372;50.00000000000713
2.3381705;-6.7931223;-7.1175222;-2.2723825;0.7390705;-2.3023255;-0.09847292;-2.9681768;-1.4073464;12.25;12.25;12.25;1372;50.00000000000713
3.8244383;-4.90489;-1.891481;0.56130594;-0.046273757;1.2919395;6.6231318;1.532568;-17.501348;12.25;12.25;12.25;1372;50.00000000000713
5.9665;-1.911799;-2.5928597;-0.019875057;0.22262825;-0.99191;5.232092;-4.8689857;0.99847025;12.25;12.25;12.25;1372;50.00000000000713
4.5111203;-7.8044853;-6.5182657;0.757794;0.054518703;0.38616583;-6.1650286;-1.3603077;-6.07566;12.25;12.25;12.25;1372;50.00000000000713
6.2395587;-10.75658;-10.680994;0.56668437;0.24347554;0.6802602;0.7034511;-1.4962126;-8.303259;12.25;12.25;12.25;1372;50.00000000000713
7.868212;-7.8174267;-7.6356277;-0.22323515;1.9126612;0.33431605;-3.4013011;-1.3143247;-7.597527;12.25;12.25;12.25;1372;50.00000000000713
