radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;6.607493e-05
0.98;0.0016021513
0.99;0.006343221
1.0;0.017827189
1.01;0.05003559
1.02;0.13575016
1.03;0.3896232
1.04;0.94118553
1.05;2.1333606
1.06;4.280113
1.07;7.286772
1.08;10.432629
1.09;12.407733
1.1;12.46776
1.11;10.856044
1.12;8.533418
1.1300000000000001;6.247343
1.1400000000000001;4.4237466
1.1500000000000001;3.1380527
1.16;2.2386096
1.17;1.6448255
1.18;1.2662919
1.19;0.96636504
1.2;0.7771134
1.21;0.6333232
1.22;0.52136797
1.23;0.4416806
1.24;0.38089988
1.25;0.33767635
1.26;0.30419254
1.27;0.27572507
1.28;0.24832453
1.29;0.23607433
1.3;0.2159941
1.31;0.20543686
1.32;0.20163995
1.33;0.1957907
1.34;0.19100942
1.35;0.1837293
1.36;0.19005409
1.37;0.18544321
1.3800000000000001;0.18002316
1.3900000000000001;0.19505876
1.4000000000000001;0.19544655
1.41;0.21523891
1.42;0.22466618
1.43;0.24210231
1.44;0.2576619
1.45;0.28848767
1.46;0.32986587
1.47;0.38769525
1.48;0.4401469
1.49;0.53887326
1.5;0.65235615
1.51;0.80338156
1.52;0.96144825
1.53;1.1343236
1.54;1.2803301
1.55;1.3853033
1.56;1.4317335
1.57;1.405071
1.58;1.3428179
1.59;1.2155229
1.6;1.10096
1.61;0.9505306
1.62;0.8153092
1.6300000000000001;0.6942657
1.6400000000000001;0.59817415
1.6500000000000001;0.5213145
1.6600000000000001;0.4707807
1.67;0.42391977
1.68;0.39425024
1.69;0.36599147
1.7;0.3452529
1.71;0.33741
1.72;0.33866778
1.73;0.3476168
1.74;0.37255517
1.75;0.39518237
1.76;0.43901852
1.77;0.49871948
1.78;0.55128056
1.79;0.6205645
1.8;0.68073624
1.81;0.7631143
1.82;0.8544194
1.83;0.98087233
1.84;1.1932942
1.85;1.5127573
1.86;1.9539918
1.87;2.5221436
1.8800000000000001;3.1597493
1.8900000000000001;3.7675922
1.9000000000000001;4.1595016
1.9100000000000001;4.291428
1.92;4.120146
1.93;3.7171195
1.94;3.207676
1.95;2.6659567
1.96;2.1850963
1.97;1.7780434
1.98;1.4819001
1.99;1.2490034
2.0;1.0622424
2.0100000000000002;0.93806535
2.02;0.84361124
2.0300000000000002;0.79345846
2.04;0.7632527
2.05;0.7657433
2.06;0.80334514
2.07;0.8573887
2.08;0.91417277
2.09;0.9720053
