x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-5.2228894;-4.345319;-6.7628117;-0.0023602352;-0.0028635792;0.0074851722;-0.046614625;0.014514475;-0.025713578;12.25;12.25;12.25;1372;199.9999999998906
-4.6359057;-4.72638;-5.918476;-0.0024288564;0.0004903202;0.0044572996;0.029036645;0.020710131;-0.0007961095;12.25;12.25;12.25;1372;199.9999999998906
-5.4629064;-6.0697265;-5.071111;-0.0041330163;0.0014223711;-0.0018913433;0.00473418;-0.008394198;-0.022722913;12.25;12.25;12.25;1372;199.9999999998906
-4.743566;-5.1453614;-4.8266015;-0.0021023753;0.0035219097;-0.0008574086;0.023033492;-0.020471038;0.011620258;12.25;12.25;12.25;1372;199.9999999998906
-3.8373346;-5.401043;-5.3715596;0.0040638414;-0.00096868013;0.0016682665;-0.051547848;-0.006573709;-0.0049423813;12.25;12.25;12.25;1372;199.9999999998906
-2.883446;-3.826343;-6.4615774;-0.00071149337;-0.00087691937;0.004465732;0.019868206;-0.0051149013;0.004436957;12.25;12.25;12.25;1372;199.9999999998906
-2.74934;-4.059452;-5.3815656;0.0016613534;-0.003974268;0.0027308501;-0.0039027918;0.06920822;0.05324944;12.25;12.25;12.25;1372;199.9999999998906
-2.8235476;-5.328578;-5.758888;0.002712017;0.0010007058;0.0018655967;0.023136014;0.0055701723;-0.008489754;12.25;12.25;12.25;1372;199.9999999998906
-2.031788;-4.5832076;-6.017977;0.0027212591;0.00034947429;-0.0018627811;0.067039974;0.00025216292;0.030593507;12.25;12.25;12.25;1372;199.9999999998906
-1.0979118;-5.0351906;-6.705987;0.0030950056;-0.0027305272;-0.004523372;0.010405023;0.019412328;-0.0028496732;12.25;12.25;12.25;1372;199.9999999998906
-1.5075966;-3.9291167;-5.2637877;0.0042030658;0.002550232;-0.0021463507;-0.06475579;-0.0027687154;0.031900212;12.25;12.25;12.25;1372;199.9999999998906
-1.1425662;-5.9577923;-5.1536326;-0.001501264;0.0028219165;0.00065708964;0.019462338;0.0062413006;0.004830666;12.25;12.25;12.25;1372;199.9999999998906
-1.2825458;-6.1692247;-6.9758477;-0.0042212643;-0.0012131652;0.0053403443;0.036800098;0.018174369;-0.005702873;12.25;12.25;12.25;1372;199.9999999998906
