time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.0499;-2.9018369;102.65585;-7985.04;-7882.3843;-16208.353;0.0;0.0;1838.2656
0.01;0.049781393;-2.9014344;102.37338;-7984.934;-7882.5605;-16205.567;0.0;0.0;1838.2656
0.015;0.049662758;-2.9006922;102.090675;-7984.753;-7882.662;-16200.91;0.0;0.0;1838.2656
0.02;0.04954403;-2.8996148;101.80741;-7984.469;-7882.6616;-16194.402;0.0;0.0;1838.2656
0.025;0.049425118;-2.8981316;101.5241;-7983.993;-7882.469;-16185.655;0.0;0.0;1838.2656
0.03;0.04930636;-2.8961375;101.24204;-7983.1025;-7881.8604;-16174.094;0.0;0.0;1838.2656
0.035;0.049188048;-2.8935432;100.96189;-7981.6567;-7880.695;-16159.228;0.0;0.0;1838.2656
0.04;0.049070235;-2.8903615;100.68303;-7979.672;-7878.989;-16141.123;0.0;0.0;1838.2656
0.045;0.04895254;-2.8865175;100.40478;-7977.0127;-7876.608;-16119.367;0.0;0.0;1838.2656
0.05;0.048835013;-2.882151;100.12602;-7973.901;-7873.775;-16094.729;0.0;0.0;1838.2656
0.055;0.048717074;-2.877279;99.84515;-7970.426;-7870.5806;-16067.3;0.0;0.0;1838.2656
0.06;0.048598517;-2.8722355;99.5601;-7967.1636;-7867.6035;-16038.915;0.0;0.0;1838.2656
0.065;0.048478544;-2.8666918;99.27077;-7963.518;-7864.247;-16007.765;0.0;0.0;1838.2656
0.07;0.048357904;-2.860883;98.97774;-7959.921;-7860.9434;-15975.144;0.0;0.0;1838.2656
0.075;0.048236143;-2.8549933;98.679245;-7956.7217;-7858.0425;-15942.066;0.0;0.0;1838.2656
0.08;0.048112854;-2.8487375;98.37586;-7953.3706;-7854.9946;-15906.96;0.0;0.0;1838.2656
0.085;0.047988698;-2.8423257;98.0681;-7950.289;-7852.221;-15870.985;0.0;0.0;1838.2656
0.09;0.047863297;-2.835373;97.75658;-7946.7324;-7848.976;-15832.019;0.0;0.0;1838.2656
0.095;0.047737304;-2.8282602;97.441605;-7943.422;-7845.9805;-15792.163;0.0;0.0;1838.2656
0.1;0.04761025;-2.82084;97.12283;-7940.076;-7842.953;-15750.6045;0.0;0.0;1838.2656
0.105;0.047482423;-2.8130686;96.80123;-7936.5977;-7839.7964;-15707.1045;0.0;0.0;1838.2656
0.11;0.047354005;-2.8049715;96.4773;-7933.0635;-7836.586;-15661.803;0.0;0.0;1838.2656
0.115;0.047225095;-2.7968802;96.15091;-7930.031;-7833.88;-15616.528;0.0;0.0;1838.2656
0.12;0.047095496;-2.7882838;95.82319;-7926.575;-7830.752;-15568.465;0.0;0.0;1838.2656
0.125;0.046965986;-2.7794178;95.49599;-7923.1104;-7827.6143;-15518.916;0.0;0.0;1838.2656
0.13;0.04683669;-2.7703757;95.169556;-7919.7886;-7824.619;-15468.398;0.0;0.0;1838.2656
0.135;0.04670762;-2.7610009;94.84515;-7916.33;-7821.485;-15416.049;0.0;0.0;1838.2656
0.14;0.046579394;-2.7513149;94.52471;-7912.746;-7818.221;-15361.992;0.0;0.0;1838.2656
0.145;0.04645232;-2.7414157;94.20943;-7909.169;-7814.9595;-15306.77;0.0;0.0;1838.2656
0.15;0.046326715;-2.7312517;93.900955;-7905.484;-7811.583;-15250.1;0.0;0.0;1838.2656
0.155;0.046203066;-2.720982;93.60092;-7901.995;-7808.394;-15192.865;0.0;0.0;1838.2656
0.16;0.04608169;-2.7103913;93.3112;-7898.2334;-7804.9224;-15133.879;0.0;0.0;1838.2656
0.165;0.04596318;-2.6996765;93.03382;-7894.52;-7801.4863;-15074.235;0.0;0.0;1838.2656
0.17;0.045847967;-2.6888173;92.77047;-7890.7866;-7798.016;-15013.821;0.0;0.0;1838.2656
0.175;0.045736417;-2.6778576;92.52248;-7887.084;-7794.5615;-14952.887;0.0;0.0;1838.2656
0.18;0.045628835;-2.6667728;92.2917;-7883.291;-7790.9995;-14891.294;0.0;0.0;1838.2656
0.185;0.045525808;-2.6557097;92.07949;-7879.6265;-7787.547;-14829.858;0.0;0.0;1838.2656
0.19;0.0454274;-2.6445608;91.88673;-7875.852;-7783.9653;-14767.989;0.0;0.0;1838.2656
0.195;0.045333955;-2.6334376;91.71446;-7872.1216;-7780.407;-14706.303;0.0;0.0;1838.2656
0.2;0.045245633;-2.62254;91.56264;-7868.7124;-7777.15;-14645.9;0.0;0.0;1838.2656
0.205;0.045162205;-2.6116276;91.43133;-7865.1646;-7773.7334;-14585.458;0.0;0.0;1838.2656
0.21;0.04508391;-2.6010761;91.32037;-7862.0728;-7770.7524;-14527.047;0.0;0.0;1838.2656
0.215;0.0450104;-2.5906346;91.228836;-7858.9385;-7767.7095;-14469.281;0.0;0.0;1838.2656
0.22;0.04494153;-2.5803883;91.1558;-7855.8086;-7764.653;-14412.629;0.0;0.0;1838.2656
0.225;0.044876933;-2.5704777;91.09958;-7852.957;-7761.8574;-14357.861;0.0;0.0;1838.2656
0.23;0.04481617;-2.5608952;91.0582;-7850.2715;-7759.2134;-14304.934;0.0;0.0;1838.2656
0.235;0.044758618;-2.5517044;91.02924;-7847.842;-7756.8125;-14254.189;0.0;0.0;1838.2656
0.24;0.044703722;-2.54284;91.01071;-7845.52;-7754.5093;-14205.268;0.0;0.0;1838.2656
0.245;0.044651035;-2.5343647;90.9998;-7843.3267;-7752.3267;-14158.506;0.0;0.0;1838.2656
0.25;0.044599604;-2.5264184;90.99336;-7841.5254;-7750.532;-14114.672;0.0;0.0;1838.2656
0.255;0.04454883;-2.5187535;90.98847;-7839.693;-7748.7046;-14072.392;0.0;0.0;1838.2656
0.26;0.0444979;-2.511727;90.98251;-7838.3164;-7747.334;-14033.63;0.0;0.0;1838.2656
0.265;0.044446345;-2.5050707;90.972885;-7837.064;-7746.0913;-13996.901;0.0;0.0;1838.2656
0.27;0.044393376;-2.4989672;90.95714;-7836.152;-7745.195;-13963.211;0.0;0.0;1838.2656
0.275;0.04433862;-2.4931345;90.933556;-7835.1465;-7744.213;-13930.998;0.0;0.0;1838.2656
0.28;0.044281647;-2.4877007;90.90049;-7834.246;-7743.3457;-13900.965;0.0;0.0;1838.2656
0.285;0.044222113;-2.4828455;90.85597;-7833.8105;-7742.9546;-13874.101;0.0;0.0;1838.2656
0.29;0.0441594;-2.4783497;90.79864;-7833.46;-7742.661;-13849.192;0.0;0.0;1838.2656
0.295;0.044093538;-2.4741771;90.72808;-7833.165;-7742.437;-13826.04;0.0;0.0;1838.2656
0.3;0.04402431;-2.4704466;90.64398;-7833.1978;-7742.5537;-13805.299;0.0;0.0;1838.2656
0.305;0.043951817;-2.4670439;90.547104;-7833.2666;-7742.7197;-13786.34;0.0;0.0;1838.2656
0.31;0.043876342;-2.4639728;90.43682;-7833.5654;-7743.1284;-13769.183;0.0;0.0;1838.2656
0.315;0.04379732;-2.4611218;90.31258;-7833.8076;-7743.495;-13753.211;0.0;0.0;1838.2656
0.32;0.043715097;-2.4584732;90.17598;-7834.0615;-7743.8857;-13738.332;0.0;0.0;1838.2656
0.325;0.043630064;-2.4560874;90.02765;-7834.4434;-7744.4155;-13724.878;0.0;0.0;1838.2656
0.33;0.04354219;-2.4538844;89.86792;-7834.864;-7744.996;-13712.41;0.0;0.0;1838.2656
0.335;0.043451656;-2.451859;89.696976;-7835.331;-7745.6343;-13700.898;0.0;0.0;1838.2656
0.34;0.043358397;-2.4499803;89.5163;-7835.866;-7746.35;-13690.176;0.0;0.0;1838.2656
0.345;0.043263208;-2.4482899;89.32746;-7836.4663;-7747.1387;-13680.476;0.0;0.0;1838.2656
0.35;0.043166034;-2.4466958;89.13068;-7837.0996;-7747.9688;-13671.292;0.0;0.0;1838.2656
0.355;0.04306705;-2.445104;88.92702;-7837.5845;-7748.657;-13662.1045;0.0;0.0;1838.2656
0.36;0.042966623;-2.443606;88.716995;-7838.1055;-7749.3887;-13653.425;0.0;0.0;1838.2656
0.365;0.042864595;-2.4422302;88.50201;-7838.741;-7750.2393;-13645.408;0.0;0.0;1838.2656
