time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;4.3485157e-05;7.247526e-08
0.01;1.2792829e-09;2.1321382e-08;4.3483233e-05;1.4494732e-07
0.015;5.1168345e-09;5.6853718e-08;4.34803e-05;2.1741448e-07
0.02;1.1512227e-08;9.593523e-08;4.3476906e-05;2.89876e-07
0.025;2.0465022e-08;1.3643347e-07;4.347335e-05;3.6233158e-07
0.03;3.1974757e-08;1.7763753e-07;4.3469605e-05;4.3478093e-07
0.035;4.6041e-08;2.1924286e-07;4.3465843e-05;5.07224e-07
0.04;6.266322e-08;2.6109674e-07;4.3461965e-05;5.796606e-07
0.045;8.1840945e-08;3.031146e-07;4.3457934e-05;6.520905e-07
0.05;1.03573726e-07;3.4524575e-07;4.345381e-05;7.245135e-07
0.055;1.2786113e-07;3.8745796e-07;4.344954e-05;7.969294e-07
0.06;1.5470268e-07;4.2972965e-07;4.3445216e-05;8.693381e-07
0.065;1.8409759e-07;4.720451e-07;4.3440778e-05;9.417394e-07
0.07;2.1604541e-07;5.1439383e-07;4.343628e-05;1.0141332e-06
0.075;2.5054558e-07;5.5676793e-07;4.34317e-05;1.0865193e-06
0.08;2.8759843e-07;5.991634e-07;4.3427073e-05;1.1588978e-06
0.085;3.2720217e-07;6.415729e-07;4.3422242e-05;1.2312682e-06
0.09;3.693567e-07;6.839939e-07;4.34174e-05;1.3036306e-06
0.095;4.1406156e-07;7.264238e-07;4.3412463e-05;1.3759847e-06
0.1;4.6131646e-07;7.6886073e-07;4.3407374e-05;1.4483303e-06
0.105;5.111195e-07;8.1130077e-07;4.340223e-05;1.5206673e-06
0.11;5.634721e-07;8.537456e-07;4.3396896e-05;1.5929955e-06
0.115;6.1837227e-07;8.9619164e-07;4.3391545e-05;1.6653147e-06
0.12;6.758198e-07;9.3863866e-07;4.3386026e-05;1.7376248e-06
0.125;7.3581384e-07;9.810851e-07;4.3380434e-05;1.8099255e-06
0.13;7.9835473e-07;1.0235317e-06;4.3374697e-05;1.8822167e-06
0.135;8.6344073e-07;1.0659762e-06;4.3368815e-05;1.954498e-06
0.14;9.3107053e-07;1.1084173e-06;4.3362837e-05;2.0267694e-06
0.145;1.0012458e-06;1.1508573e-06;4.335676e-05;2.0990308e-06
0.15;1.0739642e-06;1.1932934e-06;4.3350454e-05;2.1712815e-06
0.155;1.1492252e-06;1.235726e-06;4.334411e-05;2.2435215e-06
0.16;1.2270293e-06;1.2781555e-06;4.3337557e-05;2.3157509e-06
0.165;1.307373e-06;1.3205788e-06;4.333093e-05;2.387969e-06
0.17;1.3902588e-06;1.3629989e-06;4.3324104e-05;2.460176e-06
0.175;1.4756847e-06;1.4054141e-06;4.3317206e-05;2.5323714e-06
0.18;1.5636487e-06;1.4478228e-06;4.3310112e-05;2.6045548e-06
0.185;1.6541543e-06;1.490229e-06;4.3302913e-05;2.6767264e-06
0.19;1.7471948e-06;1.532627e-06;4.329546e-05;2.7488854e-06
0.195;1.8427736e-06;1.5750203e-06;4.3288037e-05;2.8210322e-06
0.2;1.940887e-06;1.6174057e-06;4.3280335e-05;2.893166e-06
0.205;2.041537e-06;1.6597862e-06;4.3272517e-05;2.965287e-06
0.21;2.1447224e-06;1.7021607e-06;4.3264587e-05;3.0373944e-06
0.215;2.25044e-06;1.7445271e-06;4.3256452e-05;3.1094887e-06
0.22;2.3586927e-06;1.7868883e-06;4.3248183e-05;3.181569e-06
0.225;2.4694775e-06;1.8292426e-06;4.323987e-05;3.2536354e-06
0.23;2.582793e-06;1.8715892e-06;4.323126e-05;3.3256874e-06
0.235;2.6986377e-06;1.9139275e-06;4.3222477e-05;3.3977249e-06
0.24;2.8170148e-06;1.9562603e-06;4.321365e-05;3.4697478e-06
0.245;2.9379203e-06;1.998585e-06;4.320465e-05;3.5417554e-06
0.25;3.0613528e-06;2.0409018e-06;4.319543e-05;3.6137478e-06
0.255;3.1873112e-06;2.08321e-06;4.3186075e-05;3.6857246e-06
0.26;3.3157976e-06;2.1255112e-06;4.3176613e-05;3.7576856e-06
0.265;3.4468087e-06;2.1678043e-06;4.3166936e-05;3.8296307e-06
0.27;3.5803432e-06;2.2100883e-06;4.3157124e-05;3.901559e-06
0.275;3.7164014e-06;2.2523643e-06;4.314715e-05;3.973471e-06
0.28;3.8549824e-06;2.2946324e-06;4.3137014e-05;4.045366e-06
0.285;3.996086e-06;2.3368925e-06;4.3126754e-05;4.117244e-06
0.29;4.139703e-06;2.3791397e-06;4.3116343e-05;4.1891044e-06
0.295;4.2858483e-06;2.4213832e-06;4.310579e-05;4.2609477e-06
0.3;4.4345084e-06;2.4636156e-06;4.3095017e-05;4.3327727e-06
0.305;4.5856814e-06;2.5058368e-06;4.308406e-05;4.404579e-06
0.31;4.739381e-06;2.5480542e-06;4.3073014e-05;4.476368e-06
0.315;4.8955867e-06;2.5902575e-06;4.306179e-05;4.5481374e-06
0.32;5.05431e-06;2.632453e-06;4.305041e-05;4.619888e-06
0.325;5.215551e-06;2.6746416e-06;4.3038934e-05;4.6916193e-06
0.33;5.3792946e-06;2.7168155e-06;4.3027285e-05;4.7633316e-06
0.335;5.5455534e-06;2.7589817e-06;4.301548e-05;4.8350244e-06
0.34;5.7143266e-06;2.8011405e-06;4.300348e-05;4.9066966e-06
0.345;5.8856012e-06;2.8432858e-06;4.2991367e-05;4.978349e-06
0.35;6.0593857e-06;2.8854217e-06;4.297906e-05;5.0499807e-06
0.355;6.235677e-06;2.927548e-06;4.2966647e-05;5.1215916e-06
0.36;6.4144783e-06;2.969666e-06;4.2954038e-05;5.193182e-06
0.365;6.5957765e-06;3.01177e-06;4.2941305e-05;5.2647506e-06
0.37;6.7795836e-06;3.0538665e-06;4.2928415e-05;5.336298e-06
0.375;6.9658895e-06;3.095951e-06;4.291537e-05;5.4078237e-06
0.38;7.1546924e-06;3.138023e-06;4.2902157e-05;5.4793272e-06
0.385;7.346001e-06;3.1800869e-06;4.2888805e-05;5.5508085e-06
0.39;7.539803e-06;3.222138e-06;4.287529e-05;5.6222675e-06
0.395;7.736101e-06;3.2641776e-06;4.286164e-05;5.6937033e-06
0.4;7.934901e-06;3.3062088e-06;4.284784e-05;5.7651164e-06
0.405;8.136189e-06;3.3482258e-06;4.2833857e-05;5.8365063e-06
0.41;8.339969e-06;3.3902313e-06;4.2819764e-05;5.9078725e-06
0.415;8.546254e-06;3.4322306e-06;4.2805546e-05;5.979215e-06
0.42;8.755026e-06;3.4742168e-06;4.2791107e-05;6.0505336e-06
0.425;8.966276e-06;3.5161868e-06;4.2776523e-05;6.121828e-06
0.43;9.180018e-06;3.5581465e-06;4.27618e-05;6.1930973e-06
0.435;9.396256e-06;3.6000981e-06;4.2746975e-05;6.2643426e-06
0.44;9.614968e-06;3.6420333e-06;4.273197e-05;6.3355624e-06
0.445;9.836162e-06;3.6839556e-06;4.27168e-05;6.406757e-06
0.45;1.00598445e-05;3.7258685e-06;4.2701493e-05;6.477926e-06
0.455;1.0286016e-05;3.7677714e-06;4.2686155e-05;6.54907e-06
0.46;1.0514648e-05;3.809655e-06;4.2670505e-05;6.6201874e-06
0.465;1.0745776e-05;3.8515327e-06;4.2654774e-05;6.6912785e-06
0.47;1.0979374e-05;3.893395e-06;4.263887e-05;6.762343e-06
0.475;1.1215444e-05;3.9352435e-06;4.2622854e-05;6.8333816e-06
0.48;1.1453996e-05;3.977082e-06;4.2606673e-05;6.9043926e-06
0.485;1.1695019e-05;4.0189066e-06;4.259038e-05;6.9753764e-06
0.49;1.1938505e-05;4.060716e-06;4.2573953e-05;7.0463334e-06
0.495;1.2184456e-05;4.1025105e-06;4.2557353e-05;7.117262e-06
0.5;1.2432898e-05;4.1442995e-06;4.2540643e-05;7.188163e-06
0.505;1.2683796e-05;4.1860712e-06;4.2523738e-05;7.259036e-06
0.51;1.2937165e-05;4.2278316e-06;4.2506745e-05;7.3298806e-06
0.515;1.3192977e-05;4.2695724e-06;4.2489588e-05;7.4006966e-06
0.52;1.3451268e-05;4.311304e-06;4.2472315e-05;7.471484e-06
0.525;1.3712021e-05;4.353023e-06;4.2454878e-05;7.5422417e-06
0.53;1.3975222e-05;4.3947243e-06;4.2437314e-05;7.612971e-06
0.535;1.4240891e-05;4.436414e-06;4.2419575e-05;7.68367e-06
0.54;1.4508999e-05;4.478086e-06;4.240175e-05;7.75434e-06
0.545;1.4779594e-05;4.5197535e-06;4.2383777e-05;7.82498e-06
0.55;1.5052626e-05;4.5614015e-06;4.2365653e-05;7.895589e-06
0.555;1.5328085e-05;4.6030286e-06;4.23474e-05;7.966168e-06
0.56;1.5606016e-05;4.6446476e-06;4.2328986e-05;8.036716e-06
