time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.772034e-05;6.286723e-08
0.01;1.047827e-09;1.7463785e-08;3.7719437e-05;1.2573297e-07
0.015;4.1911967e-09;4.6568854e-08;3.7717167e-05;1.8859491e-07
0.02;9.429946e-09;7.858288e-08;3.771405e-05;2.5145167e-07
0.025;1.6763895e-08;1.11759306e-07;3.7710353e-05;3.1430224e-07
0.03;2.6192776e-08;1.4551543e-07;3.770642e-05;3.7714628e-07
0.035;3.7716383e-08;1.7960181e-07;3.7702306e-05;4.3998347e-07
0.04;5.133446e-08;2.138936e-07;3.7698188e-05;5.0281375e-07
0.045;6.704674e-08;2.4832124e-07;3.7694062e-05;5.656372e-07
0.05;8.485296e-08;2.828432e-07;3.7689966e-05;6.284538e-07
0.055;1.0475284e-07;3.1743286e-07;3.7685986e-05;6.912638e-07
0.06;1.2674629e-07;3.5207302e-07;3.768204e-05;7.540672e-07
0.065;1.50833e-07;3.8675128e-07;3.767822e-05;8.168642e-07
0.07;1.7701274e-07;4.214589e-07;3.7674512e-05;8.796551e-07
0.075;2.0528508e-07;4.56189e-07;3.7670856e-05;9.4243984e-07
0.08;2.3565018e-07;4.909379e-07;3.766731e-05;1.0052187e-06
0.085;2.6810744e-07;5.2570084e-07;3.766382e-05;1.0679918e-06
0.09;3.0265684e-07;5.604756e-07;3.7660477e-05;1.1307592e-06
0.095;3.3929788e-07;5.9525945e-07;3.7657195e-05;1.1935211e-06
0.1;3.7803116e-07;6.3005194e-07;3.7653932e-05;1.2562778e-06
0.105;4.188551e-07;6.648494e-07;3.7650745e-05;1.3190289e-06
0.11;4.6177104e-07;6.9965307e-07;3.764759e-05;1.381775e-06
0.115;5.06778e-07;7.344609e-07;3.76445e-05;1.4445158e-06
0.12;5.5387596e-07;7.6927216e-07;3.764139e-05;1.5072515e-06
0.125;6.0306377e-07;8.04085e-07;3.763831e-05;1.5699819e-06
0.13;6.543434e-07;8.389018e-07;3.763527e-05;1.6327074e-06
0.135;7.077123e-07;8.737188e-07;3.763219e-05;1.6954277e-06
0.14;7.6317116e-07;9.085371e-07;3.7629143e-05;1.758143e-06
0.145;8.2072006e-07;9.4335644e-07;3.762603e-05;1.820853e-06
0.15;8.803589e-07;9.781766e-07;3.762297e-05;1.883558e-06
0.155;9.4208684e-07;1.0129966e-06;3.761986e-05;1.9462577e-06
0.16;1.0059034e-06;1.0478161e-06;3.76167e-05;2.0089522e-06
0.165;1.0718106e-06;1.0826369e-06;3.7613496e-05;2.0716413e-06
0.17;1.1398056e-06;1.1174565e-06;3.761025e-05;2.134325e-06
0.175;1.2098892e-06;1.1522754e-06;3.7606962e-05;2.1970034e-06
0.18;1.2820615e-06;1.1870939e-06;3.760365e-05;2.2596762e-06
0.185;1.3563216e-06;1.2219114e-06;3.7600235e-05;2.322343e-06
0.19;1.4326707e-06;1.2567288e-06;3.7596717e-05;2.3850043e-06
0.195;1.5111074e-06;1.2915448e-06;3.759323e-05;2.4476599e-06
0.2;1.591632e-06;1.32636e-06;3.758966e-05;2.5103093e-06
0.205;1.6742423e-06;1.3611726e-06;3.758597e-05;2.5729526e-06
0.21;1.7589388e-06;1.3959832e-06;3.7582206e-05;2.6355895e-06
0.215;1.8457253e-06;1.4307947e-06;3.7578426e-05;2.6982202e-06
