radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;2.0534384e-05
0.88;4.0140687e-05
0.89;9.8109296e-05
0.9;0.0005372709
0.91;0.0025525584
0.92;0.007583922
0.93;0.023756722
0.9400000000000001;0.06079048
0.9500000000000001;0.13024673
0.96;0.23772424
0.97;0.3999349
0.98;0.6127171
0.99;0.8695432
1.0;1.159142
1.01;1.4547554
1.02;1.7485443
1.03;2.0057228
1.04;2.2244446
1.05;2.41125
1.06;2.5712595
1.07;2.6566086
1.08;2.7006516
1.09;2.714409
1.1;2.6942313
1.11;2.6406722
1.12;2.5713143
1.1300000000000001;2.4919915
1.1400000000000001;2.415835
1.1500000000000001;2.308055
1.16;2.2289534
1.17;2.1418753
1.18;2.041228
1.19;1.9491361
1.2;1.859128
1.21;1.7723361
1.22;1.675369
1.23;1.5885395
1.24;1.5146426
1.25;1.4508963
1.26;1.3837249
1.27;1.3319944
1.28;1.2709166
1.29;1.2101281
1.3;1.1659422
1.31;1.1238023
1.32;1.0796775
1.33;1.0407116
1.34;1.0023998
1.35;0.97048974
1.36;0.940482
1.37;0.9103226
1.3800000000000001;0.8707023
1.3900000000000001;0.85196686
1.4000000000000001;0.833615
1.41;0.81648666
1.42;0.7918385
1.43;0.78356194
1.44;0.7628371
1.45;0.74905527
1.46;0.7323762
1.47;0.7286818
1.48;0.7127091
1.49;0.70157105
1.5;0.70210594
1.51;0.69373655
1.52;0.6895829
1.53;0.67914414
1.54;0.6720122
1.55;0.6710889
1.56;0.6683724
1.57;0.6642285
1.58;0.66527647
1.59;0.66542953
1.6;0.66740346
1.61;0.6736608
1.62;0.676154
1.6300000000000001;0.67780447
1.6400000000000001;0.68482554
1.6500000000000001;0.69332284
1.6600000000000001;0.697736
1.67;0.70932823
1.68;0.717727
1.69;0.72419673
1.7;0.73394406
1.71;0.7446793
1.72;0.7502094
1.73;0.7646711
1.74;0.77505964
1.75;0.7867054
1.76;0.7989061
1.77;0.81283396
1.78;0.82122326
1.79;0.84032476
1.8;0.8528504
1.81;0.876345
1.82;0.89207417
1.83;0.90888464
1.84;0.9264197
1.85;0.9385514
1.86;0.9695764
1.87;0.9827107
1.8800000000000001;0.99778575
1.8900000000000001;1.0143354
1.9000000000000001;1.0265611
1.9100000000000001;1.0420711
1.92;1.060871
1.93;1.074809
1.94;1.0824025
1.95;1.0958502
1.96;1.1088929
1.97;1.1297078
1.98;1.1414709
1.99;1.1497643
2.0;1.1551987
2.0100000000000002;1.1697648
2.02;1.1810166
2.0300000000000002;1.1861742
2.04;1.1972706
2.05;1.2033552
2.06;1.2041291
