time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.2472064;0.003745344
0.01;5.62523e-05;0.00093753834;2.241514;0.0074812006
0.015;0.00022472287;0.0024969208;2.2245524;0.011188788
0.02;0.0005045598;0.004204665;2.1966372;0.01484985
0.025;0.0008943602;0.005962401;2.1582868;0.018446995
0.03;0.0013921974;0.0077344305;2.1101785;0.02196396
0.035;0.0019956578;0.009503133;2.0531387;0.025385857
0.04;0.0027018783;0.011257826;1.9880972;0.028699351
0.045;0.0035075878;0.012991066;1.9160582;0.031892784
0.05;0.0044091833;0.014697277;1.8380677;0.034956228
0.055;0.0054027415;0.016371945;1.7551806;0.03788153
0.06;0.006484099;0.018011387;1.668439;0.040662263
0.065;0.0076489323;0.019612648;1.578855;0.043293685
0.07;0.008892719;0.02117314;1.487389;0.045772668
0.075;0.010210894;0.022690874;1.3949361;0.048097562
0.08;0.0115988115;0.02416419;1.3023291;0.05026811
0.085;0.013051847;0.025591856;1.2103188;0.052285306
0.09;0.014565385;0.026972935;1.1195776;0.05415127
0.095;0.016134882;0.028306812;1.0307015;0.055869106
0.1;0.017755872;0.02959312;0.9442065;0.057442784
0.105;0.019424016;0.030831771;0.8605316;0.058877002
0.11;0.021135166;0.03202298;0.7800439;0.060177077
0.115;0.02288526;0.03316704;0.70304394;0.061348815
0.12;0.024670461;0.03426453;0.6297666;0.062398426
0.125;0.02648711;0.035316147;0.56038755;0.06333241
0.13;0.028331662;0.036322646;0.49502993;0.064157456
0.135;0.030200908;0.03728507;0.43376648;0.0648804
0.14;0.0320918;0.038204525;0.3766266;0.06550811
0.145;0.034001417;0.039082088;0.32360062;0.066047445
0.15;0.035927117;0.03991902;0.2746449;0.066505186
0.155;0.0378665;0.040716667;0.22968434;0.066888
0.16;0.03981728;0.041476335;0.18862025;0.06720236
0.165;0.041777406;0.0421994;0.15132974;0.06745458
0.17;0.043745074;0.042887326;0.11767321;0.0676507
0.175;0.045718476;0.043541405;0.08749476;0.06779652
0.18;0.047696214;0.04416316;0.060627006;0.06789757
0.185;0.049676836;0.044753905;0.03689292;0.067959055
0.19;0.05165924;0.045315124;0.016108505;0.06798591
0.195;0.05364244;0.045848243;-0.0019144572;0.06798271
0.2;0.055625495;0.046354577;-0.017366542;0.06795377
0.205;0.05760747;0.04683534;-0.030438606;0.06790304
0.21;0.059587985;0.04729205;-0.041320127;0.06783417
0.215;0.061566323;0.047725834;-0.050197657;0.067750506
0.22;0.06354209;0.048137948;-0.05725351;0.06765509
0.225;0.06551488;0.04852954;-0.062664874;0.067550644
0.23;0.067484535;0.048901837;-0.066602245;0.067439646
0.235;0.06945079;0.04925588;-0.0692294;0.06732426
0.24;0.07141358;0.049592763;-0.07070235;0.06720642
0.245;0.073372625;0.04991335;-0.071168624;0.06708781
0.25;0.07532822;0.050218817;-0.07076717;0.066969864
0.255;0.077280134;0.050509892;-0.069627665;0.066853814
0.26;0.07922858;0.050787553;-0.06787098;0.0667407
0.265;0.081173606;0.051052585;-0.06560797;0.066631354
0.27;0.08311512;0.05130563;-0.06294073;0.06652645
0.275;0.085053734;0.051547717;-0.059961967;0.066426516
0.28;0.08698919;0.051779278;-0.056755036;0.06633192
0.285;0.08892172;0.052001003;-0.053394675;0.06624293
0.29;0.09085167;0.052213605;-0.049946938;0.06615969
0.295;0.0927791;0.052417573;-0.046469502;0.06608224
0.3;0.09470424;0.052613463;-0.04301237;0.06601055
0.305;0.09662705;0.052801665;-0.03961816;0.06594452
0.31;0.09854814;0.05298287;-0.03632236;0.06588398
0.315;0.100467324;0.053157315;-0.033154503;0.065828726
0.32;0.10238503;0.053325534;-0.030138172;0.065778494
