radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;4.0140687e-05
0.89;0.0004905464
0.9;0.0022258372
0.91;0.0077515137
0.92;0.021429714
0.93;0.054198336
0.9400000000000001;0.116445266
0.9500000000000001;0.21416752
0.96;0.3563001
0.97;0.5474475
0.98;0.7693882
0.99;1.033056
1.0;1.3028638
1.01;1.6035218
1.02;1.8594208
1.03;2.1064217
1.04;2.2870116
1.05;2.4248364
1.06;2.5169916
1.07;2.5902007
1.08;2.60523
1.09;2.6115725
1.1;2.5773425
1.11;2.530383
1.12;2.4674883
1.1300000000000001;2.3962214
1.1400000000000001;2.3238084
1.1500000000000001;2.2388802
1.16;2.1393902
1.17;2.054177
1.18;1.9477311
1.19;1.8703219
1.2;1.7893275
1.21;1.7010186
1.22;1.6268446
1.23;1.5414572
1.24;1.4727044
1.25;1.4197329
1.26;1.3562554
1.27;1.2943646
1.28;1.2448019
1.29;1.1991439
1.3;1.1526626
1.31;1.1091566
1.32;1.0739503
1.33;1.0388404
1.34;0.99325216
1.35;0.96463054
1.36;0.93470836
1.37;0.9088564
1.3800000000000001;0.88715565
1.3900000000000001;0.8587726
1.4000000000000001;0.83932525
1.41;0.81762797
1.42;0.7967948
1.43;0.78781015
1.44;0.77992636
1.45;0.7711434
1.46;0.7494599
1.47;0.73460037
1.48;0.72274214
1.49;0.71807975
1.5;0.71427774
1.51;0.7079152
1.52;0.7006081
1.53;0.70749485
1.54;0.690572
1.55;0.69081336
1.56;0.69295484
1.57;0.6955623
1.58;0.6906043
1.59;0.68715554
1.6;0.6934556
1.61;0.69034797
1.62;0.69148725
1.6300000000000001;0.69834894
1.6400000000000001;0.70241624
1.6500000000000001;0.70780015
1.6600000000000001;0.714217
1.67;0.7129904
1.68;0.71765006
1.69;0.7376217
1.7;0.74454904
1.71;0.75880253
1.72;0.76469916
1.73;0.7763609
1.74;0.79704785
1.75;0.8109341
1.76;0.8212745
1.77;0.83039117
1.78;0.8427191
1.79;0.85819554
1.8;0.8722922
1.81;0.8861035
1.82;0.90546054
1.83;0.91914123
1.84;0.9372356
1.85;0.9616583
1.86;0.9677831
1.87;0.9803285
1.8800000000000001;0.99110657
1.8900000000000001;1.0149493
1.9000000000000001;1.0224279
1.9100000000000001;1.0347173
1.92;1.0532316
1.93;1.0655577
1.94;1.0810312
1.95;1.0978409
1.96;1.1118257
1.97;1.1166441
1.98;1.1348665
1.99;1.1440864
2.0;1.1550858
2.0100000000000002;1.1641144
2.02;1.1729835
2.0300000000000002;1.1799413
2.04;1.1863796
2.05;1.1992131
2.06;1.2028142
