time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;1.2366492;0.0020610818
0.01;3.096229e-05;0.00051603816;1.2330413;0.0041161506
0.015;0.00012366821;0.0013740913;1.2222652;0.0061532594
0.02;0.00027757694;0.0023131412;1.2044849;0.008160735
0.025;0.0004917968;0.0032786455;1.1799622;0.010127338
0.03;0.00076509593;0.004250533;1.149048;0.012042418
0.035;0.0010959224;0.005218678;1.1121843;0.013896058
0.04;0.0014824289;0.006176787;1.0698749;0.015679182
0.045;0.0019224894;0.007120331;1.0226837;0.017383656
0.05;0.0024137406;0.008045802;0.97121626;0.01900235
0.055;0.0029535964;0.008950292;0.9161048;0.020529192
0.06;0.003539296;0.009831378;0.85799944;0.021959191
0.065;0.004167929;0.010686997;0.79755163;0.023288444
0.07;0.0048364573;0.011515374;0.7354071;0.024514122
0.075;0.005541777;0.012315059;0.6721939;0.025634445
0.08;0.0062807114;0.013084816;0.6085136;0.026648633
0.085;0.007050065;0.013823656;0.5449358;0.02755686
0.09;0.007846662;0.014530855;0.48199296;0.028360182
0.095;0.008667364;0.015205901;0.4201739;0.029060472
0.1;0.009509038;0.015848396;0.3599227;0.029660342
0.105;0.010368701;0.016458256;0.30163538;0.030163068
0.11;0.011243422;0.017035486;0.24565902;0.0305725
0.115;0.012130394;0.01758028;0.19229218;0.030892987
0.12;0.013026962;0.018093005;0.14178382;0.031129293
0.125;0.013930584;0.018574113;0.094336085;0.03128652
0.13;0.014838906;0.01902424;0.050104365;0.03137003
0.135;0.015749699;0.01944407;0.00920041;0.031385362
0.14;0.016660921;0.01983443;-0.02830595;0.031338185
0.145;0.017570708;0.020196218;-0.062383816;0.031234212
0.15;0.018477349;0.020530386;-0.09303836;0.031079149
0.155;0.019379308;0.020837964;-0.12030774;0.030878635
0.16;0.020275256;0.021120058;-0.1442606;0.030638201
0.165;0.021163959;0.021377735;-0.1649915;0.030363215
0.17;0.022044376;0.021612134;-0.18261944;0.03005885
0.175;0.022915654;0.021824433;-0.19728285;0.029730044
0.18;0.023777064;0.0220158;-0.20913847;0.02938148
0.185;0.02462798;0.022187369;-0.21835627;0.029017553
0.19;0.025467986;0.022340339;-0.22511797;0.028642356
0.195;0.026296722;0.022475831;-0.22961332;0.028259668
0.2;0.027113942;0.022594951;-0.23203845;0.027872937
0.205;0.027919576;0.022698842;-0.23259158;0.027485285
0.21;0.028713511;0.022788502;-0.2314725;0.027099498
0.215;0.029495902;0.02286504;-0.22887911;0.026718032
0.22;0.030266786;0.022929383;-0.22500618;0.026343022
0.225;0.031026443;0.022982553;-0.22004235;0.025976283
0.23;0.031775035;0.023025388;-0.21416996;0.025619334
0.235;0.032512937;0.02305882;-0.2075627;0.025273396
0.24;0.03324043;0.023083631;-0.20038448;0.024939422
0.245;0.03395787;0.02310059;-0.19278824;0.024618108
0.25;0.034665674;0.02311045;-0.18491527;0.024309916
0.255;0.035364203;0.023113858;-0.17689542;0.024015091
0.26;0.03605388;0.023111464;-0.16884512;0.023733683
0.265;0.036735095;0.023103835;-0.16086876;0.023465568
0.27;0.037408277;0.023091529;-0.15305752;0.023210471
0.275;0.038073804;0.023075031;-0.14548947;0.022967989
0.28;0.038732033;0.023054782;-0.13823125;0.022737604
0.285;0.039383348;0.023031197;-0.13133673;0.02251871
0.29;0.040028088;0.02300465;-0.12484877;0.022310628
0.295;0.040666606;0.022975484;-0.11879907;0.02211263
0.3;0.041299153;0.022943974;-0.11320947;0.021923948
0.305;0.041926056;0.022910412;-0.10809221;0.021743793
0.31;0.042547528;0.022875015;-0.10345116;0.021571375
0.315;0.043163795;0.022837987;-0.099282235;0.021405905
0.32;0.0437751;0.022799533;-0.09557459;0.021246614
0.325;0.04438156;0.022759775;-0.09231127;0.021092761
0.33;0.044983402;0.02271889;-0.08947044;0.020943644
0.335;0.045580763;0.022676997;-0.087025784;0.020798601
0.34;0.046173707;0.02263417;-0.08494781;0.020657022
0.345;0.04676247;0.022590565;-0.08320458;0.020518348
0.35;0.047346976;0.022546178;-0.08176204;0.020382077
0.355;0.047927387;0.022501122;-0.080585495;0.020247769
0.36;0.048503723;0.022455426;-0.079639226;0.020115037
0.365;0.049076084;0.022409169;-0.0788886;0.019983554
0.37;0.049644403;0.022362344;-0.078298755;0.019853057
0.375;0.050208833;0.022315038;-0.07783649;0.01972333
0.38;0.050769385;0.022267273;-0.07746999;0.019594213
0.385;0.051325966;0.022219032;-0.077168964;0.019465597
0.39;0.051878754;0.02217041;-0.07690554;0.019337421
0.395;0.0524276;0.022121351;-0.07665388;0.019209666
