time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.8148727;0.0046914546
0.01;7.047383e-05;0.0011745638;2.8068097;0.009369471
0.015;0.00028149004;0.0031276671;2.7828133;0.014007493
0.02;0.00063184014;0.0052653346;2.7434142;0.01857985
0.025;0.0011195448;0.0074636326;2.6894767;0.023062311
0.03;0.001741888;0.009677156;2.6221235;0.027432516
0.035;0.0024954854;0.0118832635;2.5426984;0.031670347
0.04;0.0033763465;0.014068111;2.4526901;0.035758164
0.045;0.0043799463;0.016222022;2.3536658;0.03968094
0.05;0.0055013197;0.018337732;2.2472277;0.04342632
0.055;0.006735126;0.020409472;2.1349623;0.04698459
0.06;0.008075708;0.022432521;2.0184076;0.050348602
0.065;0.009517245;0.024403194;1.8990167;0.05351363
0.07;0.01105373;0.026318405;1.7781456;0.056477208
0.075;0.01267914;0.028175866;1.6570208;0.059238907
0.08;0.014387352;0.029973652;1.5367608;0.06180018
0.085;0.016172364;0.031710517;1.4183478;0.06416409
0.09;0.01802828;0.0333857;1.3026354;0.06633515
0.095;0.019949231;0.03499865;1.1903558;0.068319075
0.1;0.021929663;0.036549438;1.0821227;0.070122615
0.105;0.023964105;0.03803826;0.97843695;0.07175334
0.11;0.026047405;0.039465763;0.87969124;0.07321949
0.115;0.028174663;0.040832844;0.7861852;0.074529804
0.12;0.030341106;0.042140428;0.6981277;0.07569335
0.125;0.03254242;0.04338989;0.6156514;0.07671943
0.13;0.034774434;0.04458261;0.53881586;0.07761746
0.135;0.03703334;0.04572017;0.4676208;0.07839683
0.14;0.03931552;0.04680419;0.40200984;0.07906684
0.145;0.041617773;0.04783652;0.34188098;0.07963665
0.15;0.043937072;0.04881897;0.28709078;0.08011513
0.155;0.04627066;0.0497534;0.23746255;0.0805109
0.16;0.04861615;0.050641824;0.19279236;0.08083222
0.165;0.050971225;0.051486082;0.15285441;0.08108698
0.17;0.053333875;0.052288115;0.11740553;0.08128265
0.175;0.05570234;0.053049847;0.086190216;0.08142631
0.18;0.058075137;0.053773277;0.058944385;0.08152454
0.185;0.060450915;0.054460283;0.03539886;0.081583545
0.19;0.06282842;0.055112652;0.015282446;0.08160902
0.195;0.06520669;0.055732217;-0.0016751881;0.081606224
0.2;0.06758492;0.056320764;-0.015741322;0.08157999
0.205;0.06996222;0.056879856;-0.02717799;0.08153469
0.21;0.07233829;0.057411343;-0.03624012;0.08147429
0.215;0.074712686;0.05791681;-0.043174155;0.08140233
0.22;0.077084735;0.058397528;-0.04821637;0.08132197
0.225;0.07945448;0.058855172;-0.051592033;0.08123599
0.23;0.08182164;0.059291042;-0.05351425;0.0811468
0.235;0.08418616;0.059706494;-0.054183498;0.08105649
0.24;0.08654799;0.060102776;-0.053786904;0.080966845
0.245;0.08890698;0.060480937;-0.052498393;0.080879346
0.25;0.091263525;0.06084235;-0.050478254;0.08079522
0.255;0.09361745;0.061187875;-0.047873452;0.080715425
0.26;0.095968984;0.06151858;-0.044817813;0.08064073
0.265;0.09831813;0.061835304;-0.041432075;0.08057168
0.27;0.10066531;0.062139075;-0.037824173;0.08050864
0.275;0.10301048;0.062430594;-0.03408978;0.080451824
0.28;0.10535379;0.06271058;-0.030312462;0.0804013
0.285;0.107695706;0.06297995;-0.026564077;0.08035703
0.29;0.11003613;0.06323916;-0.022905203;0.08031885
0.295;0.11237546;0.06348896;-0.0193859;0.08028654
0.3;0.11471353;0.06372973;-0.016046498;0.0802598
0.305;0.117050886;0.06396223;-0.012918447;0.08023827
0.31;0.11938754;0.06418685;-0.010025049;0.080221556
0.315;0.12172352;0.06440398;-0.007382074;0.080209255
0.32;0.12405906;0.064614095;-0.004998454;0.080200925
0.325;0.12639426;0.06481757;-0.0028770224;0.08019613
0.33;0.12872928;0.06501479;-0.001015447;0.080194436
0.335;0.13106409;0.06520601;0.00059296686;0.08019543
0.34;0.13339892;0.06539162;0.0019585942;0.08019869
0.345;0.13573363;0.06557181;0.0030948007;0.080203846
0.35;0.1380685;0.0657469;0.0040174527;0.080210544
0.355;0.14040357;0.06591717;0.004744423;0.08021845
0.36;0.1427387;0.06608273;0.0052950853;0.08022728
0.365;0.14507417;0.06624391;0.0056898524;0.08023676
0.37;0.14741;0.0664009;0.005949671;0.08024668
0.375;0.14974585;0.06655371;0.0060954685;0.080256835
0.38;0.15208209;0.06670267;0.0061476757;0.08026708
0.385;0.15441851;0.066847846;0.00612583;0.080277294
0.39;0.15675536;0.066989474;0.006048187;0.080287375
0.395;0.15909258;0.06712767;0.00593157;0.080297254
0.4;0.16142973;0.06726239;0.0057911514;0.08030691
0.405;0.16376731;0.06739396;0.0056404434;0.08031631
0.41;0.16610514;0.067522414;0.0054911636;0.08032546
0.415;0.16844289;0.06764775;0.005353249;0.08033438
0.42;0.17078106;0.067770265;0.0052348687;0.08034311
0.425;0.17311926;0.06788991;0.005142482;0.08035168
0.43;0.17545773;0.06800687;0.005080928;0.080360144
0.435;0.17779621;0.06812116;0.005053629;0.08036857
0.44;0.18013462;0.06823281;0.0050626644;0.080377005
0.445;0.1824734;0.0683421;0.0051089865;0.08038552
0.45;0.1848121;0.06844893;0.0051925275;0.08039418
0.455;0.18715104;0.06855349;0.0053123483;0.08040303
0.46;0.18949006;0.06865582;0.005466772;0.08041214
0.465;0.19182895;0.068755895;0.0056534694;0.08042157
0.47;0.19416799;0.0688539;0.0058697355;0.08043135
0.475;0.19650723;0.06894991;0.0061125136;0.080441535
0.48;0.19884667;0.06904398;0.0063788504;0.08045217
0.485;0.20118588;0.06913604;0.006666039;0.080463275
0.49;0.20352554;0.06922638;0.006971951;0.0804749
0.495;0.20586543;0.06931496;0.0072951396;0.08048706
0.5;0.2082053;0.06940176;0.0076350505;0.08049978
0.505;0.21054538;0.06948692;0.007991941;0.0805131
0.51;0.21288554;0.06957044;0.008366817;0.080527045
0.515;0.21522611;0.06965246;0.008761298;0.08054165
0.52;0.21756656;0.069732875;0.009177314;0.080556944
0.525;0.21990749;0.06981191;0.009617056;0.08057297
0.53;0.22224832;0.06988941;0.010082627;0.08058978
0.535;0.22458972;0.06996564;0.010575936;0.0806074
0.54;0.22693142;0.07004056;0.0110984;0.0806259
0.545;0.22927347;0.0701142;0.011650928;0.080645315
0.55;0.2316156;0.07018655;0.012233718;0.08066571
0.555;0.23395857;0.07025783;0.012846379;0.08068712
0.56;0.23630165;0.07032787;0.013487864;0.0807096
0.565;0.2386452;0.07039681;0.014156485;0.080733195
0.57;0.24098946;0.07046475;0.014849936;0.08075794
0.575;0.24333434;0.070531696;0.015565175;0.08078388
0.58;0.24567944;0.070597544;0.016298482;0.080811046
0.585;0.24802563;0.07066257;0.017045552;0.080839455
0.59;0.25037214;0.070726596;0.017801356;0.08086912
0.595;0.25271934;0.07078973;0.018560387;0.08090006
0.6;0.2550678;0.07085216;0.019316599;0.08093225
0.605;0.25741667;0.07091368;0.020063654;0.08096569
0.61;0.2597666;0.07097448;0.020795027;0.08100035
0.615;0.26211736;0.07103451;0.021504251;0.081036195
0.62;0.2644694;0.07109392;0.022185113;0.081073165
0.625;0.2668223;0.07115261;0.022831833;0.08111122
