time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.099994995;-2.8642936;205.71286;-7985.0117;-7779.299;-16207.424;0.0;0.0;1838.2656
0.01;0.09995267;-2.8633368;205.5483;-7984.7754;-7779.227;-16201.817;0.0;0.0;1838.2656
0.015;0.09991001;-2.861705;205.38168;-7984.3857;-7779.004;-16192.485;0.0;0.0;1838.2656
0.02;0.099866696;-2.8591948;205.21466;-7983.479;-7778.264;-16178.308;0.0;0.0;1838.2656
0.025;0.09982382;-2.8555024;205.05124;-7981.502;-7776.4507;-16157.618;0.0;0.0;1838.2656
0.03;0.09978224;-2.8506196;204.89044;-7978.427;-7773.536;-16130.369;0.0;0.0;1838.2656
0.035;0.09974067;-2.8444521;204.72887;-7974.089;-7769.36;-16096.034;0.0;0.0;1838.2656
0.04;0.09969867;-2.8373473;204.56128;-7969.1694;-7764.6084;-16056.517;0.0;0.0;1838.2656
0.045;0.09965419;-2.8295898;204.38086;-7964.167;-7759.786;-16013.375;0.0;0.0;1838.2656
0.05;0.09960596;-2.8211792;204.18507;-7959.0815;-7754.8965;-15966.6;0.0;0.0;1838.2656
0.055;0.09955397;-2.8122742;203.97244;-7954.251;-7750.2783;-15917.065;0.0;0.0;1838.2656
0.06;0.09949758;-2.802922;203.7414;-7949.738;-7745.9966;-15865.027;0.0;0.0;1838.2656
0.065;0.09943662;-2.7926583;203.49376;-7944.7;-7741.2065;-15807.931;0.0;0.0;1838.2656
0.07;0.09937217;-2.781788;203.22975;-7939.753;-7736.523;-15747.455;0.0;0.0;1838.2656
0.075;0.0993033;-2.7702906;202.9477;-7934.8125;-7731.8647;-15683.485;0.0;0.0;1838.2656
0.08;0.09923007;-2.7580206;202.6483;-7929.661;-7727.0127;-15615.221;0.0;0.0;1838.2656
0.085;0.09915281;-2.745279;202.33156;-7924.8325;-7722.501;-15544.319;0.0;0.0;1838.2656
0.09;0.09907121;-2.7316332;201.9989;-7919.5684;-7717.5693;-15468.4;0.0;0.0;1838.2656
0.095;0.0989863;-2.717306;201.65253;-7914.2295;-7712.577;-15388.695;0.0;0.0;1838.2656
0.1;0.09889817;-2.702039;201.29485;-7908.3584;-7707.0635;-15303.786;0.0;0.0;1838.2656
0.105;0.09880791;-2.6862042;200.92899;-7902.5986;-7701.6694;-15215.729;0.0;0.0;1838.2656
0.11;0.09871599;-2.6695528;200.55858;-7896.498;-7695.9395;-15123.159;0.0;0.0;1838.2656
0.115;0.09862379;-2.6522915;200.18866;-7890.413;-7690.2246;-15027.226;0.0;0.0;1838.2656
0.12;0.09853245;-2.6341028;199.82591;-7883.687;-7683.8613;-14926.194;0.0;0.0;1838.2656
0.125;0.098444074;-2.6153152;199.4771;-7876.8623;-7677.3853;-14821.886;0.0;0.0;1838.2656
0.13;0.09835998;-2.5958967;199.14957;-7869.8105;-7670.661;-14714.142;0.0;0.0;1838.2656
0.135;0.09828244;-2.5758007;198.85149;-7862.396;-7663.5444;-14602.721;0.0;0.0;1838.2656
0.14;0.09821323;-2.5551503;198.59082;-7854.713;-7656.122;-14488.317;0.0;0.0;1838.2656
0.145;0.09815448;-2.5342808;198.37546;-7847.2314;-7648.856;-14372.794;0.0;0.0;1838.2656
0.15;0.09810788;-2.5129874;198.21178;-7839.5215;-7641.3096;-14255.039;0.0;0.0;1838.2656
0.155;0.098074846;-2.4914486;198.10619;-7831.713;-7633.607;-14136.046;0.0;0.0;1838.2656
0.16;0.098057084;-2.4697921;198.0645;-7823.88;-7625.8154;-14016.53;0.0;0.0;1838.2656
0.165;0.09805559;-2.4480453;198.09036;-7815.9097;-7617.8193;-13896.652;0.0;0.0;1838.2656
0.17;0.098071106;-2.426551;198.18567;-7808.2866;-7610.101;-13778.309;0.0;0.0;1838.2656
0.175;0.09810371;-2.4053028;198.35007;-7800.779;-7602.4287;-13661.457;0.0;0.0;1838.2656
0.18;0.09815295;-2.3844671;198.58173;-7793.5737;-7594.992;-13547.016;0.0;0.0;1838.2656
0.185;0.09821829;-2.3641622;198.8778;-7786.682;-7587.804;-13435.63;0.0;0.0;1838.2656
0.19;0.09829869;-2.3445678;199.23308;-7780.249;-7581.016;-13328.28;0.0;0.0;1838.2656
0.195;0.098392405;-2.3257484;199.6391;-7774.307;-7574.668;-13225.309;0.0;0.0;1838.2656
0.2;0.09849692;-2.3077164;200.08698;-7768.6943;-7568.6074;-13126.761;0.0;0.0;1838.2656
0.205;0.09861028;-2.2907631;200.56757;-7763.8096;-7563.242;-13034.229;0.0;0.0;1838.2656
0.21;0.09872985;-2.274775;201.0693;-7759.381;-7558.3115;-12947.061;0.0;0.0;1838.2656
0.215;0.09885256;-2.2597022;201.58063;-7755.258;-7553.6772;-12864.96;0.0;0.0;1838.2656
0.22;0.0989758;-2.245747;202.09045;-7751.739;-7549.6484;-12789.02;0.0;0.0;1838.2656
0.225;0.099096835;-2.2329285;202.58957;-7748.829;-7546.2397;-12719.326;0.0;0.0;1838.2656
0.23;0.09921395;-2.2212086;203.06845;-7746.4946;-7543.4263;-12655.65;0.0;0.0;1838.2656
0.235;0.09932434;-2.210576;203.51802;-7744.664;-7541.146;-12597.913;0.0;0.0;1838.2656
0.24;0.09942652;-2.2009263;203.93307;-7743.281;-7539.3477;-12545.527;0.0;0.0;1838.2656
0.245;0.099519506;-2.1921515;204.30882;-7742.198;-7537.8896;-12497.889;0.0;0.0;1838.2656
0.25;0.09960221;-2.1841729;204.64264;-7741.3257;-7536.683;-12454.556;0.0;0.0;1838.2656
0.255;0.099674486;-2.1771421;204.93433;-7740.9814;-7536.047;-12416.365;0.0;0.0;1838.2656
0.26;0.09973649;-2.1705756;205.18369;-7740.447;-7535.263;-12380.65;0.0;0.0;1838.2656
0.265;0.09978816;-2.1648977;205.38972;-7740.562;-7535.1724;-12349.751;0.0;0.0;1838.2656
0.27;0.09982906;-2.1597972;205.55444;-7740.865;-7535.3105;-12321.951;0.0;0.0;1838.2656
0.275;0.09986073;-2.1552348;205.68095;-7741.321;-7535.6396;-12297.044;0.0;0.0;1838.2656
0.28;0.09988316;-2.1510646;205.77042;-7741.8867;-7536.116;-12274.226;0.0;0.0;1838.2656
0.285;0.09989701;-2.147356;205.82773;-7742.7256;-7536.898;-12253.888;0.0;0.0;1838.2656
0.29;0.09990396;-2.1438985;205.85498;-7743.479;-7537.624;-12234.874;0.0;0.0;1838.2656
0.295;0.09990343;-2.1405895;205.85306;-7744.1494;-7538.2964;-12216.622;0.0;0.0;1838.2656
0.3;0.099896476;-2.1373954;205.82677;-7744.698;-7538.8716;-12198.954;0.0;0.0;1838.2656
0.305;0.09988432;-2.1344376;205.77963;-7745.4033;-7539.6235;-12182.549;0.0;0.0;1838.2656
0.31;0.099867515;-2.131477;205.71545;-7745.9707;-7540.2554;-12166.094;0.0;0.0;1838.2656
0.315;0.09984733;-2.128471;205.6373;-7746.3135;-7540.6763;-12149.359;0.0;0.0;1838.2656
0.32;0.099824004;-2.125595;205.54932;-7746.7563;-7541.207;-12133.323;0.0;0.0;1838.2656
0.325;0.09979931;-2.122713;205.45601;-7747.163;-7541.707;-12117.243;0.0;0.0;1838.2656
0.33;0.09977367;-2.1196969;205.3606;-7747.3184;-7541.958;-12100.419;0.0;0.0;1838.2656
0.335;0.099748194;-2.1166954;205.2673;-7747.575;-7542.308;-12083.68;0.0;0.0;1838.2656
0.34;0.09972382;-2.113617;205.1787;-7747.638;-7542.4595;-12066.526;0.0;0.0;1838.2656
0.345;0.09970082;-2.1104782;205.09741;-7747.656;-7542.5586;-12049.053;0.0;0.0;1838.2656
0.35;0.09968023;-2.1071768;205.02603;-7747.3955;-7542.3696;-12030.704;0.0;0.0;1838.2656
0.355;0.09966212;-2.1039972;204.96681;-7747.379;-7542.412;-12013.051;0.0;0.0;1838.2656
0.36;0.099647574;-2.100714;204.92068;-7747.2163;-7542.2954;-11994.853;0.0;0.0;1838.2656
0.365;0.099635825;-2.0974019;204.88617;-7746.965;-7542.0786;-11976.518;0.0;0.0;1838.2656
0.37;0.099626996;-2.0942023;204.86441;-7746.9717;-7542.1074;-11958.829;0.0;0.0;1838.2656
0.375;0.099621385;-2.0909636;204.85324;-7746.829;-7541.976;-11940.945;0.0;0.0;1838.2656
0.38;0.09961765;-2.0876794;204.8515;-7746.5938;-7541.742;-11922.831;0.0;0.0;1838.2656
0.385;0.09961654;-2.084561;204.85773;-7746.596;-7541.7383;-11905.646;0.0;0.0;1838.2656
0.39;0.0996166;-2.0814195;204.86868;-7746.547;-7541.678;-11888.343;0.0;0.0;1838.2656
0.395;0.09961772;-2.0782857;204.8835;-7746.4126;-7541.5293;-11871.09;0.0;0.0;1838.2656
0.4;0.09961958;-2.0752451;204.90004;-7746.3896;-7541.4897;-11854.355;0.0;0.0;1838.2656
0.405;0.09962146;-2.072223;204.91772;-7746.336;-7541.418;-11837.724;0.0;0.0;1838.2656
0.41;0.09962385;-2.0692255;204.93674;-7746.278;-7541.3413;-11821.232;0.0;0.0;1838.2656
0.415;0.099626325;-2.0663996;204.95665;-7746.4146;-7541.458;-11805.687;0.0;0.0;1838.2656
0.42;0.09962916;-2.063638;204.97725;-7746.631;-7541.654;-11790.499;0.0;0.0;1838.2656
0.425;0.09963194;-2.0608337;204.9977;-7746.66;-7541.6626;-11775.075;0.0;0.0;1838.2656
0.43;0.099634685;-2.058349;205.01819;-7747.203;-7542.185;-11761.413;0.0;0.0;1838.2656
0.435;0.09963749;-2.055708;205.03778;-7747.3623;-7542.3247;-11746.888;0.0;0.0;1838.2656
0.44;0.09963982;-2.0531769;205.05722;-7747.6494;-7542.5923;-11732.968;0.0;0.0;1838.2656
0.445;0.09964253;-2.0507042;205.0765;-7747.9434;-7542.8667;-11719.371;0.0;0.0;1838.2656
0.45;0.0996448;-2.04828;205.09593;-7748.2754;-7543.1797;-11706.04;0.0;0.0;1838.2656
0.455;0.099647604;-2.0458806;205.11691;-7748.4966;-7543.38;-11692.85;0.0;0.0;1838.2656
0.46;0.099650614;-2.0436256;205.1395;-7748.873;-7543.7334;-11680.459;0.0;0.0;1838.2656
0.465;0.099654235;-2.0413282;205.16351;-7749.1055;-7543.942;-11667.837;0.0;0.0;1838.2656
0.47;0.09965792;-2.0391772;205.18846;-7749.4688;-7544.2803;-11656.024;0.0;0.0;1838.2656
0.475;0.09966198;-2.0371675;205.21454;-7749.948;-7544.734;-11644.995;0.0;0.0;1838.2656
0.48;0.09966626;-2.035297;205.2419;-7750.5806;-7545.339;-11634.733;0.0;0.0;1838.2656
0.485;0.09967091;-2.0335844;205.27289;-7751.3633;-7546.0903;-11625.351;0.0;0.0;1838.2656
0.49;0.09967698;-2.0318825;205.30753;-7751.9736;-7546.666;-11616.035;0.0;0.0;1838.2656
0.495;0.09968338;-2.030384;205.34613;-7752.838;-7547.4917;-11607.848;0.0;0.0;1838.2656
