radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;0.0
0.98;6.473334e-05
0.99;0.0013955086
1.0;0.009154507
1.01;0.046424635
1.02;0.1797008
1.03;0.52024543
1.04;1.2211975
1.05;2.439924
1.06;4.197036
1.07;6.244017
1.08;8.152279
1.09;9.620092
1.1;10.252835
1.11;10.158076
1.12;9.317214
1.1300000000000001;8.082712
1.1400000000000001;6.602568
1.1500000000000001;5.2341743
1.16;3.9409597
1.17;2.8518584
1.18;2.0494087
1.19;1.4561485
1.2;1.0109733
1.21;0.7105518
1.22;0.49039567
1.23;0.34438178
1.24;0.25038165
1.25;0.17713939
1.26;0.12314741
1.27;0.09103481
1.28;0.0672585
1.29;0.05167754
1.3;0.041192055
1.31;0.033003177
1.32;0.027911076
1.33;0.026429843
1.34;0.025102044
1.35;0.023870137
1.36;0.0250666
1.37;0.026424482
1.3800000000000001;0.02809966
1.3900000000000001;0.031509724
1.4000000000000001;0.03457423
1.41;0.042982247
1.42;0.060045607
1.43;0.07485839
1.44;0.10543046
1.45;0.14397414
1.46;0.19511199
1.47;0.26651418
1.48;0.3619457
1.49;0.479122
1.5;0.63110715
1.51;0.7949767
1.52;0.99310625
1.53;1.1804218
1.54;1.373226
1.55;1.5243992
1.56;1.6270993
1.57;1.6798096
1.58;1.6737179
1.59;1.6044033
1.6;1.4908705
1.61;1.3411998
1.62;1.1552329
1.6300000000000001;0.98024833
1.6400000000000001;0.8046595
1.6500000000000001;0.63959056
1.6600000000000001;0.5029928
1.67;0.38752833
1.68;0.29172978
1.69;0.21888205
1.7;0.16942386
1.71;0.13282397
1.72;0.10664435
1.73;0.09389141
1.74;0.090392396
1.75;0.098629236
1.76;0.11200774
1.77;0.14062585
1.78;0.17329545
1.79;0.2179857
1.8;0.28123727
1.81;0.36527035
1.82;0.49457675
1.83;0.6877874
1.84;0.94239086
1.85;1.2861878
1.86;1.7489597
1.87;2.2681537
1.8800000000000001;2.8611445
1.8900000000000001;3.4371438
1.9000000000000001;3.9064224
1.9100000000000001;4.2713084
1.92;4.459599
1.93;4.4362874
1.94;4.23723
1.95;3.8934271
1.96;3.4462087
1.97;2.9646697
1.98;2.4650822
1.99;2.0050552
2.0;1.6211183
2.0100000000000002;1.2816893
2.02;1.0086263
2.0300000000000002;0.8034839
2.04;0.6643761
2.05;0.57512563
2.06;0.5307843
2.07;0.52590597
2.08;0.5415223
2.09;0.56471896
