time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.5130556;0.004188426
0.01;6.291151e-05;0.0010485252;2.5063052;0.008365601
0.015;0.00025130645;0.0027922941;2.4861789;0.012509232
0.02;0.00056417374;0.0047014477;2.4531024;0.016597737
0.025;0.0009998505;0.0066656694;2.407731;0.020610621
0.03;0.001556056;0.008644756;2.350947;0.024528867
0.035;0.0022299406;0.010618765;2.2837994;0.028335199
0.04;0.0030181257;0.012575524;2.2074633;0.032014303
0.045;0.0039167833;0.0145066045;2.1231897;0.035552952
0.05;0.0049216817;0.016405605;2.032277;0.038940083
0.055;0.0060282527;0.018267432;1.9360157;0.042166777
0.06;0.00723168;0.020088002;1.8356683;0.045226224
0.065;0.008526924;0.02186391;1.7324493;0.048113637
0.07;0.00990879;0.023592357;1.6274983;0.050826136
0.075;0.011372046;0.025271213;1.5218687;0.053362582
0.08;0.012911382;0.026898712;1.4165239;0.055723455
0.085;0.014521512;0.028473552;1.3123282;0.05791067
0.09;0.016197238;0.029994885;1.2100506;0.059927423
0.095;0.0179334;0.031462107;1.1103547;0.061778013
0.1;0.01972502;0.03287503;1.0138117;0.0634677
0.105;0.0215673;0.034233812;0.92090106;0.06500253
0.11;0.02345555;0.035538714;0.83201283;0.06638922
0.115;0.02538537;0.03679039;0.74745417;0.06763498
0.12;0.027352458;0.037989527;0.6674556;0.0687474
0.125;0.029352926;0.039137233;0.59217596;0.069734365
0.13;0.03138293;0.040234525;0.5217111;0.070603885
0.135;0.033439044;0.04128277;0.45609963;0.071364045
0.14;0.0355179;0.042283215;0.39532933;0.07202293
0.145;0.03761657;0.04323744;0.3393425;0.0725885
0.15;0.039732195;0.044146884;0.28804496;0.073068574
0.155;0.041862223;0.04501314;0.24130811;0.07347076
0.16;0.044004377;0.045837894;0.19897662;0.07380238
0.165;0.04615653;0.046622753;0.16087247;0.074070506
0.17;0.048316695;0.047369305;0.12679996;0.07428184
0.175;0.05048327;0.048079304;0.096548945;0.07444275
0.18;0.052654702;0.048754353;0.06989991;0.07455926
0.185;0.05482965;0.04939608;0.04662658;0.074636966
0.19;0.057006996;0.050006136;0.026499467;0.07468113
0.195;0.059185594;0.05058598;0.0092883855;0.07469661
0.2;0.06136474;0.051137283;-0.0052352403;0.07468788
0.205;0.063543566;0.051661436;-0.017296497;0.07465906
0.21;0.06572154;0.052159954;-0.027115379;0.07461387
0.215;0.0678982;0.05263426;-0.034905493;0.07455569
0.22;0.07007296;0.053085573;-0.040873036;0.07448757
0.225;0.072245814;0.05351542;-0.04521584;0.07441221
0.23;0.07441631;0.05392486;-0.048122715;0.07433201
0.235;0.0765844;0.054315176;-0.04977281;0.07424905
0.24;0.07874996;0.054687478;-0.050335236;0.07416516
0.245;0.0809131;0.055042922;-0.04996849;0.074081875
0.25;0.08307368;0.055382457;-0.048820596;0.07400051
0.255;0.085232;0.05570719;-0.04702845;0.07392213
0.26;0.08738794;0.056017913;-0.04471816;0.0738476
0.265;0.08954172;0.05631555;-0.042004712;0.073777586
0.27;0.09169346;0.0566009;-0.03899257;0.0737126
