x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-5.0457225;-6.5046487;-6.799945;0.0003164424;0.004396403;-0.0004029412;-0.06323128;-0.05787015;-0.024322333;12.25;12.25;12.25;1372;199.9999999998906
-3.6616268;-3.977792;-6.11581;0.0013334014;0.0047730086;-0.0013607463;-0.023555098;-0.009348149;-0.044414356;12.25;12.25;12.25;1372;199.9999999998906
-4.3920736;-4.8270164;-6.1351285;0.0011394361;0.0044621634;0.0014077919;0.023415508;-0.04155617;0.0018099232;12.25;12.25;12.25;1372;199.9999999998906
-3.5649276;-6.3156962;-5.167973;0.004037724;5.5692813e-05;-0.00046870828;-0.0093644;0.052268784;0.01777052;12.25;12.25;12.25;1372;199.9999999998906
-3.5416694;-5.5764403;-5.989632;-0.000492674;-0.0032296781;0.0015875063;-0.04521022;-0.038941927;-0.002761586;12.25;12.25;12.25;1372;199.9999999998906
-2.8034625;-4.724492;-5.9543967;0.0011379175;-0.003778495;0.0008827374;-0.071341455;-0.010649295;0.02309066;12.25;12.25;12.25;1372;199.9999999998906
-3.673736;-4.732167;-5.286813;-0.0039962083;0.0040679895;3.7066573e-05;-0.020340718;0.022378115;0.04420388;12.25;12.25;12.25;1372;199.9999999998906
-2.8096447;-5.4955873;-5.1483192;-0.0016519638;-0.0005245424;-0.0018904804;0.024763687;-0.058346335;-0.037976462;12.25;12.25;12.25;1372;199.9999999998906
-1.974813;-5.541512;-5.829958;-0.0015209233;0.0038948604;-4.2344425e-05;-0.020561112;0.04063519;0.0145465275;12.25;12.25;12.25;1372;199.9999999998906
-1.3632864;-4.63989;-5.691298;0.0008956104;0.0020767462;-0.003506757;-0.11272366;0.044513837;0.031632416;12.25;12.25;12.25;1372;199.9999999998906
-2.238991;-4.5626097;-5.018254;-0.00053235644;-0.003976361;0.0013151314;0.08572986;-0.04576101;-0.041414697;12.25;12.25;12.25;1372;199.9999999998906
-1.5253899;-5.3861766;-4.832644;0.007372215;-0.0032071364;-0.0011003511;-0.055690497;0.0075717503;-0.09967716;12.25;12.25;12.25;1372;199.9999999998906
-0.6774197;-5.4977098;-5.538768;0.00050142594;0.00908279;0.0022284877;0.022730548;-0.053818095;0.041557457;12.25;12.25;12.25;1372;199.9999999998906
0.23099579;-4.901639;-5.4258804;0.0016921582;0.005733056;-0.0043057636;0.024010316;0.035468053;-0.011920302;12.25;12.25;12.25;1372;199.9999999998906
-0.59387773;-4.85584;-4.661394;0.00029907085;0.0021304595;-0.0026844873;-0.0272032;0.007044757;0.10776205;12.25;12.25;12.25;1372;199.9999999998906
-0.0062041515;-5.73195;-4.63849;0.0029586118;0.004158035;0.00059682725;-0.15589386;0.009134091;-0.007327869;12.25;12.25;12.25;1372;199.9999999998906
0.7902215;-5.841202;-5.3580165;0.0019983924;0.002890002;0.003664128;0.016483122;-0.025553675;-0.0015644572;12.25;12.25;12.25;1372;199.9999999998906
1.0492479;-5.059177;-6.1086135;-0.005720371;0.005372382;0.0036997665;-0.09062626;-0.09396806;-0.057945117;12.25;12.25;12.25;1372;199.9999999998906
0.26516852;-4.1744404;-4.537724;-0.0032762827;-0.0017063767;0.008454016;0.026493141;-0.0068521965;-0.016387602;12.25;12.25;12.25;1372;199.9999999998906
0.8901592;-5.0709043;-4.5546265;0.007632293;-0.00096163864;-0.004303985;0.0021232744;-0.0040205643;-0.006228459;12.25;12.25;12.25;1372;199.9999999998906
1.8343716;-5.6999507;-5.6426587;-0.001559862;-0.0002908444;0.0022976082;-0.047453366;-0.013613228;-0.0015000377;12.25;12.25;12.25;1372;199.9999999998906
3.1615264;-4.8677573;-6.535402;-0.0035368125;0.00431828;-0.00092326745;-0.056903552;-0.010313256;-0.082827315;12.25;12.25;12.25;1372;199.9999999998906
1.7675027;-4.557664;-5.510644;-0.00082602724;0.0005695933;-0.00033483194;0.039326437;0.02333592;0.009067346;12.25;12.25;12.25;1372;199.9999999998906
2.801974;-5.836592;-6.2989874;-0.0034282398;-0.0016171447;0.00080415735;0.03680326;0.07177783;0.11894379;12.25;12.25;12.25;1372;199.9999999998906
3.756093;-5.9198036;-6.8890142;-0.0041015455;-0.005257724;0.00019546831;0.0097502945;-0.0019974003;-0.041668084;12.25;12.25;12.25;1372;199.9999999998906
4.257564;-4.735836;-6.4018064;-0.0027308615;0.0033335825;0.002463951;0.0030601777;-0.01873163;-0.041484404;12.25;12.25;12.25;1372;199.9999999998906
3.7181642;-5.5199776;-5.8232446;-0.0029235515;0.0031149085;-0.0029635471;-0.023942973;-0.017467745;-0.0034287802;12.25;12.25;12.25;1372;199.9999999998906
5.2153835;-4.229944;-6.541563;-0.0027414942;0.0046136877;0.003804368;-0.032515816;0.04695818;0.08754189;12.25;12.25;12.25;1372;199.9999999998906
-5.216458;-4.0438085;-6.3394976;0.002911901;0.0022101668;0.0025550565;-0.0038384579;0.045788813;0.043614246;12.25;12.25;12.25;1372;199.9999999998906
-5.228596;-3.0842009;-6.9539003;-0.0032324113;0.0031384297;0.0024818648;-0.13205986;-0.02725072;0.0455872;12.25;12.25;12.25;1372;199.9999999998906
-4.6073365;-1.5085435;-5.684176;-0.0028802569;0.0007463075;0.004287056;0.042832874;0.03154736;0.03473252;12.25;12.25;12.25;1372;199.9999999998906
-4.682807;-2.5638962;-5.3429694;0.001166407;-0.003983398;0.00036164882;0.028867932;-0.028916804;-0.06750162;12.25;12.25;12.25;1372;199.9999999998906
-4.4638324;-3.2176242;-6.216506;-0.0021457786;0.001032921;-0.0017365847;-0.03624793;0.028891629;-0.0065149004;12.25;12.25;12.25;1372;199.9999999998906
-2.9265056;-3.1410122;-6.1346574;-0.0030383442;0.00335719;4.736384e-05;-0.03554191;0.02951242;0.028025787;12.25;12.25;12.25;1372;199.9999999998906
-3.6930382;-3.0117433;-5.4218;0.0010954991;0.0009534328;0.00051060825;-0.04203494;-0.011343345;-0.003853411;12.25;12.25;12.25;1372;199.9999999998906
-3.008334;-3.8368921;-5.2655497;0.0017341906;0.0021964784;-0.004713433;0.04901719;-0.00095603813;0.025954561;12.25;12.25;12.25;1372;199.9999999998906
