time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.3999;-2.639525;822.6854;-7984.7773;-7162.092;-16201.815;0.0;0.0;1838.2656
0.01;0.39964995;-2.6355584;821.8567;-7983.4893;-7161.633;-16178.282;0.0;0.0;1838.2656
0.015;0.39939728;-2.6271467;821.03406;-7978.419;-7157.385;-16130.249;0.0;0.0;1838.2656
0.02;0.39915016;-2.6140084;820.2073;-7969.138;-7148.9307;-16056.14;0.0;0.0;1838.2656
0.025;0.39889553;-2.5979407;819.3043;-7958.9795;-7139.6753;-15965.725;0.0;0.0;1838.2656
0.03;0.3986114;-2.5797439;818.26294;-7949.5527;-7131.29;-15863.289;0.0;0.0;1838.2656
0.035;0.39828932;-2.5585835;817.0636;-7939.4106;-7122.347;-15744.195;0.0;0.0;1838.2656
0.04;0.39792857;-2.534689;815.6898;-7929.1714;-7113.4814;-15609.675;0.0;0.0;1838.2656
0.045;0.3975218;-2.5079677;814.1145;-7918.8545;-7104.74;-15459.161;0.0;0.0;1838.2656
0.05;0.39706331;-2.4775145;812.31885;-7906.9907;-7094.672;-15287.627;0.0;0.0;1838.2656
0.055;0.39654973;-2.443476;810.28455;-7894.0576;-7083.773;-15095.843;0.0;0.0;1838.2656
0.06;0.39597616;-2.405543;807.9981;-7879.703;-7071.705;-14882.077;0.0;0.0;1838.2656
0.065;0.39534137;-2.3630626;805.4619;-7862.966;-7057.504;-14642.733;0.0;0.0;1838.2656
0.07;0.39464846;-2.3161285;802.6963;-7844.1123;-7041.416;-14378.37;0.0;0.0;1838.2656
0.075;0.39390567;-2.2643945;799.75037;-7822.589;-7022.8384;-14087.177;0.0;0.0;1838.2656
0.08;0.39312997;-2.2077787;796.70764;-7798.1743;-7001.467;-13768.866;0.0;0.0;1838.2656
0.085;0.39234653;-2.146629;793.68066;-7771.3403;-6977.6597;-13425.585;0.0;0.0;1838.2656
0.09;0.3915862;-2.0812998;790.8081;-7742.259;-6951.4507;-13059.562;0.0;0.0;1838.2656
0.095;0.39088604;-2.012221;788.23456;-7711.171;-6922.9365;-12673.46;0.0;0.0;1838.2656
0.1;0.39027983;-1.9398937;786.0985;-7678.0713;-6891.9727;-12270.316;0.0;0.0;1838.2656
0.105;0.38980004;-1.8654052;784.51294;-7643.915;-6859.4023;-11856.356;0.0;0.0;1838.2656
0.11;0.38946864;-1.7896123;783.5684;-7609.145;-6825.5767;-11436.485;0.0;0.0;1838.2656
0.115;0.38930702;-1.7134901;783.33185;-7574.193;-6790.861;-11016.214;0.0;0.0;1838.2656
0.12;0.38932464;-1.63837;783.83777;-7540.1074;-6756.2695;-10602.953;0.0;0.0;1838.2656
0.125;0.38952643;-1.56549;785.0902;-7507.7593;-6722.669;-10203.54;0.0;0.0;1838.2656
0.13;0.38990605;-1.4958944;787.036;-7477.5938;-6690.5576;-9823.626;0.0;0.0;1838.2656
0.135;0.3904388;-1.4304141;789.5685;-7450.0156;-6660.4473;-9467.58;0.0;0.0;1838.2656
0.14;0.39109406;-1.3699207;792.5305;-7425.376;-6632.8457;-9139.8955;0.0;0.0;1838.2656
0.145;0.39182237;-1.3150377;795.73376;-7404.093;-6608.359;-8843.634;0.0;0.0;1838.2656
0.15;0.3925801;-1.2660631;798.99854;-7386.2935;-6587.295;-8580.078;0.0;0.0;1838.2656
0.155;0.39332426;-1.2231138;802.16284;-7371.879;-6569.716;-8349.55;0.0;0.0;1838.2656
0.16;0.3940204;-1.1859856;805.0985;-7360.637;-6555.5386;-8150.6665;0.0;0.0;1838.2656
0.165;0.39464384;-1.1543221;807.72705;-7352.077;-6544.35;-7981.306;0.0;0.0;1838.2656
0.17;0.39518356;-1.1276089;810.0108;-7345.8945;-6535.884;-7838.5557;0.0;0.0;1838.2656
0.175;0.39563507;-1.1055613;811.9348;-7342.0396;-6530.1045;-7720.8154;0.0;0.0;1838.2656
0.18;0.39599746;-1.0873334;813.496;-7339.6113;-6526.115;-7623.4155;0.0;0.0;1838.2656
0.185;0.39627144;-1.0727367;814.69885;-7338.987;-6524.288;-7545.3228;0.0;0.0;1838.2656
0.19;0.39645952;-1.0609134;815.5666;-7339.2964;-6523.73;-7481.855;0.0;0.0;1838.2656
0.195;0.39657116;-1.0514103;816.1211;-7340.336;-6524.215;-7430.5566;0.0;0.0;1838.2656
0.2;0.39660814;-1.0436556;816.37775;-7341.8203;-6525.4424;-7388.304;0.0;0.0;1838.2656
0.205;0.39657646;-1.0371305;816.3517;-7343.454;-6527.1025;-7352.267;0.0;0.0;1838.2656
0.21;0.3964776;-1.0313267;816.05554;-7344.8564;-6528.801;-7319.668;0.0;0.0;1838.2656
0.215;0.39631653;-1.0261676;815.5134;-7346.431;-6530.918;-7290.133;0.0;0.0;1838.2656
0.22;0.39610144;-1.020824;814.7643;-7347.2617;-6532.4976;-7259.165;0.0;0.0;1838.2656
0.225;0.39584425;-1.0150056;813.8626;-7347.301;-6533.438;-7225.275;0.0;0.0;1838.2656
0.23;0.39556095;-1.0086586;812.89624;-7346.536;-6533.6396;-7188.3403;0.0;0.0;1838.2656
0.235;0.39527878;-1.0017046;811.9677;-7345.1035;-6533.1357;-7148.1323;0.0;0.0;1838.2656
0.24;0.39501983;-0.99423116;811.16907;-7343.131;-6531.962;-7105.3213;0.0;0.0;1838.2656
0.245;0.39480516;-0.9863509;810.56665;-7340.6665;-6530.0996;-7060.658;0.0;0.0;1838.2656
0.25;0.3946439;-0.9781905;810.1859;-7337.754;-6527.568;-7014.8936;0.0;0.0;1838.2656
0.255;0.39453647;-0.97030926;810.0028;-7335.244;-6525.241;-6971.064;0.0;0.0;1838.2656
0.26;0.39446878;-0.9625965;809.9635;-7332.626;-6522.6626;-6928.451;0.0;0.0;1838.2656
0.265;0.39442724;-0.95522404;809.99426;-7330.2314;-6520.2373;-6887.855;0.0;0.0;1838.2656
0.27;0.39438993;-0.9482959;810.0188;-7328.0454;-6518.0264;-6849.697;0.0;0.0;1838.2656
0.275;0.39434195;-0.94181615;809.9871;-7326.365;-6516.378;-6813.899;0.0;0.0;1838.2656
0.28;0.39427572;-0.9354473;809.8672;-7324.4346;-6514.5674;-6778.536;0.0;0.0;1838.2656
0.285;0.39418408;-0.9291636;809.6531;-7322.596;-6512.9434;-6743.4546;0.0;0.0;1838.2656
0.29;0.39407268;-0.92286426;809.36194;-7320.6636;-6511.302;-6708.133;0.0;0.0;1838.2656
0.295;0.39394483;-0.91653144;809.01843;-7318.5713;-6509.5527;-6672.522;0.0;0.0;1838.2656
0.3;0.39380956;-0.9101119;808.6486;-7316.4897;-6507.8413;-6636.38;0.0;0.0;1838.2656
