time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;1.1625293;0.0019375489
0.01;2.910632e-05;0.00048510535;1.1591282;0.0038694292
0.015;0.00011625442;0.0012917158;1.148983;0.0057844007
0.02;0.00026093458;0.002174455;1.1322371;0.007671463
0.025;0.0004623067;0.0030820447;1.1091293;0.009520012
0.03;0.00071920874;0.003995604;1.0799861;0.011319988
0.035;0.0010301808;0.004905623;1.0452098;0.013062005
0.04;0.0013934764;0.005806152;1.0052673;0.0147374505
0.045;0.0018070873;0.0066929157;0.96068;0.016338583
0.05;0.0022687842;0.007562614;0.912008;0.017858597
0.055;0.0027761154;0.008412471;0.8598466;0.019291675
0.06;0.0033264703;0.009240196;0.8048008;0.020633008
0.065;0.003917082;0.010043801;0.74748534;0.021878818
0.07;0.0045450856;0.010821632;0.68850684;0.023026329
0.075;0.0052075055;0.011572234;0.6284613;0.024073765
0.08;0.005901342;0.012294462;0.5679196;0.025020298
0.085;0.006623553;0.0129873585;0.50742584;0.025866007
0.09;0.0073711113;0.013650206;0.44748834;0.026611822
0.095;0.008141009;0.014282472;0.3885781;0.027259452
0.1;0.0089302845;0.014883807;0.3311236;0.027811324
0.105;0.009736054;0.015454054;0.27550763;0.028270504
0.11;0.010555561;0.015993273;0.22206901;0.028640619
0.115;0.011386089;0.016501578;0.17109996;0.028925786
0.12;0.012225095;0.0169793;0.12284541;0.029130528
0.125;0.01307017;0.017426893;0.07750632;0.029259704
0.13;0.013919041;0.017844925;0.03523873;0.029318435
0.135;0.014769561;0.018234024;-0.003843451;0.02931203
0.14;0.015619801;0.018595;-0.03966665;0.029245919
0.145;0.016467957;0.018928686;-0.072195075;0.029125594
0.15;0.017312434;0.019236038;-0.10142845;0.028956546
0.155;0.018151699;0.019517956;-0.12739888;0.028744215
0.16;0.018984523;0.019775545;-0.15016803;0.028493935
0.165;0.019809704;0.020009803;-0.1698241;0.028210895
0.17;0.020626312;0.020221874;-0.186479;0.027900096
0.175;0.0214335;0.020412857;-0.20026466;0.027566321
0.18;0.02223057;0.020583859;-0.21133098;0.027214104
0.185;0.023016972;0.02073601;-0.21984185;0.0268477
0.19;0.023792295;0.020870434;-0.225973;0.026471078
0.195;0.024556229;0.020988232;-0.22990926;0.026087897
0.2;0.0253086;0.0210905;-0.23184049;0.025701497
0.205;0.026049264;0.021178264;-0.23196128;0.025314894
0.21;0.026778301;0.02125262;-0.2304665;0.024930783
0.215;0.027495714;0.021314505;-0.22755106;0.024551531
0.22;0.028201692;0.021364918;-0.22340614;0.024179189
0.225;0.028896406;0.021404747;-0.21821801;0.02381549
0.23;0.029580181;0.021434912;-0.21216682;0.02346188
0.235;0.030253297;0.02145624;-0.2054239;0.023119507
0.24;0.03091606;0.021469487;-0.19815254;0.022789253
0.245;0.031568877;0.021475425;-0.1905048;0.022471745
0.25;0.032212097;0.021474732;-0.18262184;0.022167375
0.255;0.032846123;0.021468055;-0.17463282;0.02187632
0.26;0.03347137;0.021456005;-0.16665459;0.021598563
0.265;0.03408824;0.021439144;-0.15879089;0.02133391
0.27;0.034697115;0.021417972;-0.15113328;0.021082021
0.275;0.03529838;0.021392958;-0.14376023;0.020842422
0.28;0.035892405;0.021364527;-0.13673705;0.020614527
0.285;0.036479525;0.021333057;-0.1301173;0.020397665
0.29;0.037060156;0.021298941;-0.12394246;0.020191094
0.295;0.03763449;0.021262424;-0.11824249;0.019994022
0.3;0.038202904;0.021223836;-0.11303685;0.019805629
0.305;0.038765583;0.021183379;-0.10833485;0.01962507
0.31;0.039322864;0.021141324;-0.104136676;0.019451508
0.315;0.03987485;0.021097805;-0.10043406;0.019284118
0.32;0.0404218;0.02105302;-0.09721178;0.0191221
0.325;0.040963855;0.021007106;-0.09444769;0.018964685
0.33;0.04150118;0.020960191;-0.09211471;0.018811163
0.335;0.042033844;0.02091236;-0.090181366;0.01866086
0.34;0.042561922;0.020863686;-0.08861235;0.018513173
0.345;0.043085616;0.020814307;-0.08737038;0.018367555
0.35;0.043604884;0.020764232;-0.08641626;0.018223528
0.355;0.044119794;0.02071352;-0.085710034;0.018080678
0.36;0.044630352;0.0206622;-0.085211575;0.017938659
0.365;0.04513665;0.020610342;-0.08488178;0.017797189
0.37;0.045638714;0.02055798;-0.08468216;0.017656052
0.375;0.046136405;0.020505069;-0.08457647;0.017515091
0.38;0.046629872;0.020451698;-0.08453017;0.017374208
0.385;0.047119092;0.020397875;-0.08451179;0.017233355
0.39;0.047604017;0.020343598;-0.08449239;0.017092533
0.395;0.048084725;0.020288914;-0.08444625;0.01695179
0.4;0.048561204;0.020233834;-0.08435098;0.016811205
0.405;0.04903338;0.020178346;-0.08418769;0.016670892
0.41;0.04950133;0.020122493;-0.08394102;0.01653099
0.415;0.04996511;0.02006631;-0.08359864;0.01639166
0.42;0.05042462;0.02000977;-0.083151996;0.016253073
0.425;0.050880037;0.019952955;-0.08259561;0.016115414
0.43;0.051331256;0.019895835;-0.08192647;0.015978869
0.435;0.05177835;0.019838449;-0.08114486;0.015843628
0.44;0.05222135;0.019780815;-0.08025291;0.015709873
0.445;0.052660443;0.019723011;-0.079255536;0.01557778
0.45;0.053095423;0.019664971;-0.07815913;0.015447515
0.455;0.053526543;0.019606791;-0.076971814;0.015319229
0.46;0.053953763;0.019548465;-0.07570308;0.015193057
0.465;0.054377265;0.01949006;-0.07436319;0.015069119
0.47;0.054796953;0.019431544;-0.07296334;0.014947513
0.475;0.05521298;0.019372974;-0.07151494;0.0148283215
0.48;0.05562537;0.019314365;-0.070029855;0.014711605
0.485;0.056034278;0.019255767;-0.06851929;0.014597406
0.49;0.05643969;0.019197173;-0.06699469;0.0144857485
0.495;0.05684173;0.01913863;-0.06546654;0.0143766375
0.5;0.057240464;0.019080155;-0.06394463;0.0142700635
0.505;0.057635903;0.019021751;-0.06243791;0.014166
0.51;0.058028158;0.01896345;-0.06095417;0.01406441
0.515;0.058417395;0.018905306;-0.05950003;0.013965243
0.52;0.05880351;0.01884728;-0.05808088;0.013868442
0.525;0.059186645;0.018789412;-0.056700885;0.01377394
0.53;0.059566986;0.018731756;-0.05536295;0.013681668
0.535;0.059944313;0.018674241;-0.054068673;0.013591554
0.54;0.0603189;0.018616943;-0.052818555;0.013503523
0.545;0.060690805;0.018559879;-0.05161205;0.013417503
0.55;0.06105996;0.018503018;-0.050447628;0.013333423
0.555;0.061426524;0.018446404;-0.04932289;0.013251219
0.56;0.061790425;0.018390007;-0.048234686;0.013170827
0.565;0.06215185;0.01833388;-0.04717944;0.013092195
0.57;0.06251076;0.018277999;-0.04615311;0.013015273
0.575;0.06286722;0.018222382;-0.045151345;0.012940021
0.58;0.063221306;0.018167041;-0.04416981;0.012866405
0.585;0.06357299;0.018111963;-0.04320416;0.012794398
0.59;0.06392249;0.018057201;-0.04225033;0.0127239805
0.595;0.064269654;0.018002704;-0.041304573;0.01265514
0.6;0.06461461;0.017948503;-0.04036359;0.012587867
0.605;0.064957425;0.017894607;-0.039424513;0.012522159
0.61;0.06529808;0.017841006;-0.03848526;0.012458017
0.615;0.065636754;0.017787738;-0.03754426;0.012395443
0.62;0.06597325;0.017734744;-0.036600616;0.012334443
0.625;0.06630786;0.017682094;-0.035653986;0.012275019
0.63;0.06664039;0.017629733;-0.034704827;0.012217178
0.635;0.0669711;0.017577717;-0.033754136;0.012160921
0.64;0.067299984;0.017526038;-0.032803543;0.012106248
0.645;0.067627065;0.017474694;-0.031855203;0.012053156
0.65;0.06795232;0.017423673;-0.030911878;0.012001636
0.655;0.068275884;0.017373;-0.029976707;0.011951676
0.66;0.06859772;0.017322656;-0.029053306;0.011903253
0.665;0.06891792;0.017272662;-0.028145492;0.011856344
0.67;0.06923667;0.017223053;-0.027257452;0.011810915
0.675;0.06955384;0.017173788;-0.026393386;0.011766926
0.68;0.0698695;0.017124878;-0.025557525;0.0117243305
0.685;0.07018371;0.017076328;-0.024754072;0.011683073
0.69;0.07049647;0.017028132;-0.023987023;0.011643095
0.695;0.07080802;0.01698034;-0.023260158;0.011604328
0.7;0.07111818;0.016932901;-0.02257684;0.0115666995
0.705;0.07142697;0.01688581;-0.021940073;0.011530133
0.71;0.071734555;0.016839098;-0.021352245;0.011494546
0.715;0.07204093;0.01679276;-0.02081511;0.011459854
0.72;0.07234625;0.016746815;-0.020329615;0.011425972
0.725;0.07265026;0.016701208;-0.019895986;0.011392811
0.73;0.07295326;0.016655996;-0.01951337;0.0113602895
