radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.00018063313
0.89;0.0007652522
0.9;0.0035050497
0.91;0.012825302
0.92;0.034768127
0.93;0.07558226
0.9400000000000001;0.1485465
0.9500000000000001;0.2659411
0.96;0.42229792
0.97;0.6204633
0.98;0.8664446
0.99;1.1283677
1.0;1.3999871
1.01;1.6565726
1.02;1.8903097
1.03;2.0841708
1.04;2.2569387
1.05;2.3784337
1.06;2.481675
1.07;2.540821
1.08;2.5702398
1.09;2.5607712
1.1;2.5254831
1.11;2.4855134
1.12;2.4185102
1.1300000000000001;2.3438423
1.1400000000000001;2.2562802
1.1500000000000001;2.1720173
1.16;2.092011
1.17;2.0003355
1.18;1.915719
1.19;1.8336043
1.2;1.7510798
1.21;1.6697748
1.22;1.6033423
1.23;1.5309881
1.24;1.4658117
1.25;1.4084526
1.26;1.3472615
1.27;1.2963362
1.28;1.2414119
1.29;1.1920252
1.3;1.1469423
1.31;1.1093633
1.32;1.068677
1.33;1.0340185
1.34;1.0039316
1.35;0.9689957
1.36;0.94022185
1.37;0.9150037
1.3800000000000001;0.89897233
1.3900000000000001;0.87239516
1.4000000000000001;0.8555801
1.41;0.83492035
1.42;0.8167085
1.43;0.8002839
1.44;0.78134155
1.45;0.77069294
1.46;0.7587849
1.47;0.7497697
1.48;0.740501
1.49;0.7300644
1.5;0.7222112
1.51;0.7141686
1.52;0.70826346
1.53;0.70382357
1.54;0.70161873
1.55;0.701657
1.56;0.69854534
1.57;0.6961722
1.58;0.69827914
1.59;0.7006335
1.6;0.6999732
1.61;0.69712526
1.62;0.70246494
1.6300000000000001;0.7062767
1.6400000000000001;0.7082997
1.6500000000000001;0.71675456
1.6600000000000001;0.7246424
1.67;0.73011327
1.68;0.73303205
1.69;0.7442085
1.7;0.7540824
1.71;0.7612739
1.72;0.77121305
1.73;0.7849832
1.74;0.79809815
1.75;0.80949616
1.76;0.8208318
1.77;0.8326365
1.78;0.84480625
1.79;0.8586853
1.8;0.8744725
1.81;0.88970923
1.82;0.90584874
1.83;0.9194428
1.84;0.93393004
1.85;0.9483563
1.86;0.96279246
1.87;0.9749359
1.8800000000000001;0.9881863
1.8900000000000001;1.0041744
1.9000000000000001;1.0192217
1.9100000000000001;1.0324162
1.92;1.0475712
1.93;1.0648699
1.94;1.0782735
1.95;1.0904964
1.96;1.1022816
1.97;1.1169801
1.98;1.1252674
1.99;1.1434159
2.0;1.1541965
2.0100000000000002;1.1615444
2.02;1.16687
2.0300000000000002;1.1752154
2.04;1.1814232
2.05;1.1888278
2.06;1.195842
2.07;1.2021123
