x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-6.1556535;-6.3751245;-9.093362;0.38171017;-0.974244;0.29519692;9.718726;-10.170599;-20.989563;12.25;12.25;12.25;1372;50.00000000000713
-11.307532;-4.255924;-8.95803;0.2926512;0.4343896;1.0984129;4.5147953;0.9896642;1.3851559;12.25;12.25;12.25;1372;50.00000000000713
-3.2673097;-7.2735033;-1.493056;0.20002;1.3016105;-1.2188001;2.7824957;-0.8783645;5.4726014;12.25;12.25;12.25;1372;50.00000000000713
-0.28840372;-7.398059;-6.2037306;1.7513527;0.12717415;0.24317335;-19.27596;-3.339969;-0.3478475;12.25;12.25;12.25;1372;50.00000000000713
-3.9300852;-10.006405;-7.499012;-1.1345692;0.9790512;0.79408836;5.1079664;19.102345;3.642593;12.25;12.25;12.25;1372;50.00000000000713
-6.0736628;0.494265;-10.653689;0.063993156;0.17964715;0.18158008;1.7554643;4.872116;2.472326;12.25;12.25;12.25;1372;50.00000000000713
-1.6179;-4.791456;-5.6794515;-0.840185;-0.070181;-0.743418;-9.734216;-10.368586;-0.4905249;12.25;12.25;12.25;1372;50.00000000000713
1.3508352;-3.2442884;-9.529159;0.84905547;0.30506873;-0.94479036;-6.981621;9.885606;4.2079473;12.25;12.25;12.25;1372;50.00000000000713
-5.098386;-11.943308;-3.0463598;-0.13540235;-0.09734036;0.82036597;0.89047045;8.827714;24.984818;12.25;12.25;12.25;1372;50.00000000000713
2.4405272;-7.974846;-6.329353;0.905238;-1.9882702;0.33166146;-5.7015433;-9.298252;-2.613006;12.25;12.25;12.25;1372;50.00000000000713
0.13815476;-8.287464;-2.391042;-0.087977715;1.422979;-0.7834643;0.6677935;1.692935;21.367418;12.25;12.25;12.25;1372;50.00000000000713
-0.5045975;-9.4021;-2.0019045;0.56199527;0.28253528;0.5609994;-3.073526;0.4039364;1.0371312;12.25;12.25;12.25;1372;50.00000000000713
-0.46039015;0.37466243;-4.489368;1.076488;1.4342153;-0.23334144;2.226311;10.995722;4.6079345;12.25;12.25;12.25;1372;50.00000000000713
2.5413327;-5.5472593;-8.620127;0.21516493;-0.06935721;0.10625909;8.239228;-6.5846143;1.3506712;12.25;12.25;12.25;1372;50.00000000000713
4.9472103;-8.80301;-5.719239;-0.8559819;-0.7020382;-1.0573032;-55.29547;-22.017262;-1.5598576;12.25;12.25;12.25;1372;50.00000000000713
2.7611907;-5.006966;-5.7168617;-0.065131925;-0.81346625;1.9517459;8.296533;-18.847158;-0.2314254;12.25;12.25;12.25;1372;50.00000000000713
0.79244846;-6.943826;-7.328642;0.30162555;-1.1519966;0.38412356;-24.513489;17.887468;-7.0841694;12.25;12.25;12.25;1372;50.00000000000713
0.4654449;-4.114711;-5.97283;-1.2980368;0.8909125;-0.3313912;-34.297256;16.908558;-7.734383;12.25;12.25;12.25;1372;50.00000000000713
4.2907214;-4.705138;-3.3286128;0.95424753;2.7701452;1.1342689;-17.667751;-12.056315;17.247026;12.25;12.25;12.25;1372;50.00000000000713
2.2230773;-8.700807;-8.213637;0.88843864;1.4201858;1.2125452;-3.5150442;1.5632371;-7.355907;12.25;12.25;12.25;1372;50.00000000000713
2.0412107;-5.69568;-9.657106;0.45909956;0.3279024;1.0368791;11.757974;-4.250762;10.401411;12.25;12.25;12.25;1372;50.00000000000713
5.348577;-5.7102404;-7.8942356;0.15173623;0.62164384;0.4668214;15.832133;-20.41549;21.93137;12.25;12.25;12.25;1372;50.00000000000713
10.301106;-3.0527837;-3.582293;-0.7631133;-1.2777779;0.650919;3.0892138;0.54309183;24.51253;12.25;12.25;12.25;1372;50.00000000000713
