time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.9999502;-2.1898096;2057.118;-7984.3115;-5927.1934;-16190.591;0.0;0.0;1838.2656
0.01;0.9995213;-2.1774955;2055.473;-7977.0215;-5921.549;-16119.391;0.0;0.0;1838.2656
0.015;0.9991008;-2.1545756;2053.7424;-7961.439;-5907.6963;-15989.531;0.0;0.0;1838.2656
0.02;0.99863017;-2.125567;2051.6147;-7946.1504;-5894.5356;-15825.299;0.0;0.0;1838.2656
0.025;0.9980167;-2.089516;2048.8376;-7929.9414;-5881.1035;-15620.932;0.0;0.0;1838.2656
0.03;0.99723107;-2.0459938;2045.2546;-7912.7983;-5867.544;-15373.75;0.0;0.0;1838.2656
0.035;0.99622613;-1.9931993;2040.666;-7892.459;-5851.793;-15073.421;0.0;0.0;1838.2656
0.04;0.99495345;-1.9296964;2034.8569;-7867.468;-5832.611;-14711.598;0.0;0.0;1838.2656
0.045;0.9933594;-1.8537688;2027.6182;-7836.0;-5808.382;-14278.395;0.0;0.0;1838.2656
0.05;0.99140096;-1.7634498;2018.8198;-7795.9473;-5777.1274;-13762.707;0.0;0.0;1838.2656
0.055;0.9890677;-1.6575009;2008.5211;-7746.3413;-5737.8203;-13157.823;0.0;0.0;1838.2656
0.06;0.9864146;-1.5350056;1997.129;-7686.3535;-5689.2246;-12459.502;0.0;0.0;1838.2656
0.065;0.98360294;-1.3955662;1985.4661;-7615.232;-5629.7656;-11667.196;0.0;0.0;1838.2656
0.07;0.980882;-1.2406665;1974.609;-7534.134;-5559.525;-10791.241;0.0;0.0;1838.2656
0.075;0.97851914;-1.0723965;1965.5327;-7444.2935;-5478.7607;-9845.114;0.0;0.0;1838.2656
0.08;0.97670764;-0.8947533;1958.9841;-7348.758;-5389.7734;-8852.351;0.0;0.0;1838.2656
0.085;0.9756117;-0.71179193;1955.6138;-7250.1616;-5294.548;-7836.615;0.0;0.0;1838.2656
0.09;0.9753865;-0.5289501;1956.0271;-7152.667;-5196.6396;-6829.1064;0.0;0.0;1838.2656
0.095;0.9761558;-0.3514307;1960.5419;-7059.3857;-5098.8438;-5859.153;0.0;0.0;1838.2656
0.1;0.9779127;-0.18493238;1968.8413;-6974.5547;-5005.7134;-4957.5474;0.0;0.0;1838.2656
0.105;0.9804625;-0.03362191;1979.9387;-6900.298;-4920.3594;-4145.2954;0.0;0.0;1838.2656
0.11;0.98348457;0.099145845;1992.4565;-6838.7744;-4846.318;-3438.1438;0.0;0.0;1838.2656
0.115;0.9866179;0.21265574;2005.0388;-6789.4595;-4784.421;-2837.3245;0.0;0.0;1838.2656
0.12;0.98958087;0.3070408;2016.6871;-6751.8086;-4735.1216;-2340.1067;0.0;0.0;1838.2656
0.125;0.99219817;0.3841144;2026.9003;-6723.574;-4696.674;-1935.4875;0.0;0.0;1838.2656
0.13;0.9944316;0.4454157;2035.6093;-6703.802;-4668.1924;-1614.8414;0.0;0.0;1838.2656
0.135;0.9963042;0.49249366;2042.9149;-6691.6074;-4648.6924;-1369.8274;0.0;0.0;1838.2656
0.14;0.99784696;0.527589;2048.894;-6685.4097;-4636.5156;-1188.2418;0.0;0.0;1838.2656
0.145;0.9990686;0.5525631;2053.5513;-6684.1646;-4630.6133;-1059.8295;0.0;0.0;1838.2656
0.15;0.9999644;0.5695319;2056.869;-6686.556;-4629.6875;-972.8849;0.0;0.0;1838.2656
0.155;1.0005322;0.58072984;2058.7815;-6691.1455;-4632.3643;-914.95575;0.0;0.0;1838.2656
0.16;1.0007355;0.5887906;2059.0815;-6695.6533;-4636.572;-871.1025;0.0;0.0;1838.2656
0.165;1.0005156;0.5963288;2057.6182;-6698.565;-4640.947;-826.60425;0.0;0.0;1838.2656
0.17;0.9998866;0.6052154;2054.6826;-6698.685;-4644.0024;-771.7253;0.0;0.0;1838.2656
0.175;0.99900836;0.6169866;2051.121;-6695.538;-4644.417;-699.68665;0.0;0.0;1838.2656
0.18;0.99814403;0.6319177;2048.005;-6689.007;-4641.002;-611.11206;0.0;0.0;1838.2656
0.185;0.99753773;0.6485391;2046.1624;-6681.226;-4635.0635;-515.76306;0.0;0.0;1838.2656
0.19;0.997316;0.66549695;2045.9058;-6672.9697;-4627.064;-421.73114;0.0;0.0;1838.2656
0.195;0.99746454;0.6812994;2046.8917;-6665.48;-4618.5884;-336.55585;0.0;0.0;1838.2656
0.2;0.997802;0.6946627;2048.3071;-6660.0254;-4611.7183;-265.6906;0.0;0.0;1838.2656
0.205;0.99811214;0.7063876;2049.3882;-6655.339;-4605.9507;-203.1924;0.0;0.0;1838.2656
0.21;0.9982625;0.71678615;2049.7776;-6651.29;-4601.5127;-146.6253;0.0;0.0;1838.2656
0.215;0.9982354;0.72720116;2049.5347;-6646.493;-4596.9585;-88.70261;0.0;0.0;1838.2656
0.22;0.99809027;0.7377059;2048.9324;-6641.4224;-4592.49;-29.56648;0.0;0.0;1838.2656
0.225;0.99790275;0.74851227;2048.2632;-6636.116;-4587.853;31.366838;0.0;0.0;1838.2656
0.23;0.99773794;0.7597378;2047.7417;-6630.2925;-4582.551;94.31608;0.0;0.0;1838.2656
0.235;0.9976311;0.77121747;2047.4724;-6624.074;-4576.6016;158.16272;0.0;0.0;1838.2656
0.24;0.99759203;0.7822668;2047.4546;-6618.2827;-4570.828;219.13345;0.0;0.0;1838.2656
0.245;0.9976057;0.79279906;2047.615;-6612.8184;-4565.203;276.89572;0.0;0.0;1838.2656
0.25;0.9976516;0.80276674;2047.8654;-6607.8105;-4559.9453;331.3649;0.0;0.0;1838.2656
0.255;0.9977093;0.8122002;2048.1543;-6602.838;-4554.6836;382.81055;0.0;0.0;1838.2656
0.26;0.9977771;0.82059354;2048.5168;-6598.647;-4550.13;428.373;0.0;0.0;1838.2656
0.265;0.99787843;0.8281756;2049.0806;-6594.87;-4545.7896;469.05927;0.0;0.0;1838.2656
0.27;0.9980559;0.8343251;2050.0579;-6592.2285;-4542.171;501.01746;0.0;0.0;1838.2656
0.275;0.99836373;0.83847195;2051.608;-6591.141;-4539.533;520.7867;0.0;0.0;1838.2656
0.28;0.99879885;0.8397124;2053.4736;-6592.6484;-4539.175;523.8959;0.0;0.0;1838.2656
0.285;0.9992116;0.83906865;2054.9502;-6595.152;-4540.2017;517.39276;0.0;0.0;1838.2656
0.29;0.99941874;0.8371269;2055.4866;-6598.4526;-4542.966;505.61185;0.0;0.0;1838.2656
0.295;0.9993753;0.8348283;2055.149;-6601.705;-4546.556;493.6106;0.0;0.0;1838.2656
0.3;0.9991889;0.8330722;2054.496;-6604.3433;-4549.847;485.23154;0.0;0.0;1838.2656
0.305;0.9990277;0.8318318;2054.1406;-6606.544;-4552.4033;479.10208;0.0;0.0;1838.2656
0.31;0.9989995;0.8301889;2054.2847;-6609.416;-4555.1313;469.75357;0.0;0.0;1838.2656
0.315;0.9990564;0.82834804;2054.495;-6612.324;-4557.829;459.18088;0.0;0.0;1838.2656
0.32;0.99901694;0.8264074;2054.0176;-6615.257;-4561.2393;449.43365;0.0;0.0;1838.2656
0.325;0.9987152;0.82601595;2052.465;-6616.4565;-4563.991;450.38016;0.0;0.0;1838.2656
0.33;0.9981717;0.82817703;2050.1929;-6614.8438;-4564.651;466.84244;0.0;0.0;1838.2656
0.335;0.9975642;0.8325506;2048.033;-6611.765;-4563.7324;495.28143;0.0;0.0;1838.2656
0.34;0.9971155;0.8386146;2046.7224;-6607.253;-4560.5303;531.34436;0.0;0.0;1838.2656
0.345;0.99693376;0.8448986;2046.4854;-6602.9434;-4556.458;566.47327;0.0;0.0;1838.2656
0.35;0.9969945;0.85046643;2047.0911;-6599.0767;-4551.9854;595.9674;0.0;0.0;1838.2656
0.355;0.9971963;0.85472465;2048.0955;-6596.259;-4548.163;617.4418;0.0;0.0;1838.2656
0.36;0.9974287;0.85716724;2049.1006;-6594.8506;-4545.75;628.90204;0.0;0.0;1838.2656
0.365;0.9976185;0.8582424;2049.893;-6594.2515;-4544.3584;633.2463;0.0;0.0;1838.2656
0.37;0.99774414;0.85836613;2050.3901;-6593.9204;-4543.5303;632.9347;0.0;0.0;1838.2656
0.375;0.9977923;0.85769147;2050.5493;-6594.117;-4543.568;628.89557;0.0;0.0;1838.2656
0.38;0.9977586;0.85675985;2050.4072;-6594.524;-4544.1167;624.04193;0.0;0.0;1838.2656
0.385;0.9976712;0.85600734;2050.0918;-6594.1934;-4544.1016;620.52295;0.0;0.0;1838.2656
0.39;0.99756545;0.855198;2049.7776;-6593.997;-4544.2197;616.6881;0.0;0.0;1838.2656
0.395;0.99748456;0.85428387;2049.6084;-6594.0703;-4544.462;611.9851;0.0;0.0;1838.2656
0.4;0.99744636;0.85346425;2049.589;-6593.8975;-4544.3086;607.5036;0.0;0.0;1838.2656
0.405;0.9974219;0.8526631;2049.5505;-6593.4404;-4543.8896;603.16284;0.0;0.0;1838.2656
0.41;0.99735457;0.8514271;2049.2632;-6593.706;-4544.443;596.92114;0.0;0.0;1838.2656
0.415;0.99719584;0.85129154;2048.6028;-6592.6587;-4544.0557;597.4942;0.0;0.0;1838.2656
0.42;0.9969506;0.8521318;2047.6519;-6590.694;-4543.042;604.0299;0.0;0.0;1838.2656
0.425;0.9966659;0.85379195;2046.685;-6588.201;-4541.516;615.11896;0.0;0.0;1838.2656
0.43;0.99643683;0.85640764;2046.0967;-6584.9497;-4538.853;630.7209;0.0;0.0;1838.2656
0.435;0.9963565;0.85880643;2046.1835;-6582.298;-4536.1143;643.77594;0.0;0.0;1838.2656
0.44;0.99645936;0.86044455;2046.9451;-6580.4756;-4533.5303;651.2868;0.0;0.0;1838.2656
0.445;0.9966907;0.86064684;2048.0713;-6580.0674;-4531.996;650.1501;0.0;0.0;1838.2656
0.45;0.9969437;0.85948634;2049.1072;-6580.546;-4531.4385;641.6782;0.0;0.0;1838.2656
0.455;0.99711007;0.8575485;2049.7146;-6581.467;-4531.752;629.7765;0.0;0.0;1838.2656
0.46;0.9971505;0.8550869;2049.83;-6582.6475;-4532.8174;615.97064;0.0;0.0;1838.2656
0.465;0.9970884;0.8527212;2049.631;-6583.5938;-4533.963;603.3221;0.0;0.0;1838.2656
0.47;0.99699616;0.85032195;2049.474;-6584.9043;-4535.43;590.4045;0.0;0.0;1838.2656
0.475;0.9969747;0.8477371;2049.6855;-6586.3438;-4536.658;575.7266;0.0;0.0;1838.2656
0.48;0.9970666;0.8444989;2050.2993;-6588.4014;-4538.102;556.6411;0.0;0.0;1838.2656
0.485;0.99722797;0.8403772;2051.0447;-6591.1787;-4540.134;532.4204;0.0;0.0;1838.2656
0.49;0.99736595;0.835249;2051.5505;-6594.888;-4543.338;503.1277;0.0;0.0;1838.2656
0.495;0.9974008;0.82988644;2051.594;-6598.6943;-4547.1006;473.46698;0.0;0.0;1838.2656
0.5;0.9973173;0.82485956;2051.1902;-6602.026;-4550.836;446.55246;0.0;0.0;1838.2656
0.505;0.99714386;0.82030475;2050.502;-6604.9414;-4554.4395;422.8102;0.0;0.0;1838.2656
0.51;0.9969341;0.816642;2049.7498;-6607.392;-4557.6426;404.11505;0.0;0.0;1838.2656
0.515;0.99674314;0.81365395;2049.148;-6609.422;-4560.274;388.8403;0.0;0.0;1838.2656
0.52;0.99661785;0.81135815;2048.8916;-6610.853;-4561.9614;376.69217;0.0;0.0;1838.2656
0.525;0.9965977;0.80878305;2049.0566;-6612.843;-4563.786;362.1611;0.0;0.0;1838.2656
0.53;0.99666566;0.8059693;2049.4565;-6615.122;-4565.6655;345.84393;0.0;0.0;1838.2656
0.535;0.99673647;0.80279934;2049.6997;-6617.843;-4568.143;327.8758;0.0;0.0;1838.2656
0.54;0.99670565;0.79978853;2049.4094;-6620.4614;-4571.052;311.85233;0.0;0.0;1838.2656
0.545;0.9965106;0.79773086;2048.4712;-6622.257;-4573.7856;302.38123;0.0;0.0;1838.2656
0.55;0.99617666;0.79722935;2047.063;-6622.8975;-4575.8345;302.43198;0.0;0.0;1838.2656
0.555;0.9957756;0.7989211;2045.509;-6621.657;-4576.1484;314.86957;0.0;0.0;1838.2656
0.56;0.995395;0.80237824;2044.1565;-6619.1445;-4574.9883;336.64;0.0;0.0;1838.2656
0.565;0.9951093;0.80713344;2043.199;-6616.091;-4572.8916;364.77908;0.0;0.0;1838.2656
0.57;0.994928;0.8127788;2042.6006;-6612.476;-4569.8755;397.10852;0.0;0.0;1838.2656
0.575;0.9948103;0.81919134;2042.1019;-6608.3887;-4566.2866;433.46997;0.0;0.0;1838.2656
0.58;0.99467057;0.8262767;2041.404;-6603.913;-4562.509;473.94006;0.0;0.0;1838.2656
0.585;0.99446076;0.83447486;2040.4873;-6598.3906;-4557.9033;520.9847;0.0;0.0;1838.2656
0.59;0.99423945;0.8435803;2039.7288;-6592.438;-4552.709;572.7167;0.0;0.0;1838.2656
0.595;0.9941422;0.85292345;2039.7334;-6586.5327;-4546.7993;624.23267;0.0;0.0;1838.2656
0.6;0.9942966;0.86138564;2040.7128;-6581.467;-4540.754;668.9412;0.0;0.0;1838.2656
0.605;0.9946212;0.8683827;2042.0215;-6577.931;-4535.9097;704.9112;0.0;0.0;1838.2656
0.61;0.99486446;0.8740518;2042.7242;-6575.2676;-4532.5435;734.76984;0.0;0.0;1838.2656
0.615;0.9948655;0.87950706;2042.5654;-6572.5415;-4529.976;765.1719;0.0;0.0;1838.2656
0.62;0.9947105;0.8854942;2042.1157;-6569.0254;-4526.9097;799.0891;0.0;0.0;1838.2656
0.625;0.9946054;0.8913633;2042.1233;-6565.8677;-4523.744;831.4409;0.0;0.0;1838.2656
0.63;0.99468595;0.89617264;2042.8887;-6563.7256;-4520.837;856.4326;0.0;0.0;1838.2656
0.635;0.99493045;0.8993931;2044.119;-6562.8496;-4518.7305;871.73224;0.0;0.0;1838.2656
0.64;0.9952051;0.9009878;2045.291;-6563.0884;-4517.7974;878.1828;0.0;0.0;1838.2656
0.645;0.99540555;0.90085715;2046.1428;-6564.517;-4518.374;875.75854;0.0;0.0;1838.2656
0.65;0.99552846;0.89961505;2046.7859;-6566.7236;-4519.9375;867.62244;0.0;0.0;1838.2656
0.655;0.99563456;0.8972395;2047.3678;-6569.6724;-4522.3047;853.3581;0.0;0.0;1838.2656
0.66;0.9957201;0.89412487;2047.7485;-6573.2227;-4525.474;835.4199;0.0;0.0;1838.2656
0.665;0.9957132;0.8905918;2047.6353;-6576.677;-4529.0415;816.16254;0.0;0.0;1838.2656
0.67;0.99555;0.8873159;2046.8562;-6579.644;-4532.788;799.6547;0.0;0.0;1838.2656
0.675;0.99523264;0.88549745;2045.5682;-6581.1035;-4535.535;792.2022;0.0;0.0;1838.2656
0.68;0.99484926;0.88515365;2044.1497;-6581.0117;-4536.8623;793.1432;0.0;0.0;1838.2656
0.685;0.9944945;0.88590235;2042.9387;-6580.259;-4537.3203;799.6941;0.0;0.0;1838.2656
0.69;0.99423265;0.88736826;2042.1616;-6578.7183;-4536.5566;809.33234;0.0;0.0;1838.2656
0.695;0.99410087;0.88908195;2041.9727;-6576.653;-4534.68;819.16095;0.0;0.0;1838.2656
