time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;0.74769545;0.0012461591
0.01;1.8722258e-05;0.00031203762;0.74532163;0.002488362
0.015;7.476993e-05;0.00083077705;0.7382246;0.003718736
0.02;0.00016778718;0.0013982265;0.72648764;0.004929549
0.025;0.00029718547;0.0019812363;0.71024144;0.0061132847
0.03;0.00046215102;0.0025675057;0.68966544;0.0072627272
0.035;0.00066164974;0.0031507132;0.66498774;0.00837104
0.04;0.0008944475;0.0037268645;0.63647634;0.009431833
0.045;0.0011591114;0.004293005;0.60443336;0.010439223
0.05;0.00145404;0.0048467997;0.5691933;0.011387878
0.055;0.0017774613;0.0053862464;0.5311169;0.012273073
0.06;0.0021274728;0.005909647;0.4905822;0.01309071
0.065;0.002502035;0.006415474;0.44797993;0.013837343
0.07;0.0028990237;0.006902437;0.40371388;0.014510199
0.075;0.0033162113;0.007369358;0.35818657;0.015107177
0.08;0.0037513203;0.007815251;0.31179914;0.015626842
0.085;0.0042020227;0.00823926;0.26494545;0.016068418
0.09;0.004665974;0.008640693;0.21801077;0.01643177
0.095;0.0051408196;0.009018982;0.17136356;0.016717376
0.1;0.0056242407;0.009373734;0.12535465;0.0169263
0.105;0.006113902;0.009704607;0.08031524;0.017060159
0.11;0.006607569;0.010011468;0.036552213;0.017121078
0.115;0.007103046;0.01029427;-0.0056518903;0.017111659
0.12;0.00759821;0.010553069;-0.046041433;0.017034924
0.125;0.0080910465;0.010788062;-0.084388286;0.016894277
0.13;0.008579636;0.010999533;-0.12049325;0.016693454
0.135;0.009062187;0.011187885;-0.15418528;0.016436478
0.14;0.009536982;0.01135355;-0.18532377;0.016127605
0.145;0.010002484;0.011497107;-0.21379419;0.015771283
0.15;0.010457238;0.0116191525;-0.23951443;0.015372092
0.155;0.010900003;0.011720433;-0.26242632;0.014934714
0.16;0.011329594;0.011801661;-0.28249997;0.014463881
0.165;0.011745025;0.011863662;-0.29973155;0.013964329
0.17;0.012145443;0.011907297;-0.3141392;0.013440764
0.175;0.012530104;0.011933433;-0.32576746;0.012897817
0.18;0.012898431;0.011942992;-0.33467862;0.012340019
0.185;0.013250024;0.011936959;-0.34095797;0.011771756
0.19;0.013584488;0.011916217;-0.3447046;0.0111972485
0.195;0.013901714;0.011881808;-0.3460375;0.0106205195
0.2;0.014201568;0.011834641;-0.34508878;0.010045372
0.205;0.0144841485;0.01177573;-0.34200224;0.009475368
0.21;0.0147496;0.011706032;-0.3369326;0.008913813
0.215;0.014998183;0.011626498;-0.33004344;0.008363741
0.22;0.015230252;0.01153807;-0.32150623;0.007827898
0.225;0.015446213;0.01144164;-0.31149587;0.007308738
0.23;0.015646555;0.011338083;-0.30019152;0.0068084183
0.235;0.01583188;0.011228284;-0.28777364;0.0063287956
0.24;0.0160028;0.011113056;-0.27442354;0.005871423
0.245;0.016159981;0.0109931845;-0.26031843;0.005437559
0.25;0.016304119;0.010869413;-0.24563521;0.0050281673
0.255;0.016436009;0.010742489;-0.23054282;0.004643929
0.26;0.016556336;0.010613036;-0.21520741;0.00428525
0.265;0.01666591;0.010481705;-0.19978495;0.003952275
0.27;0.016765486;0.010349066;-0.18442541;0.0036448995
0.275;0.016855791;0.010215631;-0.16926716;0.0033627874
0.28;0.016937675;0.01008195;-0.15443875;0.0031053897
0.285;0.01701183;0.009948439;-0.14005832;0.002871959
0.29;0.017078966;0.009815498;-0.12623091;0.0026615742
0.295;0.017139819;0.009683514;-0.11304984;0.0024731578
0.3;0.017195014;0.009552785;-0.10059497;0.0023054995
0.305;0.017245172;0.009423591;-0.088933356;0.0021572772
0.31;0.017290862;0.009296162;-0.07811866;0.0020270795
0.315;0.017332701;0.009170742;-0.068191856;0.0019134263
0.32;0.01737109;0.009047443;-0.05918028;0.0018147926
0.325;0.017406542;0.008926432;-0.051098444;0.0017296285
0.33;0.01743943;0.008807793;-0.04394922;0.0016563798
0.335;0.017470142;0.008691613;-0.037723217;0.0015935078
0.34;0.017498942;0.008577913;-0.03240029;0.0015395073
0.345;0.01752614;0.008466735;-0.027949765;0.0014929244
0.35;0.017551985;0.008358088;-0.024331972;0.001452371
0.355;0.017576588;0.008251919;-0.021498462;0.0014165402
0.36;0.017600115;0.008148201;-0.019393647;0.0013842175
0.365;0.017622665;0.0080468785;-0.01795553;0.0013542917
0.37;0.017644372;0.007947915;-0.017116953;0.0013257634
0.375;0.01766517;0.007851186;-0.016806649;0.0012977524
0.38;0.01768515;0.0077566453;-0.016950568;0.0012695014
0.385;0.017704297;0.0076641976;-0.017472772;0.0012403801
0.39;0.017722541;0.007573736;-0.01829672;0.0012098856
0.395;0.017739872;0.007485178;-0.019346293;0.0011776418
0.4;0.01775628;0.00739845;-0.020546818;0.0011433971
0.405;0.017771622;0.0073134247;-0.021826113;0.0011070202
0.41;0.017785914;0.007230046;-0.023115242;0.0010684947
0.415;0.017799018;0.0071481997;-0.024349513;0.0010279123
0.42;0.017810883;0.007067811;-0.025469096;0.0009854637
0.425;0.017821528;0.0069888346;-0.026419614;0.0009414311
0.43;0.017830817;0.0069111693;-0.02715302;0.00089617603
0.435;0.01783877;0.0068347775;-0.027627388;0.0008501304
0.44;0.017845351;0.0067596026;-0.027807862;0.00080378394
0.445;0.017850485;0.006685575;-0.027666876;0.0007576725
0.45;0.01785429;0.0066127004;-0.027183568;0.00071236654
0.455;0.017856702;0.0065409164;-0.026344886;0.0006684584
0.46;0.01785785;0.0064702355;-0.025144387;0.0006265511
0.465;0.017857706;0.0064006113;-0.023583118;0.0005872459
0.47;0.017856386;0.006332052;-0.021668551;0.00055113167
0.475;0.017853929;0.0062645366;-0.019414783;0.0005187737
0.48;0.017850589;0.0061981212;-0.016841806;0.000490704
0.485;0.017846357;0.0061327685;-0.0139752785;0.00046741188
0.49;0.017841473;0.006068528;-0.010845759;0.0004493356
0.495;0.017835971;0.006005377;-0.0074883513;0.000436855
0.5;0.017830119;0.005943373;-0.003941939;0.00043028512
0.505;0.017824097;0.0058825403;-0.00024858917;0.00042987082
0.51;0.01781802;0.0058228825;0.0035471623;0.00043578274
0.515;0.017812125;0.005764442;0.0073989676;0.00044811436
0.52;0.017806614;0.0057072486;0.011259388;0.00046688
0.525;0.017801663;0.005651322;0.015080575;0.0004920143
0.53;0.017797485;0.0055966936;0.01881496;0.00052337255
0.535;0.017794231;0.005543374;0.022415934;0.00056073244
0.54;0.017792054;0.0054913745;0.02583851;0.0006037966
0.545;0.017791227;0.005440742;0.029039722;0.0006521962
0.55;0.017791806;0.005391456;0.031979587;0.0007054955
0.555;0.017794015;0.005343548;0.034621228;0.00076319755
0.56;0.017797953;0.00529701;0.036931332;0.00082474976
0.565;0.01780374;0.0052518407;0.038881067;0.00088955153
0.57;0.017811447;0.0052080257;0.040445853;0.0009569613
0.575;0.017821204;0.0051655667;0.04160589;0.0010263044
0.58;0.017833026;0.005124433;0.042346317;0.0010968816
0.585;0.01784698;0.0050846096;0.042657208;0.001167977
0.59;0.01786309;0.0050460706;0.042534117;0.0012388672
0.595;0.017881287;0.0050087636;0.04197751;0.0013088296
0.6;0.017901596;0.004972665;0.040993147;0.0013771516
0.605;0.017923983;0.0049377363;0.039591696;0.0014431378
0.61;0.017948318;0.004903912;0.037788566;0.0015061187
0.615;0.017974569;0.0048711565;0.035603687;0.0015654581
0.62;0.018002609;0.004839411;0.03306156;0.0016205608
0.625;0.01803231;0.0048086164;0.030190203;0.0016708778
0.63;0.018063493;0.004778702;0.027021367;0.0017159134
0.635;0.018096024;0.004749613;0.0235899;0.0017552299
0.64;0.018129768;0.0047212937;0.019933177;0.0017884518
0.645;0.018164469;0.0046936614;0.016090814;0.0018152699
0.65;0.018200029;0.0046666744;0.0121041;0.0018354434
0.655;0.018236179;0.004640249;0.008015371;0.0018488023
0.66;0.018272737;0.0046143276;0.0038676646;0.0018552485
0.665;0.018309454;0.0045888354;-0.0002959081;0.0018547552
