time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.8382034;0.004730339
0.01;7.1057235e-05;0.0011842872;2.8300703;0.009447123
0.015;0.00028382;0.0031535556;2.805837;0.014123518
0.02;0.0006370701;0.0053089177;2.766057;0.018733613
0.025;0.0011288094;0.007525396;2.711589;0.023252929
0.03;0.0017562995;0.00975722;2.6435845;0.027658902
0.035;0.0025161165;0.011981507;2.5633955;0.03193123
0.04;0.003404245;0.014184355;2.47253;0.03605211
0.045;0.0044161105;0.016355963;2.3725712;0.040006395
0.05;0.0055467016;0.018489005;2.26516;0.043781664
0.055;0.0067906333;0.020577677;2.1519;0.047368165
0.06;0.0081421975;0.022617215;2.034342;0.050758734
0.065;0.009595525;0.024603913;1.9139565;0.05394866
0.07;0.011144561;0.02653467;1.7921124;0.056935515
0.075;0.01278321;0.028407132;1.6700543;0.05971894
0.08;0.014505345;0.030219471;1.5489069;0.06230045
0.085;0.01630491;0.03197041;1.4296551;0.06468321
0.09;0.0181759;0.033659074;1.3131588;0.06687181
0.095;0.020112524;0.03528513;1.2001511;0.06887206
0.1;0.022109117;0.03684853;1.0912521;0.07069081
0.105;0.024160177;0.038349487;0.9869523;0.072335735
0.11;0.02626053;0.039788682;0.8876465;0.073815145
0.115;0.02840523;0.041167;0.7936325;0.07513786
0.12;0.03058951;0.04248543;0.70511574;0.076313056
0.125;0.032809008;0.043745343;0.6222232;0.077350095
0.13;0.035059504;0.044948082;0.54501224;0.07825845
0.135;0.037337214;0.046095323;0.47347265;0.07904757
0.14;0.039638516;0.047188707;0.4075439;0.07972681
0.145;0.041960187;0.0482301;0.34711796;0.08030534
0.15;0.044299077;0.049221195;0.29204398;0.08079208
0.155;0.046652563;0.050164048;0.24214154;0.08119565
0.16;0.049018174;0.0510606;0.19719906;0.08152431
0.165;0.051393457;0.05191258;0.15698506;0.081785955
0.17;0.053776566;0.052722123;0.12125163;0.081988044
