radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;1.4009803e-05
0.87;2.0534384e-05
0.88;0.0002542245
0.89;0.0012427171
0.9;0.005385477
0.91;0.017073244
0.92;0.041366708
0.93;0.09227667
0.9400000000000001;0.1739288
0.9500000000000001;0.29646933
0.96;0.4699688
0.97;0.678664
0.98;0.92642474
0.99;1.1864287
1.0;1.4565954
1.01;1.7092409
1.02;1.9408708
1.03;2.141265
1.04;2.291309
1.05;2.4077053
1.06;2.4789288
1.07;2.5213354
1.08;2.5406225
1.09;2.520317
1.1;2.484862
1.11;2.4264805
1.12;2.3667068
1.1300000000000001;2.3013113
1.1400000000000001;2.2203474
1.1500000000000001;2.1338544
1.16;2.0501573
1.17;1.9665153
1.18;1.8860607
1.19;1.8088771
1.2;1.7315835
1.21;1.6629865
1.22;1.584041
1.23;1.5097108
1.24;1.4482957
1.25;1.3925754
1.26;1.3318713
1.27;1.2797837
1.28;1.2328283
1.29;1.1832075
1.3;1.1417276
1.31;1.1001441
1.32;1.0630074
1.33;1.028359
1.34;0.9918787
1.35;0.96886647
1.36;0.9368601
1.37;0.90983504
1.3800000000000001;0.8949165
1.3900000000000001;0.8756153
1.4000000000000001;0.8565598
1.41;0.8370735
1.42;0.81666553
1.43;0.80324006
1.44;0.79104185
1.45;0.77929294
1.46;0.7629159
1.47;0.75304663
1.48;0.7444148
1.49;0.73549896
1.5;0.7316121
1.51;0.7250841
1.52;0.71846265
1.53;0.7137215
1.54;0.71095115
1.55;0.70429
1.56;0.7024057
1.57;0.70548695
1.58;0.7039964
1.59;0.70536876
1.6;0.7046918
1.61;0.7086262
1.62;0.71283275
1.6300000000000001;0.71194327
1.6400000000000001;0.71957415
1.6500000000000001;0.72175807
1.6600000000000001;0.7293536
1.67;0.7352443
1.68;0.7439069
1.69;0.7502528
1.7;0.7584033
1.71;0.76669765
1.72;0.77882046
1.73;0.7880249
1.74;0.79559547
1.75;0.81105024
1.76;0.82195646
1.77;0.8334629
1.78;0.8445679
1.79;0.8612487
1.8;0.87780255
1.81;0.89377034
1.82;0.90557843
1.83;0.9209276
1.84;0.9355795
1.85;0.95156544
1.86;0.9663676
1.87;0.98346955
1.8800000000000001;0.9947459
1.8900000000000001;1.0088933
1.9000000000000001;1.0271319
1.9100000000000001;1.0393622
1.92;1.0530516
1.93;1.070295
1.94;1.0806638
1.95;1.0926787
1.96;1.1033536
1.97;1.1164485
1.98;1.1327336
1.99;1.1413217
2.0;1.1552012
2.0100000000000002;1.1660548
2.02;1.1702493
2.0300000000000002;1.1751118
2.04;1.1835591
2.05;1.1879272
2.06;1.1928055
