time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.0066054;0.005011009
0.01;7.527717e-05;0.0012546194;2.9977243;0.010007217
0.015;0.0003006622;0.0033406913;2.9712732;0.014959338
0.02;0.0006748249;0.0056235413;2.9278743;0.019839128
0.025;0.0011955835;0.007970557;2.8685088;0.024619976
0.03;0.0018599572;0.010333096;2.7944891;0.029277459
0.035;0.0026642175;0.01268675;2.7073398;0.03378969
0.04;0.0036039918;0.015016632;2.608762;0.03813763
0.045;0.004674337;0.017312359;2.5005364;0.04230519
0.05;0.0058698137;0.019566046;2.3844798;0.046279322
0.055;0.007184588;0.02177148;2.2623665;0.050049935
0.06;0.0086125415;0.023923727;2.1359184;0.053609796
0.065;0.010147343;0.02601883;2.006737;0.056954358
0.07;0.011782527;0.028053634;1.8763133;0.06008155
0.075;0.01351149;0.03002553;1.7459872;0.06299152
0.08;0.0153277945;0.031932905;1.6169622;0.065686464
0.085;0.017224912;0.033774335;1.4902812;0.068170264
0.09;0.019196557;0.03554918;1.3668563;0.07044836
0.095;0.02123655;0.037257105;1.247444;0.07252743
0.1;0.023338817;0.03889803;1.132678;0.07441523
0.105;0.025497707;0.040472552;1.0230565;0.076120324
0.11;0.027707754;0.041981444;0.9189705;0.07765194
0.115;0.029963655;0.043425586;0.82070136;0.07901978
0.12;0.03226065;0.044806458;0.7284386;0.08023384
0.125;0.034593884;0.046125177;0.64228106;0.08130431
0.13;0.03695927;0.047383677;0.56226075;0.08224141
0.135;0.039352763;0.048583657;0.48834005;0.08305531
0.14;0.04177061;0.04972692;0.42042464;0.083756015
0.145;0.044209477;0.050815493;0.35837325;0.084353305
0.15;0.046666253;0.05185139;0.30200487;0.08485665
0.155;0.049138106;0.052836675;0.25110367;0.08527515
0.16;0.051622555;0.053773496;0.20542729;0.085617535
0.165;0.054117065;0.0546637;0.16471384;0.08589206
0.17;0.056620106;0.05550991;0.128685;0.08610653
0.175;0.059129447;0.05631376;0.09705175;0.08626828
0.18;0.06164363;0.05707743;0.06951956;0.08638415
