time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.996818;0.004994697
0.01;7.503135e-05;0.0012505224;2.987983;0.009974669
0.015;0.00029968118;0.003329791;2.9616897;0.014910818
0.02;0.0006726256;0.0056052133;2.9185352;0.019775044
0.025;0.0011916962;0.007944641;2.859524;0.024540916
0.03;0.001853925;0.010299583;2.7859378;0.029184146
0.035;0.0026556186;0.012645803;2.6992886;0.03368296
0.04;0.0035924136;0.01496839;2.6012719;0.038018413
0.045;0.004659397;0.017257025;2.4936495;0.042174496
0.05;0.00585116;0.019503865;2.3782177;0.046138193
0.055;0.007161921;0.02170279;2.2567482;0.04989944
0.06;0.008585538;0.023848718;2.1309474;0.053451017
0.065;0.01011576;0.025937848;2.0024025;0.056788355
0.07;0.011746113;0.027966935;1.8725978;0.05990935
0.075;0.013470119;0.029933598;1.7428523;0.06281411
0.08;0.015281247;0.031835932;1.614372;0.06550473
0.085;0.01717305;0.033672646;1.488202;0.067985065
0.09;0.019139217;0.035442993;1.365234;0.07026045
0.095;0.021173615;0.037146695;1.2462327;0.07233751
0.1;0.023270294;0.038783822;1.1318225;0.074223876
0.105;0.025423482;0.040354736;1.0225066;0.075928055
0.11;0.027627673;0.04186011;0.91866904;0.07745917
0.115;0.029877769;0.043301113;0.8205958;0.07882683
0.12;0.03216891;0.044679042;0.7284715;0.08004095
0.125;0.0344963;0.045995068;0.64240247;0.08111162
0.13;0.036855772;0.047250994;0.5624131;0.082048975
0.135;0.039243266;0.048448473;0.4884706;0.08286309
0.14;0.041655146;0.04958946;0.42048275;0.0835639
0.145;0.044087872;0.050675716;0.35831025;0.08416108
0.15;0.04653855;0.0517095;0.3017759;0.08466404
0.155;0.049004234;0.052692723;0.2506681;0.08508182
0.16;0.051482227;0.05362732;0.20474865;0.08542307
0.165;0.053970497;0.054515652;0.16376056;0.085696004
0.17;0.056466945;0.055359747;0.12742996;0.08590839
0.175;0.0589696;0.056161527;0.095474154;0.08606751
0.18;0.061476983;0.056923132;0.06760376;0.08618018
0.185;0.06398777;0.057646636;0.04352595;0.08625273
0.19;0.066500455;0.058333732;0.022949692;0.08629098
0.195;0.069014356;0.05898663;0.0055862833;0.08630028
0.2;0.07152862;0.05960718;-0.008846538;0.08628554
0.205;0.07404211;0.06019684;-0.020623427;0.08625117
0.21;0.076554745;0.060757734;-0.030009314;0.08620115
0.215;0.07906563;0.06129118;-0.037258197;0.08613906
0.22;0.08157486;0.06179913;-0.042612128;0.086068034
0.225;0.08408194;0.06228292;-0.04630012;0.08599087
0.23;0.08658623;0.06274364;-0.048537586;0.08590998
0.235;0.08908853;0.06318335;-0.04952621;0.08582743
0.24;0.091588125;0.063602865;-0.049453445;0.08574501
0.245;0.09408518;0.06400352;-0.048492286;0.08566419
0.25;0.09658006;0.0643867;-0.04680179;0.08558618
0.255;0.0990726;0.06475333;-0.044526514;0.085511975
0.26;0.10156259;0.06510423;-0.041797634;0.08544231
0.265;0.10405068;0.065440685;-0.038732458;0.08537776
0.27;0.106536865;0.065763496;-0.035435524;0.0853187
0.275;0.109020896;0.06607327;-0.031998567;0.08526537
0.28;0.111503616;0.0663712;-0.028501678;0.08521786
0.285;0.11398496;0.06665787;-0.025013406;0.08517618
0.29;0.11646512;0.06693398;-0.02159195;0.08514019
0.295;0.118943825;0.0671999;-0.018285306;0.08510971
0.3;0.12142208;0.06745671;-0.015132608;0.08508449
0.305;0.123899125;0.06770444;-0.012164523;0.08506422
0.31;0.12637539;0.06794376;-0.009404261;0.08504854
0.315;0.12885179;0.068175554;-0.006868238;0.0850371
0.32;0.1313279;0.06839994;-0.004566949;0.08502948
0.325;0.13380322;0.06861704;-0.0025056456;0.08502531
0.33;0.13627827;0.068827406;-0.00068513013;0.08502417
0.335;0.13875362;0.06903165;0.000897588;0.08502566
0.34;0.14122882;0.06922981;0.0022487438;0.08502941
0.345;0.14370415;0.06942229;0.0033772208;0.08503504
0.35;0.14617963;0.06960935;0.0042941435;0.08504219
0.355;0.1486555;0.06979132;0.005012509;0.08505055
0.36;0.15113118;0.069968134;0.005546763;0.0850598
0.365;0.15360719;0.07014027;0.005912499;0.08506965
0.37;0.1560836;0.070307925;0.006126184;0.08507986
0.375;0.15856014;0.070471175;0.0062047476;0.085090205
0.38;0.16103727;0.07063038;0.0061655357;0.08510048
0.385;0.16351463;0.07078555;0.006025862;0.08511052
0.39;0.1659923;0.07093689;0.005802972;0.08512019
0.395;0.16846974;0.071084276;0.005513757;0.08512938
0.4;0.17094782;0.07122826;0.0051746164;0.08513801
0.405;0.17342636;0.07136887;0.0048013083;0.08514601
0.41;0.1759047;0.07150598;0.004408769;0.085153356
0.415;0.17838304;0.071639776;0.004010904;0.08516004
0.42;0.18086196;0.07177062;0.003620541;0.085166074
0.425;0.18334068;0.071898304;0.003249255;0.08517149
0.43;0.18581995;0.072023235;0.0029072964;0.085176334
0.435;0.18829876;0.07214512;0.0026034638;0.08518068
0.44;0.19077824;0.072264485;0.002345162;0.08518458
0.445;0.19325775;0.072381176;0.002138284;0.08518815
0.45;0.1957368;0.07249511;0.0019872803;0.08519146
0.455;0.19821635;0.07260672;0.0018951967;0.08519462
0.46;0.20069611;0.07271598;0.0018637253;0.085197724
0.465;0.20317523;0.07282266;0.001893301;0.08520088
0.47;0.2056551;0.07292734;0.0019831292;0.085204184
0.475;0.20813464;0.0730297;0.002131315;0.08520774
0.48;0.21061435;0.07312999;0.0023348837;0.08521163
0.485;0.21309388;0.073228136;0.002589989;0.08521595
0.49;0.21557349;0.073324315;0.002892056;0.08522077
0.495;0.21805353;0.0734187;0.0032359536;0.085226156
0.5;0.2205332;0.07351107;0.0036162357;0.08523218
0.505;0.22301324;0.07360173;0.004027296;0.0852389
0.51;0.22549334;0.07369063;0.00446354;0.08524634
0.515;0.22797354;0.07377784;0.004919474;0.085254535
0.52;0.23045407;0.07386349;0.005389855;0.08526352
0.525;0.23293449;0.07394746;0.0058696913;0.0852733
0.53;0.235415;0.07402988;0.0063543213;0.08528389
0.535;0.2378965;0.07411105;0.0068393745;0.08529529
0.54;0.24037707;0.07419045;0.0073207864;0.085307494
0.545;0.24285892;0.07426878;0.0077947127;0.08532049
0.55;0.24534048;0.074345596;0.008257602;0.08533425
0.555;0.24782263;0.07442121;0.00870607;0.085348755
0.56;0.25030494;0.07449552;0.009137006;0.085363984
0.565;0.25278828;0.074568816;0.009547448;0.0853799
0.57;0.2552711;0.07464068;0.009934796;0.085396454
0.575;0.25775522;0.07471166;0.0102966875;0.08541362
0.58;0.26023892;0.0747813;0.010631021;0.08543134
0.585;0.26272413;0.07485019;0.010936086;0.08544956
0.59;0.2652089;0.07491777;0.011210675;0.08546825
0.595;0.2676944;0.074984424;0.011453954;0.085487336
0.6;0.27017975;0.07504992;0.011665666;0.08550678
0.605;0.27266732;0.07511496;0.011846249;0.085526526
0.61;0.27515492;0.075178936;0.0119966185;0.085546516
0.615;0.27764264;0.0752419;0.012118315;0.085566714
0.62;0.28013092;0.07530401;0.01221364;0.08558707
0.625;0.2826198;0.07536528;0.012285247;0.08560754
0.63;0.28510904;0.07542568;0.012336451;0.08562811
0.635;0.28759915;0.07548534;0.0123710185;0.08564872
0.64;0.29009032;0.07554436;0.012393005;0.08566938
0.645;0.29258123;0.07560239;0.012406772;0.08569006
0.65;0.29507387;0.07565997;0.01241674;0.08571076
0.655;0.29756656;0.07571669;0.012427375;0.08573147
0.66;0.3000589;0.07577245;0.012442834;0.085752204
0.665;0.30255294;0.0758278;0.012466999;0.085772984
0.67;0.30504796;0.07588258;0.012503277;0.08579382
0.675;0.307542;0.075936295;0.012554462;0.085814744
0.68;0.31003824;0.07598976;0.012622817;0.085835785
0.685;0.31253472;0.07604251;0.012709912;0.08585697
0.69;0.31503153;0.076094575;0.012816541;0.08587833
0.695;0.3175291;0.07614607;0.012942914;0.0858999
0.7;0.320027;0.0761969;0.0130885085;0.08592171
0.705;0.32252613;0.07624731;0.013252147;0.0859438
0.71;0.3250255;0.07629707;0.01343217;0.085966185
0.715;0.3275251;0.07634618;0.013626306;0.085988894
0.72;0.33002642;0.076395;0.013831911;0.08601195
0.725;0.33252734;0.07644306;0.014045932;0.08603536
0.73;0.33502987;0.076490834;0.014265039;0.08605914
