x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-5.631206;-3.474903;-4.581087;0.14348115;-0.07726006;0.5598815;12.80121;15.898077;16.817526;12.25;12.25;12.25;1372;199.9999999998906
-7.2178664;0.93888146;-9.621587;0.01622051;-0.004855033;-0.03234563;-9.138194;24.051218;-22.886787;12.25;12.25;12.25;1372;199.9999999998906
0.75026304;-15.728062;-6.272399;-0.14872316;0.8368246;1.4295028;4.754636;-3.236165;4.4508862;12.25;12.25;12.25;1372;199.9999999998906
-6.90581;-0.87131965;-0.9294715;0.4302605;0.046939828;1.116029;19.655975;-19.457928;24.678072;12.25;12.25;12.25;1372;199.9999999998906
-6.9361444;-3.0157936;-5.9726696;0.07841932;-0.5753874;-0.16718411;-33.07293;11.546281;9.816492;12.25;12.25;12.25;1372;199.9999999998906
-2.9759374;-20.179632;-8.869005;-0.34891963;-2.0131357;-1.2090496;28.481585;15.428887;-10.755673;12.25;12.25;12.25;1372;199.9999999998906
-4.7596602;-2.252881;-4.3399987;0.79941744;0.2849627;-0.08559224;-7.7848268;-1.836322;2.1823351;12.25;12.25;12.25;1372;199.9999999998906
1.495545;-1.4391794;-7.391908;0.14314735;-0.38508543;-0.4954828;-17.173027;22.494741;-14.7452345;12.25;12.25;12.25;1372;199.9999999998906
-5.8159127;-0.6498144;-3.949407;1.5220956;-0.26434812;0.08001229;-5.6132984;5.6882396;7.177399;12.25;12.25;12.25;1372;199.9999999998906
0.27378246;-5.64965;1.8329704;0.4492137;-0.22609518;0.7966598;10.715753;-26.3241;-59.881454;12.25;12.25;12.25;1372;199.9999999998906
-11.039266;-3.3292732;-3.55153;1.452343;0.831496;-1.9836736;6.6029644;1.5137941;-5.7487135;12.25;12.25;12.25;1372;199.9999999998906
-18.297562;-2.5471802;-0.11357626;2.3509076;0.12946174;-0.9557539;3.3044412;-2.0381489;-9.681862;12.25;12.25;12.25;1372;199.9999999998906
0.5922144;2.8122735;-16.641567;0.21916951;0.078036234;-1.3360968;17.122406;22.238312;-6.9476857;12.25;12.25;12.25;1372;199.9999999998906
