x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-7.1599517;-3.4505622;-0.60713536;0.86507577;-0.2660768;-0.010554224;-9.712808;57.207855;-13.755489;12.25;12.25;12.25;1372;249.99999999984513
-7.149715;1.0564027;-5.7121706;-1.798523;1.0025158;0.9129843;-6.459608;-9.984436;-17.930664;12.25;12.25;12.25;1372;249.99999999984513
-0.09243076;-19.079708;-6.40485;-1.5237625;-0.051824912;-0.061505225;6.60672;-6.8799067;-1.2855843;12.25;12.25;12.25;1372;249.99999999984513
-6.516446;1.1266344;-7.900713;-1.8916601;-1.3308876;0.03783926;8.244954;11.355924;15.498351;12.25;12.25;12.25;1372;249.99999999984513
-6.134125;-4.694187;-5.326535;-0.41814366;1.6946577;0.40345585;8.074371;-7.518515;-0.7535592;12.25;12.25;12.25;1372;249.99999999984513
-12.253881;-18.024395;-6.311305;0.69495046;-0.33979866;0.6342823;12.917433;11.724397;21.143002;12.25;12.25;12.25;1372;249.99999999984513
-7.049479;-3.4062057;-3.1959076;-1.7930875;1.3625011;-0.5868058;-3.7207842;-14.146879;-4.820025;12.25;12.25;12.25;1372;249.99999999984513
-2.1801052;-1.9706199;-4.096256;0.94207096;-0.7490801;-0.68173885;1.2343924;-7.822976;-1.3462099;12.25;12.25;12.25;1372;249.99999999984513
-6.0521264;-0.95860857;-3.0847754;-1.3580636;1.0184053;-0.6339578;-8.609467;-10.271706;4.876533;12.25;12.25;12.25;1372;249.99999999984513
0.44207567;-7.635737;-0.6161411;-0.9497132;0.9889918;1.5342977;-4.5057373;1.2627268;-7.3247204;12.25;12.25;12.25;1372;249.99999999984513
-13.926281;-2.073483;2.9934251;1.9848464;1.037464;-0.42167294;4.4822493;-0.69087225;-1.3329831;12.25;12.25;12.25;1372;249.99999999984513
-19.279781;3.5483117;4.9013596;1.37132;-0.41084218;0.13466647;5.478996;4.2511272;-7.0991783;12.25;12.25;12.25;1372;249.99999999984513
1.3900322;9.113632;-20.991293;0.1865776;0.08002227;0.3047255;5.1804657;-4.3772597;-12.053399;12.25;12.25;12.25;1372;249.99999999984513
11.950345;2.327124;-15.166495;1.0941741;-1.8345094;0.66494507;-6.346466;11.33691;4.7822614;12.25;12.25;12.25;1372;249.99999999984513
6.729149;-3.3051152;-3.0208235;-0.10186912;0.64197534;0.5804024;-28.529713;23.454567;-8.426881;12.25;12.25;12.25;1372;249.99999999984513
12.155775;-12.573879;-1.3417364;0.65761673;0.24957284;0.9141929;6.775843;19.910227;16.657183;12.25;12.25;12.25;1372;249.99999999984513
-1.0031608;1.8768438;-17.754498;-0.21322306;-0.19197808;-0.4325532;10.515684;12.261327;-6.350886;12.25;12.25;12.25;1372;249.99999999984513
