time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
200.005;1.001358;0.8767139;2057.5808;-6585.9443;-4528.3633;719.73737;0.0;0.0;1838.2656
200.01;1.0012095;0.8755876;2057.4453;-6586.321;-4528.8755;713.7972;0.0;0.0;1838.2656
200.015;1.0012608;0.87386566;2057.997;-6586.892;-4528.895;703.1975;0.0;0.0;1838.2656
200.02;1.0017797;0.8706815;2059.7705;-6588.9253;-4529.155;682.0908;0.0;0.0;1838.2656
200.025;1.003007;0.86596274;2063.1592;-6592.5684;-4529.409;649.29034;0.0;0.0;1838.2656
200.03;1.0050766;0.85978866;2068.28;-6597.5166;-4529.2363;604.99963;0.0;0.0;1838.2656
200.035;1.0079536;0.8522515;2074.7976;-6603.9854;-4529.1875;550.39886;0.0;0.0;1838.2656
200.04;1.0113555;0.84404606;2082.0146;-6611.326;-4529.3115;490.7134;0.0;0.0;1838.2656
200.045;1.014907;0.8358655;2089.1658;-6618.7305;-4529.5645;431.29688;0.0;0.0;1838.2656
200.05;1.0182507;0.8286361;2095.5493;-6625.162;-4529.613;378.66107;0.0;0.0;1838.2656
200.055;1.0210625;0.8230054;2100.528;-6630.1035;-4529.575;337.65125;0.0;0.0;1838.2656
200.06;1.0230538;0.8192891;2103.6338;-6633.2188;-4529.585;310.94528;0.0;0.0;1838.2656
200.065;1.0240672;0.8174771;2104.7607;-6634.5693;-4529.8086;298.6987;0.0;0.0;1838.2656
200.07;1.0241599;0.81761926;2104.2207;-6634.073;-4529.8525;300.5626;0.0;0.0;1838.2656
200.075;1.0235656;0.81927687;2102.5593;-6632.117;-4529.5576;313.02698;0.0;0.0;1838.2656
200.08;1.0225624;0.8218088;2100.2568;-6629.6724;-4529.4155;331.5949;0.0;0.0;1838.2656
200.085;1.0213306;0.82519096;2097.57;-6626.5474;-4528.9775;355.6204;0.0;0.0;1838.2656
200.09;1.0199436;0.82887036;2094.581;-6623.433;-4528.852;381.88968;0.0;0.0;1838.2656
200.095;1.0184164;0.8330764;2091.3247;-6620.1826;-4528.858;411.5977;0.0;0.0;1838.2656
200.1;1.0167743;0.83743894;2087.8818;-6616.8755;-4528.9937;442.54196;0.0;0.0;1838.2656
