x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-7.230136;-2.1711977;-7.637624;0.7453561;-0.7181951;1.7715403;-12.578653;-4.046894;-4.487017;12.25;12.25;12.25;1372;50.00000000000713
-5.779565;-6.126309;-3.5756648;-1.7364625;3.0124917;1.4182472;4.4401054;-2.8111598;-5.5598865;12.25;12.25;12.25;1372;50.00000000000713
-0.6522314;-7.8054795;-5.363181;1.3251202;-0.27602115;1.0014004;8.130628;-9.064989;-0.35519007;12.25;12.25;12.25;1372;50.00000000000713
-4.529689;-7.278565;-1.390473;-0.36262974;1.1695188;0.24645182;3.9184122;-5.8005257;2.4040382;12.25;12.25;12.25;1372;50.00000000000713
-4.9560876;-4.373759;-6.9520555;0.46410197;-0.46465966;-0.65006065;0.21168412;-21.281939;0.3409151;12.25;12.25;12.25;1372;50.00000000000713
-3.8832476;-5.4629855;-6.666293;-0.24787377;0.19702925;0.55869997;-8.457285;8.107854;3.805133;12.25;12.25;12.25;1372;50.00000000000713
0.8024336;-5.7765107;-4.3742914;-0.15317208;-0.46892035;-2.0817802;-8.129183;-7.3085294;7.56437;12.25;12.25;12.25;1372;50.00000000000713
3.6226833;-6.793347;-5.7802134;0.6389146;-0.97889906;-0.7408327;-1.9878513;9.112723;11.295488;12.25;12.25;12.25;1372;50.00000000000713
-3.7269979;-1.0084654;-4.476991;0.17852741;-1.088651;-1.0694486;14.565383;-8.592511;5.1314344;12.25;12.25;12.25;1372;50.00000000000713
1.3153116;0.51829326;-8.361016;1.1922777;-1.3763916;0.14721325;1.6057254;-0.3728061;-2.9678783;12.25;12.25;12.25;1372;50.00000000000713
-0.38274813;-5.0808187;-4.9227443;1.081924;0.3945219;0.35075328;4.3269515;-0.48981094;-5.5085406;12.25;12.25;12.25;1372;50.00000000000713
-5.865584;-5.6963844;-4.741451;0.98374295;-0.38116953;1.3420099;3.154366;-24.539778;67.20866;12.25;12.25;12.25;1372;50.00000000000713
-0.040294636;-4.9789343;-6.000761;1.8030891;1.8674375;-0.8723743;-2.3975286;-8.817061;5.8923955;12.25;12.25;12.25;1372;50.00000000000713
9.465639;-1.2455419;-10.64377;0.9220071;0.6966381;-0.18591656;0.7845398;11.793428;2.8038707;12.25;12.25;12.25;1372;50.00000000000713
-0.6489544;-5.112185;-1.183483;0.33355823;-0.46505892;-0.5960471;-16.764559;-19.22762;2.0334291;12.25;12.25;12.25;1372;50.00000000000713
1.8904482;-5.730436;-4.4442945;0.14923592;-0.75805014;1.1779741;-29.730457;63.43934;12.417162;12.25;12.25;12.25;1372;50.00000000000713
0.22108015;-4.107382;-5.29588;-1.4875711;-0.06197145;0.096843064;4.205559;-13.895052;-7.0826573;12.25;12.25;12.25;1372;50.00000000000713
4.0137267;-8.0226965;-8.253289;0.65315235;-2.5277178;-1.3586023;-20.158808;-21.986582;10.359707;12.25;12.25;12.25;1372;50.00000000000713
4.091804;-7.180374;-11.348538;2.1005957;-0.22477992;-0.57633924;-5.8165183;0.4661143;2.4010212;12.25;12.25;12.25;1372;50.00000000000713
-4.609137;-8.6438875;-4.430253;0.6521738;1.8061984;-1.4437164;1.8042629;-21.186241;10.412662;12.25;12.25;12.25;1372;50.00000000000713
1.5926194;-5.693402;-6.458691;1.5273526;0.14672282;-1.6849738;33.21803;10.0500555;7.477197;12.25;12.25;12.25;1372;50.00000000000713
