time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
50.005;1.0092503;0.74199855;2078.501;-6647.459;-4568.958;-65.03069;0.0;0.0;1838.2656
50.01;1.0134157;0.73494333;2086.1555;-6654.838;-4568.6826;-119.24778;0.0;0.0;1838.2656
50.015;1.0166672;0.72979903;2091.9297;-6660.7393;-4568.8096;-159.16585;0.0;0.0;1838.2656
50.02;1.019013;0.7268511;2095.85;-6664.376;-4568.526;-183.26413;0.0;0.0;1838.2656
50.025;1.020467;0.72584814;2097.9553;-6666.473;-4568.5176;-193.00575;0.0;0.0;1838.2656
50.03;1.0210559;0.7268969;2098.318;-6666.664;-4568.3457;-187.9477;0.0;0.0;1838.2656
50.035;1.0208255;0.72956276;2097.0977;-6665.5845;-4568.487;-170.80496;0.0;0.0;1838.2656
50.04;1.0198897;0.7337168;2094.6057;-6663.198;-4568.593;-142.91235;0.0;0.0;1838.2656
50.045;1.0184355;0.7388623;2091.2568;-6659.9136;-4568.6567;-107.83838;0.0;0.0;1838.2656
50.05;1.0166708;0.7446842;2087.431;-6655.967;-4568.536;-68.079636;0.0;0.0;1838.2656
50.055;1.0147499;0.7504509;2083.3745;-6652.126;-4568.7515;-28.164825;0.0;0.0;1838.2656
50.06;1.0127622;0.7560338;2079.3037;-6648.402;-4569.098;10.765412;0.0;0.0;1838.2656
50.065;1.0108356;0.761416;2075.5925;-6644.4365;-4568.8438;47.86966;0.0;0.0;1838.2656
50.07;1.0092064;0.765619;2072.8384;-6641.5073;-4568.669;76.55642;0.0;0.0;1838.2656
50.075;1.0082014;0.7678075;2071.6343;-6640.6396;-4569.0054;91.03372;0.0;0.0;1838.2656
50.08;1.0080464;0.768423;2072.164;-6640.919;-4568.755;93.36871;0.0;0.0;1838.2656
50.085;1.0086799;0.7676174;2073.9463;-6642.5986;-4568.6523;85.361534;0.0;0.0;1838.2656
50.09;1.0097055;0.7662151;2075.9673;-6644.607;-4568.6396;73.58593;0.0;0.0;1838.2656
50.095;1.0105593;0.7653835;2077.1123;-6645.83;-4568.718;66.70989;0.0;0.0;1838.2656
50.1;1.0107545;0.7658296;2076.6648;-6645.1895;-4568.5244;70.065094;0.0;0.0;1838.2656
50.105;1.0100996;0.7676381;2074.5942;-6642.816;-4568.2217;84.17953;0.0;0.0;1838.2656
50.11;1.0087563;0.7702407;2071.5093;-6639.5312;-4568.022;104.70243;0.0;0.0;1838.2656
50.115;1.0071375;0.7729356;2068.3213;-6636.003;-4567.6816;125.94055;0.0;0.0;1838.2656
