radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;0.0
0.98;0.0
0.99;0.0
1.0;0.0
1.01;0.0
1.02;0.052033897
1.03;0.3216174
1.04;1.0656903
1.05;2.8235805
1.06;6.1893463
1.07;7.9463882
1.08;9.586424
1.09;10.352265
1.1;9.665446
1.11;8.16583
1.12;6.9365897
1.1300000000000001;5.139615
1.1400000000000001;4.4578013
1.1500000000000001;3.8080032
1.16;2.5412407
1.17;2.3442464
1.18;1.8152375
1.19;1.5061479
1.2;1.1219914
1.21;0.98780686
1.22;0.8168415
1.23;0.85197204
1.24;0.6581641
1.25;0.6080482
1.26;0.60424066
1.27;0.71865046
1.28;0.46634823
1.29;0.43167835
1.3;0.4685952
1.31;0.42231783
1.32;0.46467304
1.33;0.3846392
1.34;0.35549593
1.35;0.46381068
1.36;0.5040601
1.37;0.4692331
1.3800000000000001;0.38810197
1.3900000000000001;0.3880263
1.4000000000000001;0.43037313
1.41;0.3923936
1.42;0.4785739
1.43;0.39957768
1.44;0.3589593
1.45;0.37783366
1.46;0.38240564
1.47;0.5212941
1.48;0.52294344
1.49;0.39227825
1.5;0.47597256
1.51;0.53930587
1.52;0.3991758
1.53;0.4960628
1.54;0.47374618
1.55;0.50805837
1.56;0.60690165
1.57;0.5840776
1.58;0.6636854
1.59;0.52151656
1.6;0.6745372
1.61;0.45017013
1.62;0.587855
1.6300000000000001;0.6296001
1.6400000000000001;0.5614005
1.6500000000000001;0.62295806
1.6600000000000001;0.71154
1.67;0.7094987
1.68;0.7716838
1.69;0.71965736
1.7;0.7305919
1.71;0.74354976
1.72;0.89569473
1.73;0.9268401
1.74;0.9800879
1.75;0.92443264
1.76;1.2926316
1.77;1.0877872
1.78;1.2684122
1.79;1.5693169
1.8;1.3822161
1.81;1.574696
1.82;1.8440603
1.83;1.5833226
1.84;1.6806111
1.85;1.7721248
1.86;1.7841347
1.87;1.9308344
1.8800000000000001;1.810952
1.8900000000000001;1.8250867
1.9000000000000001;1.9618037
1.9100000000000001;1.9614732
1.92;1.9497955
1.93;1.9011469
1.94;1.7477953
1.95;1.779969
1.96;1.607192
1.97;1.5613918
1.98;1.4508822
1.99;1.5992024
2.0;1.4453603
2.0100000000000002;1.4025111
2.02;1.3559
2.0300000000000002;1.4170859
2.04;1.2355751
2.05;1.4286476
2.06;1.4448365
2.07;1.2720662
2.08;1.3312728
2.09;1.4476914
2.1;1.6653882
