radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;4.302415e-06
0.86;2.5217643e-05
0.87;0.00015606137
0.88;0.0006783771
0.89;0.0029550507
0.9;0.010231047
0.91;0.02735319
0.92;0.06353217
0.93;0.12702459
0.9400000000000001;0.2248175
0.9500000000000001;0.36878142
0.96;0.5529449
0.97;0.77486455
0.98;1.0161483
0.99;1.2745293
1.0;1.528774
1.01;1.7654256
1.02;1.9701635
1.03;2.1468444
1.04;2.2807508
1.05;2.3725019
1.06;2.4322164
1.07;2.46176
1.08;2.4711354
1.09;2.4573386
1.1;2.421495
1.11;2.366803
1.12;2.3065104
1.1300000000000001;2.2329102
1.1400000000000001;2.1595693
1.1500000000000001;2.0836341
1.16;2.0003436
1.17;1.9124703
1.18;1.8447517
1.19;1.7735873
1.2;1.7016149
1.21;1.62958
1.22;1.5588266
1.23;1.491027
1.24;1.4336317
1.25;1.3768818
1.26;1.3252188
1.27;1.2716271
1.28;1.2270327
1.29;1.1826208
1.3;1.1458702
1.31;1.1020089
1.32;1.0703146
1.33;1.0354509
1.34;1.0064346
1.35;0.97581697
1.36;0.94881505
1.37;0.9234226
1.3800000000000001;0.90101
1.3900000000000001;0.88252234
1.4000000000000001;0.8628601
1.41;0.8437555
1.42;0.83041024
1.43;0.81572264
1.44;0.8018443
1.45;0.78909355
1.46;0.77835286
1.47;0.76662767
1.48;0.7572655
1.49;0.7503786
1.5;0.74223095
1.51;0.7320235
1.52;0.7277628
1.53;0.71990114
1.54;0.7153959
1.55;0.7128878
1.56;0.71050096
1.57;0.7102086
1.58;0.7083153
1.59;0.70860124
1.6;0.7119752
1.61;0.71593267
1.62;0.7170593
1.6300000000000001;0.720029
1.6400000000000001;0.7235487
1.6500000000000001;0.72684646
1.6600000000000001;0.73123723
1.67;0.7399225
1.68;0.74945
1.69;0.7568231
1.7;0.7648082
1.71;0.7744841
1.72;0.78625774
1.73;0.79500794
1.74;0.80211335
1.75;0.81548876
1.76;0.82603294
1.77;0.84094256
1.78;0.8518238
1.79;0.8661121
1.8;0.87908185
1.81;0.89198613
1.82;0.90452874
1.83;0.92080677
1.84;0.9358336
1.85;0.9514648
1.86;0.96481425
1.87;0.9791339
1.8800000000000001;0.9929935
1.8900000000000001;1.0073599
1.9000000000000001;1.021046
1.9100000000000001;1.0328199
1.92;1.0490569
1.93;1.0648066
1.94;1.0786716
1.95;1.0929159
1.96;1.1052988
1.97;1.118055
1.98;1.1285995
1.99;1.1394037
2.0;1.1488315
2.0100000000000002;1.158357
2.02;1.1666796
2.0300000000000002;1.1769384
2.04;1.181664
2.05;1.1836226
2.06;1.1875722
