x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-0.00059115747;-4.619672;-4.5864224;-0.00018251911;-0.00026363967;-0.0001123371;-0.00573482;0.008606566;0.0070533925;12.25;12.25;12.25;1372;199.9999999998906
-0.3339287;-1.1509727;-1.473911;-0.0001259557;-0.00055752107;-0.0002254391;-0.009072158;-0.006254282;0.006916373;12.25;12.25;12.25;1372;199.9999999998906
-8.511248;-4.5723987;-8.622434;0.00018398717;-5.243086e-05;-7.071101e-05;0.0047248905;0.0028307578;-0.0015786767;12.25;12.25;12.25;1372;199.9999999998906
-4.0569477;-6.618537;-8.681719;1.4790528e-05;0.00017800063;-3.0200306e-05;0.009772778;0.009998735;-0.012042125;12.25;12.25;12.25;1372;199.9999999998906
-7.5736966;-8.68895;-10.053126;6.161268e-05;-5.1025658e-05;6.027791e-05;-0.007578633;-0.0047213803;0.0016103098;12.25;12.25;12.25;1372;199.9999999998906
-3.3159587;-3.9407697;-8.823586;0.000102555336;0.00025293132;0.0001105933;-0.0038155473;-0.0020315961;-0.0024366635;12.25;12.25;12.25;1372;199.9999999998906
-2.8837721;-3.3811378;-4.99431;-0.000360677;-3.9117444e-05;8.267344e-05;-0.0008901769;-0.0007414845;0.01024496;12.25;12.25;12.25;1372;199.9999999998906
-0.8917371;-5.000033;-7.5684996;0.00045998883;0.0002544357;-0.0014375807;-0.31810635;-0.3986979;1.3228217;12.25;12.25;12.25;1372;199.9999999998906
-0.061014924;-7.3798246;-11.458887;4.3461238e-05;0.0012698745;-0.00024880917;-0.0033373155;0.04874118;-0.03548642;12.25;12.25;12.25;1372;199.9999999998906
-1.8224959;-11.18414;-6.3809395;-4.0054932e-05;-9.200895e-05;-0.00012802644;-0.007791914;-0.0058281277;0.021473518;12.25;12.25;12.25;1372;199.9999999998906
-0.47361106;-4.2541523;-6.800904;-9.0696885e-05;0.0005562547;-0.00062101963;-0.0019033847;0.049890026;-0.2530888;12.25;12.25;12.25;1372;199.9999999998906
-1.3074106;-6.776222;-2.1382866;-0.00014285636;-0.00017520784;0.00022583532;-0.0074755033;-0.0037117868;0.0012038834;12.25;12.25;12.25;1372;199.9999999998906
-2.4211252;-10.348094;-8.1355295;0.0001524393;0.00019144583;-2.610984e-05;0.0027857597;0.0063806716;0.0005422116;12.25;12.25;12.25;1372;199.9999999998906
-4.9030023;-3.1234384;-7.785758;-0.00014538819;0.0001523348;0.00010365135;-0.010183001;0.009357611;0.00017848008;12.25;12.25;12.25;1372;199.9999999998906
0.7200535;-2.5330746;-7.577825;1.9553447e-05;0.00011517907;-0.00026630066;-0.004134146;-0.002780745;-0.019572187;12.25;12.25;12.25;1372;199.9999999998906
0.6233223;-8.079813;-7.431557;-1.1191947e-05;0.00011845274;0.00015236027;-0.0032747528;-0.0043693716;-0.0061533544;12.25;12.25;12.25;1372;199.9999999998906
2.9074335;-2.701856;-4.9516177;0.00017466152;6.9441354e-05;0.00021817544;-0.0035592967;-0.001148496;0.014258199;12.25;12.25;12.25;1372;199.9999999998906
3.315116;-1.7217807;-2.4474118;-0.00022352877;8.543763e-05;0.00014043534;0.004909177;-0.0016631574;0.0047807503;12.25;12.25;12.25;1372;199.9999999998906
0.935243;-6.27554;-0.21887596;0.017321946;-0.04098882;-0.036942657;0.4446443;-1.0755242;-0.9303081;12.25;12.25;12.25;1372;199.9999999998906
3.1941211;-3.050654;-2.959432;0.00015481416;-0.00015380039;-0.00021110992;0.018511394;0.007435454;-0.0032784694;12.25;12.25;12.25;1372;199.9999999998906
-1.9070104;-0.6308689;-2.431234;-0.0001083203;9.215394e-05;-0.00020919838;0.00021078294;0.009619575;-0.0012949981;12.25;12.25;12.25;1372;199.9999999998906
3.5061555;-2.721095;-1.989849;-0.00023029227;9.08893e-05;2.192387e-05;-0.005802636;0.0071635866;0.0029166224;12.25;12.25;12.25;1372;199.9999999998906
2.8852115;-1.7447888;-4.491538;-0.00025848928;-0.000113584334;-0.00022185415;0.0040189773;-0.007377034;0.0032735257;12.25;12.25;12.25;1372;199.9999999998906
3.1666107;-4.4934497;-1.2825743;-5.893501e-05;0.00014836217;-3.835577e-05;-0.00017008961;0.0017673683;-0.004105178;12.25;12.25;12.25;1372;199.9999999998906
7.708507;-5.70307;-9.191493;-4.4275723e-05;-3.106008e-06;-5.7779784e-05;0.004795764;-0.012920534;-0.009267142;12.25;12.25;12.25;1372;199.9999999998906
4.932986;-0.26423502;-1.349829;0.00013277458;-2.5499918e-05;-0.00034773466;0.01349235;-0.015755575;-0.005053481;12.25;12.25;12.25;1372;199.9999999998906
2.6303763;-4.188234;-6.041249;8.823558e-05;4.178031e-05;0.00019636152;0.0075272853;0.002815854;0.00033920162;12.25;12.25;12.25;1372;199.9999999998906
7.678707;-10.542567;-7.969799;4.729527e-05;0.00017231762;0.00016214652;0.010972206;0.0051709116;-0.0046475967;12.25;12.25;12.25;1372;199.9999999998906
-6.028323;0.024189105;-3.6502862;0.00017371989;-3.126734e-05;0.00017330318;0.008939299;-0.004365833;0.005819671;12.25;12.25;12.25;1372;199.9999999998906
-8.851272;-0.6628981;-2.7611024;0.00013524595;5.9325554e-05;-0.000112627284;-0.0070050415;0.0010904433;-0.00051195914;12.25;12.25;12.25;1372;199.9999999998906
-5.161137;0.12264465;-2.165824;-4.6600653e-05;2.9332656e-05;-0.00018952538;0.00415106;0.005620268;0.0018782156;12.25;12.25;12.25;1372;199.9999999998906
-6.56143;-2.1225867;-1.7564237;0.00010499031;-3.5541416e-07;-1.8876402e-05;-0.006678753;-0.0033304088;-0.0032998414;12.25;12.25;12.25;1372;199.9999999998906
-3.8470976;-4.165094;-3.9322329;5.1620736e-05;0.00012456808;2.800035e-06;-0.005226446;0.0048247334;-0.001701028;12.25;12.25;12.25;1372;199.9999999998906
-1.84642;-1.9567944;-3.8480341;4.5875695e-06;-0.0004414244;0.0001854014;-0.0028036488;-0.010732336;-0.0042855036;12.25;12.25;12.25;1372;199.9999999998906
-9.99065;-0.48264343;-1.9851226;-0.00060737453;0.0007996036;0.0017845584;-0.05182977;0.053179707;0.07664245;12.25;12.25;12.25;1372;199.9999999998906
-1.0602105;-4.375536;-4.805147;-0.00018959986;-0.00023106078;0.00011906472;-0.0075254496;-0.0053139096;-0.003822662;12.25;12.25;12.25;1372;199.9999999998906
-2.0591545;-5.097367;-2.9661164;0.00037425244;3.684137e-05;-0.0001451318;0.011377158;-0.0015898157;-0.0032965546;12.25;12.25;12.25;1372;199.9999999998906
-3.0513325;-4.9633107;-11.884722;0.00010479354;-1.5296102e-05;-7.931963e-05;0.00397375;-0.0043683248;0.0036820746;12.25;12.25;12.25;1372;199.9999999998906
-2.8292177;-1.1562746;-2.1683674;6.246351e-05;-0.00026518185;-2.7496608e-06;0.0073630232;-0.00012792353;0.020072617;12.25;12.25;12.25;1372;199.9999999998906
-6.1946797;-3.2449331;-9.50264;0.00016019738;-0.00018050396;-0.0002007052;0.012158895;-0.0033670566;0.0028545351;12.25;12.25;12.25;1372;199.9999999998906
-0.032943495;-7.05951;-6.192633;-0.00015465802;5.512451e-06;-0.00023280639;-0.0001244618;-0.0057925167;0.0016091075;12.25;12.25;12.25;1372;199.9999999998906
