time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
25.005;0.8004977;0.41065165;1644.6039;-6759.9414;-5115.3374;-1024.5472;0.0;0.0;1838.2656
25.01;0.80056345;0.41354114;1645.0573;-6759.076;-5114.019;-1009.51917;0.0;0.0;1838.2656
25.015;0.80060816;0.41574493;1645.3632;-6758.425;-5113.0615;-997.9774;0.0;0.0;1838.2656
25.02;0.80059963;0.41736844;1645.471;-6758.16;-5112.6895;-989.2397;0.0;0.0;1838.2656
25.025;0.80055445;0.4184271;1645.4934;-6758.077;-5112.584;-983.4463;0.0;0.0;1838.2656
25.03;0.800516;0.41891542;1645.6377;-6758.2207;-5112.583;-981.04193;0.0;0.0;1838.2656
25.035;0.80053306;0.41838264;1645.9908;-6759.415;-5113.4243;-984.68634;0.0;0.0;1838.2656
25.04;0.8005873;0.41675454;1646.419;-6761.3936;-5114.9746;-994.52124;0.0;0.0;1838.2656
25.045;0.8006262;0.41461077;1646.73;-6763.463;-5116.733;-1006.96576;0.0;0.0;1838.2656
25.05;0.8006206;0.41169944;1646.8735;-6765.996;-5119.1226;-1023.3082;0.0;0.0;1838.2656
25.055;0.8005863;0.4079774;1647.0046;-6769.3706;-5122.366;-1044.0968;0.0;0.0;1838.2656
25.06;0.8005872;0.40392825;1647.3323;-6772.6807;-5125.3486;-1067.0824;0.0;0.0;1838.2656
25.065;0.80065316;0.39906156;1647.9175;-6776.7783;-5128.861;-1095.0916;0.0;0.0;1838.2656
25.07;0.80077153;0.39302325;1648.5874;-6781.876;-5133.2886;-1129.7314;0.0;0.0;1838.2656
25.075;0.80085903;0.3862839;1648.9601;-6787.453;-5138.493;-1167.643;0.0;0.0;1838.2656
25.08;0.8008143;0.37935227;1648.6844;-6793.25;-5144.5654;-1205.3181;0.0;0.0;1838.2656
25.085;0.80058116;0.37304875;1647.6355;-6798.5703;-5150.9346;-1237.9829;0.0;0.0;1838.2656
25.09;0.8001715;0.36886176;1645.9838;-6801.707;-5155.723;-1257.7699;0.0;0.0;1838.2656
25.095;0.79966587;0.36680242;1644.0632;-6802.9717;-5158.908;-1265.2856;0.0;0.0;1838.2656
25.1;0.799144;0.36698562;1642.1616;-6802.607;-5160.4453;-1260.4722;0.0;0.0;1838.2656
25.105;0.7986628;0.36893165;1640.4878;-6800.995;-5160.5073;-1246.3925;0.0;0.0;1838.2656
25.11;0.79826164;0.37241903;1639.1986;-6798.3843;-5159.1855;-1224.5819;0.0;0.0;1838.2656
25.115;0.7979778;0.37692612;1638.4395;-6794.9375;-5156.498;-1198.2079;0.0;0.0;1838.2656
25.12;0.7978398;0.38149703;1638.2927;-6791.794;-5153.501;-1172.7069;0.0;0.0;1838.2656
25.125;0.7978519;0.38553634;1638.7231;-6788.9717;-5150.2485;-1151.2917;0.0;0.0;1838.2656
25.13;0.79798335;0.38825506;1639.5453;-6787.619;-5148.0737;-1137.9427;0.0;0.0;1838.2656
25.135;0.7981707;0.38940805;1640.4978;-6787.5645;-5147.0664;-1133.4893;0.0;0.0;1838.2656
25.14;0.7983491;0.38922444;1641.3245;-6788.5415;-5147.217;-1136.1552;0.0;0.0;1838.2656
25.145;0.7984639;0.38825038;1641.8281;-6789.7817;-5147.9536;-1142.5343;0.0;0.0;1838.2656
25.15;0.7984774;0.3865493;1641.8934;-6791.627;-5149.7334;-1152.046;0.0;0.0;1838.2656
25.155;0.7983785;0.38506058;1641.4967;-6793.007;-5151.5103;-1159.4626;0.0;0.0;1838.2656
25.16;0.79817367;0.3838505;1640.7163;-6794.2197;-5153.5034;-1164.5751;0.0;0.0;1838.2656
25.165;0.79790163;0.3836932;1639.7776;-6794.407;-5154.63;-1163.5652;0.0;0.0;1838.2656
25.17;0.79763645;0.38399836;1638.9631;-6794.4517;-5155.4883;-1160.2532;0.0;0.0;1838.2656
25.175;0.79743886;0.38496065;1638.4937;-6793.8184;-5155.3247;-1154.0074;0.0;0.0;1838.2656
25.18;0.79734606;0.38588557;1638.4572;-6793.3564;-5154.8994;-1148.8339;0.0;0.0;1838.2656
25.185;0.7973544;0.38612548;1638.8076;-6793.5967;-5154.789;-1148.2117;0.0;0.0;1838.2656
25.19;0.7974404;0.3856075;1639.4193;-6794.33;-5154.9106;-1152.2916;0.0;0.0;1838.2656
25.195;0.7975619;0.3838822;1640.1157;-6795.9854;-5155.8696;-1163.1991;0.0;0.0;1838.2656
25.2;0.797672;0.3811891;1640.6729;-6798.244;-5157.5713;-1179.1652;0.0;0.0;1838.2656
25.205;0.79771066;0.377652;1640.8854;-6801.173;-5160.2876;-1199.0968;0.0;0.0;1838.2656
25.21;0.79764616;0.37383485;1640.7037;-6804.117;-5163.4136;-1219.7843;0.0;0.0;1838.2656
25.215;0.79749835;0.370164;1640.2677;-6806.8574;-5166.59;-1239.156;0.0;0.0;1838.2656
25.22;0.7973214;0.36651748;1639.8204;-6809.544;-5169.7236;-1258.3715;0.0;0.0;1838.2656
25.225;0.7971783;0.363106;1639.5757;-6812.0083;-5172.4326;-1276.6956;0.0;0.0;1838.2656
25.23;0.7971032;0.3595112;1639.6155;-6814.559;-5174.9434;-1296.5997;0.0;0.0;1838.2656
25.235;0.7970917;0.3552015;1639.8574;-6817.8926;-5178.035;-1320.8507;0.0;0.0;1838.2656
25.24;0.79710084;0.35048857;1640.075;-6821.4453;-5181.37;-1347.2766;0.0;0.0;1838.2656
25.245;0.79706234;0.3453804;1640.0121;-6825.521;-5185.509;-1375.3214;0.0;0.0;1838.2656
25.25;0.7969265;0.34044394;1639.5051;-6829.4707;-5189.966;-1401.531;0.0;0.0;1838.2656
25.255;0.79667443;0.33664423;1638.541;-6832.295;-5193.754;-1420.5574;0.0;0.0;1838.2656
25.26;0.79632777;0.33440417;1637.2561;-6833.782;-5196.5264;-1430.3411;0.0;0.0;1838.2656
25.265;0.79593533;0.33384168;1635.8345;-6833.8027;-5197.9683;-1430.5999;0.0;0.0;1838.2656
25.27;0.7955361;0.33491862;1634.4142;-6832.726;-5198.312;-1421.8203;0.0;0.0;1838.2656
25.275;0.7951517;0.33759558;1633.0186;-6830.6123;-5197.5938;-1404.266;0.0;0.0;1838.2656
25.28;0.7947673;0.3421479;1631.5701;-6826.853;-5195.283;-1376.264;0.0;0.0;1838.2656
25.285;0.7943624;0.34805638;1630.0618;-6822.295;-5192.2334;-1340.6632;0.0;0.0;1838.2656
25.29;0.7939628;0.3555431;1628.6733;-6816.5654;-5187.892;-1296.5986;0.0;0.0;1838.2656
25.295;0.7936391;0.3641929;1627.7606;-6809.874;-5182.1133;-1247.0713;0.0;0.0;1838.2656
25.3;0.79349273;0.3727651;1627.7;-6803.1914;-5175.491;-1199.6761;0.0;0.0;1838.2656
25.305;0.7935918;0.37994716;1628.6619;-6798.135;-5169.4727;-1161.9923;0.0;0.0;1838.2656
25.31;0.79393286;0.38477626;1630.5142;-6794.768;-5164.254;-1139.0654;0.0;0.0;1838.2656
25.315;0.79443496;0.3863961;1632.8129;-6793.94;-5161.127;-1134.7297;0.0;0.0;1838.2656
25.32;0.7949526;0.3845732;1634.9316;-6795.736;-5160.804;-1149.0204;0.0;0.0;1838.2656
25.325;0.7953293;0.3803139;1636.3025;-6798.9805;-5162.6777;-1175.2511;0.0;0.0;1838.2656
25.33;0.79546297;0.37478206;1636.6565;-6802.7383;-5166.082;-1206.4661;0.0;0.0;1838.2656
25.335;0.7953479;0.36913407;1636.1194;-6806.0005;-5169.881;-1236.5393;0.0;0.0;1838.2656
25.34;0.7950666;0.36399007;1635.0581;-6808.703;-5173.645;-1262.7849;0.0;0.0;1838.2656
25.345;0.7947184;0.3600536;1633.8984;-6810.214;-5176.3154;-1282.1744;0.0;0.0;1838.2656
25.35;0.7944064;0.35689282;1632.9509;-6811.121;-5178.17;-1297.7104;0.0;0.0;1838.2656
25.355;0.79416883;0.35409147;1632.3445;-6811.891;-5179.547;-1311.9464;0.0;0.0;1838.2656
25.36;0.7940243;0.3515325;1632.0962;-6812.366;-5180.27;-1325.5621;0.0;0.0;1838.2656
25.365;0.79395896;0.348724;1632.1711;-6813.0474;-5180.876;-1341.2003;0.0;0.0;1838.2656
25.37;0.79397035;0.3451883;1632.5957;-6814.2744;-5181.6787;-1361.5481;0.0;0.0;1838.2656
25.375;0.7940735;0.34035966;1633.3853;-6816.5127;-5183.1274;-1389.7561;0.0;0.0;1838.2656
25.38;0.79425544;0.33375585;1634.4668;-6820.4443;-5185.9775;-1428.3379;0.0;0.0;1838.2656
25.385;0.7944852;0.32567438;1635.6283;-6825.12;-5189.4917;-1475.2284;0.0;0.0;1838.2656
25.39;0.79468435;0.31581602;1636.5308;-6831.3735;-5194.843;-1531.4004;0.0;0.0;1838.2656
25.395;0.7947719;0.3049577;1636.8965;-6838.2734;-5201.377;-1592.0133;0.0;0.0;1838.2656
25.4;0.7947041;0.29388118;1636.6086;-6845.288;-5208.6797;-1652.5223;0.0;0.0;1838.2656
25.405;0.7944788;0.28351358;1635.7217;-6851.434;-5215.7124;-1707.9236;0.0;0.0;1838.2656
25.41;0.7941315;0.27459753;1634.4259;-6856.1973;-5221.7715;-1754.5023;0.0;0.0;1838.2656
25.415;0.7937241;0.26713124;1632.9961;-6860.06;-5227.064;-1792.8176;0.0;0.0;1838.2656
25.42;0.7933316;0.26143107;1631.7428;-6862.58;-5230.8374;-1821.7463;0.0;0.0;1838.2656
25.425;0.79302645;0.25685546;1630.9458;-6864.5283;-5233.5825;-1845.386;0.0;0.0;1838.2656
25.43;0.7928626;0.25263843;1630.721;-6866.6846;-5235.964;-1868.1923;0.0;0.0;1838.2656
25.435;0.792827;0.24853984;1630.9111;-6869.039;-5238.128;-1891.1755;0.0;0.0;1838.2656
25.44;0.79284465;0.24422202;1631.1498;-6871.833;-5240.683;-1915.4647;0.0;0.0;1838.2656
25.445;0.79281014;0.24017127;1631.0251;-6874.5264;-5243.501;-1937.5546;0.0;0.0;1838.2656
25.45;0.79263806;0.23681511;1630.2797;-6876.823;-5246.5435;-1954.5721;0.0;0.0;1838.2656
25.455;0.792303;0.23498885;1628.905;-6878.041;-5249.1357;-1961.8943;0.0;0.0;1838.2656
25.46;0.79184026;0.23525627;1627.1472;-6877.7866;-5250.6396;-1956.9039;0.0;0.0;1838.2656
25.465;0.7913429;0.2378255;1625.3926;-6875.8174;-5250.425;-1939.2258;0.0;0.0;1838.2656
25.47;0.7909043;0.24225114;1624.0035;-6872.6406;-5248.637;-1912.0413;0.0;0.0;1838.2656
25.475;0.7905985;0.24763022;1623.1655;-6869.317;-5246.1514;-1880.7007;0.0;0.0;1838.2656
25.48;0.79042876;0.25370982;1622.8306;-6865.437;-5242.6064;-1846.5029;0.0;0.0;1838.2656
25.485;0.7903601;0.2597254;1622.7843;-6861.9033;-5239.119;-1813.2358;0.0;0.0;1838.2656
25.49;0.7903208;0.26565063;1622.773;-6858.374;-5235.601;-1780.5366;0.0;0.0;1838.2656
25.495;0.79026264;0.2715515;1622.6377;-6854.823;-5232.1855;-1747.7241;0.0;0.0;1838.2656
25.5;0.7901651;0.2771808;1622.3721;-6851.493;-5229.121;-1716.1484;0.0;0.0;1838.2656
25.505;0.7900511;0.28271544;1622.1106;-6848.1016;-5225.991;-1685.103;0.0;0.0;1838.2656
25.51;0.78996825;0.28804;1622.0896;-6844.7324;-5222.6426;-1655.697;0.0;0.0;1838.2656
25.515;0.7899836;0.29262793;1622.5645;-6841.668;-5219.1035;-1631.3453;0.0;0.0;1838.2656
25.52;0.7901455;0.29514566;1623.6746;-6840.558;-5216.884;-1619.6808;0.0;0.0;1838.2656
25.525;0.7904619;0.29544556;1625.3524;-6841.0684;-5215.716;-1621.3827;0.0;0.0;1838.2656
25.53;0.79087895;0.29298094;1627.3226;-6843.3906;-5216.068;-1638.9149;0.0;0.0;1838.2656
25.535;0.791307;0.28763682;1629.1469;-6847.9756;-5218.8286;-1672.0352;0.0;0.0;1838.2656
25.54;0.7916234;0.27963576;1630.361;-6854.688;-5224.327;-1718.5875;0.0;0.0;1838.2656
25.545;0.7917335;0.2711272;1630.6498;-6860.8994;-5230.2495;-1766.0881;0.0;0.0;1838.2656
25.55;0.79159606;0.26241854;1629.9678;-6867.31;-5237.3423;-1812.7506;0.0;0.0;1838.2656
25.555;0.79124653;0.25499532;1628.5321;-6872.2773;-5243.745;-1850.8169;0.0;0.0;1838.2656
25.56;0.79076487;0.24935904;1626.7053;-6875.8657;-5249.16;-1878.2462;0.0;0.0;1838.2656
25.565;0.7902475;0.24596502;1624.8473;-6877.416;-5252.569;-1893.2474;0.0;0.0;1838.2656
25.57;0.78976834;0.24455914;1623.184;-6877.448;-5254.264;-1897.674;0.0;0.0;1838.2656
25.575;0.78935516;0.2448376;1621.7917;-6876.382;-5254.59;-1893.3539;0.0;0.0;1838.2656
25.58;0.7890123;0.2465182;1620.6509;-6874.1987;-5253.548;-1881.804;0.0;0.0;1838.2656
25.585;0.7887213;0.24915104;1619.6941;-6871.537;-5251.843;-1865.3708;0.0;0.0;1838.2656
25.59;0.7884696;0.25259227;1618.8911;-6868.4556;-5249.5645;-1844.7872;0.0;0.0;1838.2656
25.595;0.78825915;0.2566612;1618.3182;-6865.037;-5246.7188;-1821.202;0.0;0.0;1838.2656
25.6;0.7881273;0.26092792;1618.1332;-6861.536;-5243.403;-1797.302;0.0;0.0;1838.2656
25.605;0.78810835;0.2646036;1618.4299;-6858.9434;-5240.5137;-1777.6246;0.0;0.0;1838.2656
25.61;0.78820086;0.2676284;1619.086;-6856.833;-5237.747;-1762.2559;0.0;0.0;1838.2656
25.615;0.7883316;0.26979455;1619.7168;-6855.3423;-5235.6255;-1751.5714;0.0;0.0;1838.2656
25.62;0.7883852;0.2712173;1619.9202;-6854.5615;-5234.6416;-1744.1322;0.0;0.0;1838.2656
25.625;0.7882995;0.2726994;1619.5901;-6853.5645;-5233.9746;-1735.2985;0.0;0.0;1838.2656
25.63;0.78810346;0.27482453;1618.9365;-6851.876;-5232.9395;-1722.2717;0.0;0.0;1838.2656
25.635;0.7878794;0.27725407;1618.3047;-6850.334;-5232.0293;-1707.6094;0.0;0.0;1838.2656
25.64;0.7877074;0.28017107;1617.9392;-6848.4873;-5230.548;-1690.7919;0.0;0.0;1838.2656
25.645;0.7876141;0.2833962;1617.8285;-6846.37;-5228.5415;-1672.7844;0.0;0.0;1838.2656
25.65;0.7875582;0.28636983;1617.7723;-6844.7695;-5226.997;-1656.2732;0.0;0.0;1838.2656
25.655;0.7874804;0.2897141;1617.5247;-6842.8125;-5225.288;-1637.3348;0.0;0.0;1838.2656
25.66;0.7873247;0.29333508;1616.9083;-6840.7334;-5223.825;-1616.1333;0.0;0.0;1838.2656
25.665;0.7870719;0.2981256;1615.935;-6837.3623;-5221.4272;-1587.7681;0.0;0.0;1838.2656
25.67;0.7867567;0.30398884;1614.8047;-6833.3457;-5218.541;-1553.1726;0.0;0.0;1838.2656
25.675;0.786445;0.31074005;1613.8002;-6828.814;-5215.0137;-1513.932;0.0;0.0;1838.2656
25.68;0.7862059;0.31836316;1613.1691;-6823.492;-5210.323;-1470.63;0.0;0.0;1838.2656
25.685;0.78608155;0.32614067;1613.0308;-6818.085;-5205.054;-1427.462;0.0;0.0;1838.2656
25.69;0.78608143;0.33313158;1613.383;-6813.434;-5200.051;-1389.613;0.0;0.0;1838.2656
25.695;0.7861873;0.33906043;1614.1365;-6809.549;-5195.412;-1358.4236;0.0;0.0;1838.2656
25.7;0.7863708;0.34316656;1615.1471;-6807.254;-5192.107;-1337.8003;0.0;0.0;1838.2656
25.705;0.786592;0.34543365;1616.3281;-6806.1226;-5189.7944;-1327.6598;0.0;0.0;1838.2656
25.71;0.78685224;0.3455931;1617.6909;-6806.6465;-5188.9556;-1329.5061;0.0;0.0;1838.2656
25.715;0.787156;0.34343562;1619.2292;-6808.886;-5189.657;-1344.4808;0.0;0.0;1838.2656
25.72;0.78749007;0.33892936;1620.8433;-6812.959;-5192.1157;-1372.56;0.0;0.0;1838.2656
25.725;0.78781295;0.3320763;1622.3333;-6818.8135;-5196.4805;-1413.3331;0.0;0.0;1838.2656
25.73;0.78806776;0.3235016;1623.4357;-6826.121;-5202.6855;-1462.8258;0.0;0.0;1838.2656
25.735;0.78818476;0.31404945;1623.9092;-6833.795;-5209.8857;-1515.8994;0.0;0.0;1838.2656
25.74;0.7881221;0.30462307;1623.597;-6841.418;-5217.821;-1567.2598;0.0;0.0;1838.2656
25.745;0.7878559;0.29659554;1622.4646;-6847.7314;-5225.2666;-1609.265;0.0;0.0;1838.2656
25.75;0.78740335;0.29026264;1620.6311;-6853.1016;-5232.4707;-1640.5227;0.0;0.0;1838.2656
25.755;0.78681195;0.2870549;1618.3217;-6855.951;-5237.6294;-1653.5938;0.0;0.0;1838.2656
25.76;0.78614855;0.28689277;1615.7949;-6856.7734;-5240.9785;-1649.4346;0.0;0.0;1838.2656
25.765;0.78547114;0.2899909;1613.2905;-6855.3955;-5242.105;-1627.3401;0.0;0.0;1838.2656
25.77;0.7848357;0.29627666;1610.9808;-6851.8027;-5240.822;-1588.056;0.0;0.0;1838.2656
25.775;0.7842657;0.3054141;1608.9316;-6846.197;-5237.265;-1533.5665;0.0;0.0;1838.2656
25.78;0.78376544;0.31677777;1607.1389;-6839.2026;-5232.0635;-1467.3127;0.0;0.0;1838.2656
25.785;0.7833263;0.33043945;1605.5634;-6830.5596;-5224.996;-1388.8203;0.0;0.0;1838.2656
25.79;0.78293914;0.34566805;1604.1802;-6820.871;-5216.691;-1302.0713;0.0;0.0;1838.2656
25.795;0.78260374;0.36211526;1603.0493;-6810.228;-5207.1787;-1209.1066;0.0;0.0;1838.2656
25.8;0.78235114;0.3792582;1602.3218;-6799.2207;-5196.899;-1113.1118;0.0;0.0;1838.2656
25.805;0.7822232;0.39638042;1602.1409;-6788.336;-5186.1953;-1018.3242;0.0;0.0;1838.2656
25.81;0.7822371;0.41282475;1602.5264;-6777.583;-5175.0566;-928.40814;0.0;0.0;1838.2656
25.815;0.78237104;0.42762464;1603.3015;-6768.1387;-5164.837;-848.3399;0.0;0.0;1838.2656
25.82;0.7825558;0.44059363;1604.2048;-6759.904;-5155.699;-778.62537;0.0;0.0;1838.2656
25.825;0.78274286;0.45158327;1605.1556;-6752.627;-5147.471;-719.9214;0.0;0.0;1838.2656
25.83;0.7829524;0.46016434;1606.3185;-6747.04;-5140.7217;-674.9241;0.0;0.0;1838.2656
25.835;0.7832495;0.46634072;1607.9198;-6742.789;-5134.869;-644.06525;0.0;0.0;1838.2656
25.84;0.7836708;0.46924606;1610.0388;-6740.589;-5130.55;-632.281;0.0;0.0;1838.2656
25.845;0.78419983;0.46856558;1612.4624;-6740.791;-5128.3286;-640.8808;0.0;0.0;1838.2656
25.85;0.7847377;0.4638462;1614.72;-6744.087;-5129.367;-671.4223;0.0;0.0;1838.2656
25.855;0.78515434;0.45626444;1616.352;-6748.914;-5132.562;-716.4985;0.0;0.0;1838.2656
25.86;0.7853698;0.44625935;1617.1511;-6755.418;-5138.2666;-773.2726;0.0;0.0;1838.2656
25.865;0.7853822;0.43562132;1617.2161;-6761.5337;-5144.3174;-832.06903;0.0;0.0;1838.2656
25.87;0.7852555;0.42438865;1616.8938;-6767.906;-5151.0117;-893.3705;0.0;0.0;1838.2656
25.875;0.7850968;0.41311824;1616.5804;-6774.111;-5157.5303;-954.8977;0.0;0.0;1838.2656
25.88;0.7849828;0.4015996;1616.4846;-6780.3955;-5163.911;-1018.2291;0.0;0.0;1838.2656
25.885;0.78492326;0.38957945;1616.51;-6787.2812;-5170.7715;-1084.5685;0.0;0.0;1838.2656
25.89;0.78485197;0.37783873;1616.346;-6793.3203;-5176.9746;-1148.988;0.0;0.0;1838.2656
25.895;0.7846851;0.3664567;1615.6958;-6799.374;-5183.678;-1210.4575;0.0;0.0;1838.2656
25.9;0.7843754;0.3559842;1614.4526;-6804.8037;-5190.351;-1265.7246;0.0;0.0;1838.2656
25.905;0.7839302;0.34764552;1612.7147;-6808.449;-5195.7344;-1308.2351;0.0;0.0;1838.2656
25.91;0.7833998;0.34194788;1610.7244;-6809.8203;-5199.0957;-1335.6757;0.0;0.0;1838.2656
25.915;0.7828534;0.33863363;1608.7668;-6809.672;-5200.9053;-1350.0381;0.0;0.0;1838.2656
25.92;0.78235894;0.33755043;1607.0823;-6808.1035;-5201.0215;-1352.6425;0.0;0.0;1838.2656
25.925;0.7819576;0.33817008;1605.8126;-6805.5576;-5199.745;-1346.6859;0.0;0.0;1838.2656
25.93;0.78167135;0.33987513;1604.9968;-6802.6865;-5197.6895;-1335.6514;0.0;0.0;1838.2656
25.935;0.78149366;0.3422611;1604.6316;-6799.4326;-5194.801;-1321.7628;0.0;0.0;1838.2656
25.94;0.7814277;0.34455025;1604.7294;-6796.5176;-5191.788;-1309.3341;0.0;0.0;1838.2656
25.945;0.7814734;0.3464798;1605.2517;-6794.125;-5188.873;-1299.7378;0.0;0.0;1838.2656
25.95;0.78160733;0.3471633;1606.0636;-6793.01;-5186.9463;-1297.5923;0.0;0.0;1838.2656
25.955;0.78178006;0.34660426;1606.9336;-6793.079;-5186.1455;-1302.4152;0.0;0.0;1838.2656
25.96;0.78192914;0.34494346;1607.625;-6793.837;-5186.212;-1312.9569;0.0;0.0;1838.2656
25.965;0.7820065;0.3424388;1608.0149;-6795.3916;-5187.377;-1327.5494;0.0;0.0;1838.2656
25.97;0.78200805;0.33969706;1608.0972;-6796.871;-5188.774;-1342.8341;0.0;0.0;1838.2656
25.975;0.781937;0.33698207;1607.9121;-6798.1436;-5190.2314;-1357.4366;0.0;0.0;1838.2656
25.98;0.7818112;0.33411127;1607.5265;-6799.9307;-5192.4043;-1372.4971;0.0;0.0;1838.2656
25.985;0.7816474;0.33160862;1607.0244;-6801.25;-5194.2256;-1385.2947;0.0;0.0;1838.2656
