time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.6995206;0.004499201
0.01;6.758271e-05;0.0011263785;2.6919587;0.008985799
0.015;0.00026995022;0.0029994468;2.669426;0.013434842
0.02;0.00060597033;0.005049753;2.6324193;0.017822208
0.025;0.00107378;0.0071585337;2.581722;0.022125078
0.03;0.0016708391;0.00928244;2.518352;0.026322331
0.035;0.0023939556;0.011399788;2.4435544;0.030394921
0.04;0.0032393734;0.013497389;2.3586774;0.03432605
0.045;0.0042028395;0.0155660715;2.265177;0.038101345
0.05;0.005279639;0.017598797;2.1645503;0.04170893
0.055;0.006464742;0.019590126;2.0582638;0.04513937
0.06;0.007752793;0.021535536;1.9477509;0.04838562
0.065;0.009138282;0.023431495;1.8343865;0.051442932
0.07;0.010615498;0.025274996;1.7194256;0.05430864
0.075;0.0121787125;0.027063804;1.6040524;0.056982063
0.08;0.0138220675;0.028795974;1.4893153;0.059464253
0.085;0.015539874;0.030470341;1.3761454;0.06175783
0.09;0.01732646;0.032086037;1.2653744;0.06386679
0.095;0.019176256;0.033642557;1.157702;0.06579629
0.1;0.021083878;0.035139795;1.0537275;0.0675525
0.105;0.023044163;0.03657804;0.9539375;0.0691424
0.11;0.02505202;0.037957605;0.85872394;0.070573606
0.115;0.027102789;0.039279405;0.7683923;0.071854256
0.12;0.029191848;0.040544234;0.68315697;0.072992854
0.125;0.031315036;0.04175338;0.6031609;0.07399812
0.13;0.0334683;0.042908076;0.5284789;0.07487892
0.135;0.035647843;0.04400968;0.4591249;0.07564413
0.14;0.037850294;0.045059875;0.39506233;0.076302566
0.145;0.040072236;0.046060044;0.3362062;0.07686291
0.15;0.04231117;0.047012407;0.28243145;0.07733363
0.155;0.044564016;0.047918297;0.23358488;0.07772294
0.16;0.046828397;0.04877958;0.18948075;0.07803874
0.165;0.049102273;0.049598254;0.149912;0.07828859
0.17;0.051383533;0.05037601;0.11465485;0.078479685
0.175;0.05367038;0.051114652;0.08347151;0.0786188
0.18;0.05596145;0.051816154;0.056115944;0.07871233
0.185;0.058255214;0.052482177;0.03233482;0.07876622
0.19;0.060550477;0.053114455;0.011873162;0.07878601
0.195;0.062846415;0.053714886;-0.0055245347;0.0787768
0.2;0.06514181;0.05428484;-0.02011102;0.07874328
0.205;0.06743621;0.05482619;-0.032134395;0.078689724
0.21;0.06972921;0.055340644;-0.041836284;0.078619994
0.215;0.07201968;0.05582921;-0.049450282;0.07853758
0.22;0.07430773;0.056293737;-0.055200703;0.078445576
0.225;0.07659329;0.056735773;-0.05930141;0.078346744
0.23;0.07887551;0.057156168;-0.061955333;0.07824349
0.235;0.081154704;0.05755653;-0.06335277;0.0781379
0.24;0.08343055;0.057937887;-0.063673116;0.07803178
0.245;0.08570327;0.058301542;-0.06308157;0.077926636
0.25;0.0879728;0.05864853;-0.061731737;0.07782375
0.255;0.09023925;0.058979902;-0.059763707;0.077724144
0.26;0.0925028;0.059296668;-0.05730506;0.077628635
0.265;0.09476324;0.059599523;-0.054470826;0.07753786
