time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.8983297;0.0064972164
0.01;9.7624485e-05;0.0016270748;3.8851;0.012972383
0.015;0.0003898318;0.0043314644;3.8458126;0.01938207
0.02;0.00087464554;0.0072887135;3.7815964;0.025684731
0.025;0.0015488304;0.010325536;3.6942348;0.03184179
0.03;0.0024079862;0.013377701;3.5860085;0.03781847
0.035;0.003446668;0.016412705;3.4595828;0.04358444
0.04;0.004658527;0.01941053;3.3178186;0.049114138
0.045;0.0060364245;0.022357127;3.1636496;0.054386888
0.05;0.0075726165;0.025242055;2.9999902;0.05938687
0.055;0.009258895;0.028057259;2.8295863;0.06410285
0.06;0.011086724;0.030796455;2.6550324;0.0685279
0.065;0.013047293;0.033454597;2.4786682;0.072659016
0.07;0.01513183;0.036028165;2.3026;0.07649668
0.075;0.017331433;0.038514294;2.1286635;0.080044456
0.08;0.019637464;0.040911384;1.9584275;0.0833085
0.085;0.022041367;0.043218367;1.7932193;0.0862972
0.09;0.02453474;0.0454347;1.6341248;0.089020744
0.095;0.027109848;0.04756114;1.4820086;0.09149075
0.1;0.02975888;0.04959813;1.337537;0.09371998
0.105;0.032474745;0.051547214;1.2011856;0.09572196
0.11;0.035250604;0.05341001;1.0732746;0.097510755
0.115;0.038079895;0.05518825;0.953978;0.09910072
0.12;0.0409569;0.056884583;0.8433538;0.100506306
0.125;0.043875884;0.05850118;0.74134284;0.10174187
0.13;0.046831805;0.06004078;0.6478011;0.102821544
0.135;0.049820032;0.061506208;0.56251067;0.103759065
0.14;0.052836265;0.06290031;0.48518866;0.10456771
0.145;0.055876546;0.06422591;0.41550717;0.10526022
0.15;0.05893761;0.06548623;0.35309616;0.105848715
0.155;0.06201604;0.06668392;0.29755673;0.10634464
0.16;0.0651094;0.06782229;0.24847202;0.106758766
0.165;0.06821503;0.068904065;0.20541094;0.10710111
0.17;0.071330965;0.06993232;0.16793735;0.10738101
0.175;0.07445501;0.07090954;0.1356146;0.10760704
0.18;0.077585675;0.07183858;0.10801052;0.10778705
0.185;0.08072181;0.07272235;0.084701866;0.107928224
0.19;0.083862066;0.07356322;0.065278284;0.10803702
0.195;0.087005325;0.07436353;0.049344093;0.10811926
0.2;0.09015097;0.075125806;0.03652174;0.10818013
0.205;0.09329875;0.07585264;0.026453;0.10822422
0.21;0.09644722;0.07654542;0.018800724;0.10825555
0.215;0.099597186;0.07720712;0.013249333;0.108277634
0.22;0.10274723;0.077838816;0.009506152;0.10829348
0.225;0.10589785;0.07844285;0.007301152;0.10830565
0.23;0.10904881;0.07902088;0.0063873185;0.108316295
0.235;0.11219988;0.079574384;0.0065403846;0.108327195
0.24;0.11535116;0.08010498;0.0075583626;0.10833979
0.245;0.11850337;0.08061454;0.0092607085;0.108355224
0.25;0.12165544;0.08110363;0.011487551;0.10837437
0.255;0.12480857;0.08157423;0.014098366;0.10839787
0.26;0.12796178;0.08202679;0.016970923;0.10842615
0.265;0.1311162;0.082463026;0.019999804;0.10845949
0.27;0.1342715;0.08288364;0.02309501;0.10849798
0.275;0.13742773;0.083289534;0.026180612;0.108541615
0.28;0.14058568;0.08368195;0.029193832;0.10859027
0.285;0.14374478;0.08406127;0.032083135;0.10864374
0.29;0.14690599;0.08442873;0.034807604;0.10870175
0.295;0.1500684;0.08478441;0.03733525;0.10876398
0.3;0.1532325;0.085129164;0.039642885;0.10883005
0.305;0.15639892;0.08546389;0.041714367;0.10889957
0.31;0.15956767;0.08578907;0.04354006;0.10897214
0.315;0.16273834;0.086104944;0.045116298;0.10904733
0.32;0.16591163;0.08641231;0.046444837;0.10912474
