radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;0.0
0.98;0.0
0.99;0.0
1.0;0.0
1.01;0.0
1.02;0.0
1.03;0.0
1.04;0.03779327
1.05;0.13116871
1.06;0.3149182
1.07;0.9191113
1.08;2.9863136
1.09;12.844173
1.1;23.99433
1.11;21.442583
1.12;15.02335
1.1300000000000001;7.855219
1.1400000000000001;4.2408032
1.1500000000000001;2.1694937
1.16;1.4968299
1.17;0.8679938
1.18;0.46034122
1.19;0.33952272
1.2;0.3035153
1.21;0.12404005
1.22;0.16362117
1.23;0.13326463
1.24;0.110122964
1.25;0.07892945
1.26;0.06538072
1.27;0.073923625
1.28;0.057298463
1.29;0.0265889
1.3;0.07069803
1.31;0.046232183
1.32;0.058050483
1.33;0.05748001
1.34;0.061781697
1.35;0.041279186
1.36;0.010395061
1.37;0.014615974
1.3800000000000001;0.026977966
1.3900000000000001;0.025454054
1.4000000000000001;0.037861355
1.41;0.02223205
1.42;0.024027657
1.43;0.05886034
1.44;0.07923192
1.45;0.057058826
1.46;0.10656608
1.47;0.06672005
1.48;0.076663956
1.49;0.1261833
1.5;0.19921055
1.51;0.32737586
1.52;0.6826894
1.53;1.0137902
1.54;1.7652402
1.55;2.6198509
1.56;2.8358257
1.57;2.722536
1.58;2.5869431
1.59;2.4287543
1.6;1.5679907
1.61;1.2105454
1.62;0.7672882
1.6300000000000001;0.51841635
1.6400000000000001;0.3676127
1.6500000000000001;0.19797513
1.6600000000000001;0.2180988
1.67;0.16347386
1.68;0.14674838
1.69;0.13060594
1.7;0.1152634
1.71;0.0763715
1.72;0.08201715
1.73;0.0657372
1.74;0.06295217
1.75;0.060347766
1.76;0.07555885
1.77;0.078709334
1.78;0.124286376
1.79;0.1775528
1.8;0.340359
1.81;0.59853625
1.82;0.68835306
1.83;0.54082566
1.84;0.4380913
1.85;0.3491878
1.86;0.48936006
1.87;0.7660291
1.8800000000000001;1.444475
1.8900000000000001;2.8264656
1.9000000000000001;5.7106814
1.9100000000000001;7.6728687
1.92;8.218391
1.93;6.648931
1.94;4.9571953
1.95;3.6304677
1.96;2.7806382
1.97;1.9086272
1.98;1.3772507
1.99;1.0685135
2.0;0.795993
2.0100000000000002;0.5902812
2.02;0.48046163
2.0300000000000002;0.4262712
2.04;0.35986432
2.05;0.3550545
2.06;0.3897565
2.07;0.47336933
2.08;0.64741343
2.09;0.7002124
2.1;1.1079531
2.11;1.28057
