radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;8.405881e-06
0.87;0.00013963386
0.88;0.000670349
0.89;0.0027706053
0.9;0.0092678135
0.91;0.025438812
0.92;0.061089966
0.93;0.12489659
0.9400000000000001;0.22389205
0.9500000000000001;0.36692527
0.96;0.5540397
0.97;0.77458096
0.98;1.0183187
0.99;1.2761259
1.0;1.5302305
1.01;1.766947
1.02;1.9664814
1.03;2.144
1.04;2.2791278
1.05;2.3759391
1.06;2.441779
1.07;2.4708874
1.08;2.480735
1.09;2.4583378
1.1;2.4226072
1.11;2.3821714
1.12;2.3208883
1.1300000000000001;2.2439356
1.1400000000000001;2.172355
1.1500000000000001;2.0851188
1.16;2.0045407
1.17;1.9217035
1.18;1.8455019
1.19;1.7670562
1.2;1.6950396
1.21;1.6236812
1.22;1.5574019
1.23;1.4918121
1.24;1.4279932
1.25;1.374691
1.26;1.3191708
1.27;1.2685484
1.28;1.2263751
1.29;1.1811132
1.3;1.1437052
1.31;1.1019319
1.32;1.0656465
1.33;1.0306866
1.34;1.0020177
1.35;0.97582275
1.36;0.94937235
1.37;0.9200625
1.3800000000000001;0.89543533
1.3900000000000001;0.87605137
1.4000000000000001;0.8579392
1.41;0.8437492
1.42;0.82562745
1.43;0.8110691
1.44;0.79643923
1.45;0.7837291
1.46;0.76980513
1.47;0.7608968
1.48;0.7545985
1.49;0.7460261
1.5;0.735291
1.51;0.7309016
1.52;0.72243226
1.53;0.71884006
1.54;0.7174522
1.55;0.7180528
1.56;0.7162057
1.57;0.71468705
1.58;0.7132113
1.59;0.71625346
1.6;0.7147824
1.61;0.7178303
1.62;0.71728146
1.6300000000000001;0.72164756
1.6400000000000001;0.7244016
1.6500000000000001;0.73019886
1.6600000000000001;0.73809457
1.67;0.7439965
1.68;0.7499348
1.69;0.758398
1.7;0.76720935
1.71;0.7758528
1.72;0.78414166
1.73;0.7949576
1.74;0.80557936
1.75;0.815149
1.76;0.8300405
1.77;0.84292257
1.78;0.8555881
1.79;0.8695928
1.8;0.8825469
1.81;0.89552647
1.82;0.9108412
1.83;0.926678
1.84;0.940395
1.85;0.9527478
1.86;0.965535
1.87;0.979174
1.8800000000000001;0.9938061
1.8900000000000001;1.0109302
1.9000000000000001;1.0226986
1.9100000000000001;1.0350195
1.92;1.0471425
1.93;1.0614734
1.94;1.0772556
1.95;1.0903268
1.96;1.104493
1.97;1.1142814
1.98;1.1247867
1.99;1.136702
2.0;1.1470289
2.0100000000000002;1.1563998
2.02;1.1655345
2.0300000000000002;1.1694812
2.04;1.177156
2.05;1.1836463
2.06;1.1865324
2.07;1.190685
