x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-20.26655;-3.8418982;-0.8996258;0.0027651833;0.008989151;0.0071334317;-0.0119122295;0.13149816;-0.04202539;12.25;12.25;12.25;1372;9999.999999866193
-5.2974753;0.2822333;-14.946282;-0.0071219373;-0.0026182416;0.02019263;0.24101155;-0.042301007;0.04166748;12.25;12.25;12.25;1372;9999.999999866193
-22.21352;-15.061181;19.496822;-0.0012903915;0.006156011;-0.0021303657;-0.22930123;-0.12680122;0.035121504;12.25;12.25;12.25;1372;9999.999999866193
-2.366547;-26.992348;-32.74385;-0.007267082;-0.003532322;-0.007019209;-0.2407248;0.15769961;-0.036528632;12.25;12.25;12.25;1372;9999.999999866193
-1.6779668;-21.705685;-5.78079;0.00983942;-0.004175573;0.009551206;-0.2298471;-0.0058175363;-0.04402839;12.25;12.25;12.25;1372;9999.999999866193
-9.538072;-19.56213;-1.2685559;-0.004263737;-0.005895408;0.009594193;0.014102163;0.047444355;0.09403081;12.25;12.25;12.25;1372;9999.999999866193
21.94224;-19.26075;-3.645899;-0.00013355364;-0.001053198;0.012596744;-0.06273867;0.30179533;0.06735048;12.25;12.25;12.25;1372;9999.999999866193
13.861131;9.196076;16.664738;-0.0034361328;-0.0011543616;-0.007417498;0.07072591;0.3658692;-0.090678304;12.25;12.25;12.25;1372;9999.999999866193
29.048214;15.983361;1.4613583;-0.0062553934;-0.0057682884;-0.008720169;0.395234;0.21947694;0.03932367;12.25;12.25;12.25;1372;9999.999999866193
15.280448;16.673306;-4.703419;0.007713259;-0.012728483;-0.0027426472;-0.24692868;-0.026165884;0.23766613;12.25;12.25;12.25;1372;9999.999999866193
-3.6316893;-4.694665;-10.841666;0.01131654;0.008312029;0.010648487;-0.022948455;-0.16778965;-0.09935047;12.25;12.25;12.25;1372;9999.999999866193
17.881536;13.556725;-15.850149;0.0006552191;0.00834307;-0.004001328;-0.06884465;0.14209527;-0.38091862;12.25;12.25;12.25;1372;9999.999999866193
13.942899;-8.81789;-7.1199145;-0.0059625115;-0.006992889;0.0104971565;0.18156028;-0.26669353;0.059672996;12.25;12.25;12.25;1372;9999.999999866193
3.5526273;-0.5682565;18.304476;0.013123362;-0.00014533769;0.0052047824;-0.04570449;-0.15917596;-0.07217576;12.25;12.25;12.25;1372;9999.999999866193
-16.723587;-7.8057213;-8.574799;0.020866742;0.0057273908;0.007751808;0.0014443832;0.1288704;0.045273595;12.25;12.25;12.25;1372;9999.999999866193
6.9240136;-23.423891;-22.146393;0.01226248;-0.0064178705;0.012918809;-0.14821246;0.10818482;0.0040724273;12.25;12.25;12.25;1372;9999.999999866193
37.74905;-4.9029026;4.689826;-0.011935197;0.0038341647;0.0049622916;-0.23869485;0.021856047;0.38990504;12.25;12.25;12.25;1372;9999.999999866193
-18.484694;5.3284616;-15.25051;-0.0041409996;0.002588226;-0.008940043;0.06431525;-0.06852341;-0.056401685;12.25;12.25;12.25;1372;9999.999999866193
1.8806707;17.572598;11.558319;-0.001569042;-0.016055644;-0.0033604193;0.0901772;-0.10596707;-0.12372139;12.25;12.25;12.25;1372;9999.999999866193
18.971626;3.3070297;27.013659;-0.0141912885;0.00036500202;0.009231942;0.27416366;-0.08750313;0.2778924;12.25;12.25;12.25;1372;9999.999999866193
29.137777;-1.256148;-9.961438;-0.013081289;0.0016956001;0.0024352989;0.120856516;0.080086656;0.0114218965;12.25;12.25;12.25;1372;9999.999999866193
12.382829;7.708585;-19.24158;0.0039321757;-0.0019240124;-0.00337496;-0.11158787;-0.058683693;-0.3063311;12.25;12.25;12.25;1372;9999.999999866193
31.318531;-38.454693;3.3305788;0.007996931;-0.01173399;0.0064407303;0.1175817;-0.0119788945;0.27606872;12.25;12.25;12.25;1372;9999.999999866193
21.290205;-10.4413595;-20.997326;-0.022724712;-0.0035674558;-0.0126953665;-0.18385588;0.22384186;0.15220158;12.25;12.25;12.25;1372;9999.999999866193
-7.100138;-9.778807;-33.51525;0.0065393313;0.009033316;-0.009640508;-0.28087237;0.16271074;0.040142186;12.25;12.25;12.25;1372;9999.999999866193
3.6043863;-12.255214;-5.21703;0.0020866066;-0.0069195298;-0.0024230494;0.15725537;0.21548343;-0.1583727;12.25;12.25;12.25;1372;9999.999999866193
24.56601;-32.14932;-21.504059;-0.01060465;-0.0042233216;-0.009407716;0.034741398;0.011019151;0.3223752;12.25;12.25;12.25;1372;9999.999999866193
9.127281;-5.753986;-17.629059;-0.0008105851;0.025778573;0.0043625147;-0.06553755;-0.0781972;-0.017456425;12.25;12.25;12.25;1372;9999.999999866193
-26.508686;-19.583963;2.4859993;0.013036496;0.016234836;0.00841066;0.06640426;0.2230372;0.31099406;12.25;12.25;12.25;1372;9999.999999866193
27.392328;17.753923;-4.551097;-0.001847556;0.004520878;0.0021120708;0.17714217;0.031596724;-0.03478833;12.25;12.25;12.25;1372;9999.999999866193
-16.015543;-3.6158242;1.5055119;-0.010085328;0.012228302;-0.003979708;-0.04978146;0.13187498;0.14571385;12.25;12.25;12.25;1372;9999.999999866193
11.869062;18.558031;-9.973679;0.011401103;-0.005484469;0.0016034647;0.25767902;-0.28858054;-0.004358425;12.25;12.25;12.25;1372;9999.999999866193
41.032547;-22.675823;27.611576;-0.0010591452;0.0010766477;0.004931068;0.07890465;-0.06747894;-0.267177;12.25;12.25;12.25;1372;9999.999999866193
-31.113035;2.1660726;1.4111211;-0.023462536;-0.004399521;-0.008090931;-0.11714671;0.038060393;0.016165154;12.25;12.25;12.25;1372;9999.999999866193
-8.196705;-4.3018637;10.286136;-0.0052853813;-0.0028200236;-0.002037013;0.050750665;-0.21875373;0.10542196;12.25;12.25;12.25;1372;9999.999999866193
-16.063;-13.172279;-34.09297;-0.003903394;-0.004764668;0.012086868;0.31951347;0.1771612;0.0318332;12.25;12.25;12.25;1372;9999.999999866193
-28.70561;18.572514;38.83561;-0.010569426;-0.01000814;-0.0077820616;-0.122663386;0.1326929;0.09566959;12.25;12.25;12.25;1372;9999.999999866193
42.500465;-27.342762;-10.053642;-0.013675777;-0.008219763;0.019761639;0.07002165;0.08260704;0.03465139;12.25;12.25;12.25;1372;9999.999999866193
18.581575;-1.5711224;1.465355;0.010431575;-0.008138882;0.0045025055;-0.061608117;0.079385296;-0.014763017;12.25;12.25;12.25;1372;9999.999999866193
-20.334171;-7.782083;-7.9565105;-0.00095444045;-0.015746813;-0.002850743;0.12528688;0.010879425;-0.14229742;12.25;12.25;12.25;1372;9999.999999866193
9.773851;-12.833061;-43.897285;0.0024659242;0.020335386;-0.002495923;0.035953056;-0.03768614;0.08425149;12.25;12.25;12.25;1372;9999.999999866193
19.778177;8.187825;-7.2120786;-0.00840788;0.0012417666;0.0052614408;-0.14272095;-0.062053166;0.052806675;12.25;12.25;12.25;1372;9999.999999866193
5.611791;2.3076556;-19.408554;-0.009883366;0.007727271;-0.0140060745;0.005684974;-0.20670079;0.10566309;12.25;12.25;12.25;1372;9999.999999866193
-17.055494;11.82355;2.5903978;0.019542292;0.009518135;-0.005160346;0.14430936;0.25006267;-0.19003841;12.25;12.25;12.25;1372;9999.999999866193
-5.072216;3.7785068;-15.351751;-0.02055254;-0.011554942;0.0040223897;0.2225941;-0.007202013;0.008983361;12.25;12.25;12.25;1372;9999.999999866193
-20.195248;-21.127491;16.431421;0.009594661;-0.008518878;-0.012300437;0.17428793;-0.2228599;0.25451478;12.25;12.25;12.25;1372;9999.999999866193
18.067734;-3.792707;-18.680466;-0.00782753;0.0032020847;0.0072329114;0.22235283;-0.12795022;-0.12092095;12.25;12.25;12.25;1372;9999.999999866193
-3.18407;-6.360848;14.41936;-0.0064728367;0.025675653;0.0017243573;-0.13552275;0.16377217;0.11587916;12.25;12.25;12.25;1372;9999.999999866193
-34.67267;-12.736834;3.8451524;-0.0055454825;0.018079948;-0.0025664065;0.023116436;-0.12275426;-0.05865846;12.25;12.25;12.25;1372;9999.999999866193
4.047419;-1.6095713;11.654362;-0.0011028016;0.013172682;0.0064209686;0.047636744;0.035211284;-0.1843394;12.25;12.25;12.25;1372;9999.999999866193
3.4627385;-20.3031;-2.8372946;-0.006243977;0.005001354;0.008156333;-0.1506349;0.22388968;-0.069024056;12.25;12.25;12.25;1372;9999.999999866193
-1.8871309;-23.76368;-20.129072;0.0021107302;-0.0009047762;-0.00402381;-0.119589776;0.29484484;0.039333913;12.25;12.25;12.25;1372;9999.999999866193
11.945097;-2.8071108;-19.938784;0.01543379;-0.010174604;-0.0022770984;0.25618884;-0.191718;-0.04202021;12.25;12.25;12.25;1372;9999.999999866193
-8.74601;-5.4088745;-17.446114;-0.015879162;0.004715261;0.013554637;-0.042322837;-0.26467434;-0.0044300663;12.25;12.25;12.25;1372;9999.999999866193
6.7645845;-19.617754;3.6226256;0.015572819;0.001967388;0.015502104;-0.059368152;0.06465439;0.04388127;12.25;12.25;12.25;1372;9999.999999866193
21.801998;-19.714752;7.598893;-0.00966862;-0.020385146;0.0010194954;-0.17742279;-0.257773;0.07865714;12.25;12.25;12.25;1372;9999.999999866193
-5.421501;11.889506;17.181658;-0.0068523516;-0.0040272907;-0.0047911685;-0.4719721;-0.12451696;-0.09816929;12.25;12.25;12.25;1372;9999.999999866193
3.8749056;-22.503853;5.4831996;0.0009147186;0.0027352138;-0.014020408;-0.10753878;0.03673962;0.002623249;12.25;12.25;12.25;1372;9999.999999866193
-19.10632;7.6798577;7.5832186;-0.009797567;-0.0031329568;0.00076133467;-0.29603508;0.27895465;-0.021050265;12.25;12.25;12.25;1372;9999.999999866193
-23.787672;-5.8140287;-42.025326;-0.017290529;-0.0015223671;0.0009601378;0.10048527;-0.21583231;0.15919426;12.25;12.25;12.25;1372;9999.999999866193
16.189314;-28.505608;-6.5789113;0.0014913687;-0.009698533;0.016642034;0.12221608;-0.28885266;0.20398638;12.25;12.25;12.25;1372;9999.999999866193
8.31025;9.946994;-31.482634;0.010475519;0.004147056;-0.00048081035;0.033877786;-0.070899084;-0.11123084;12.25;12.25;12.25;1372;9999.999999866193
-0.4858524;15.598379;7.8816485;-0.0010901218;-0.0114880465;-0.00440601;-0.14528365;0.021116056;0.28063273;12.25;12.25;12.25;1372;9999.999999866193
-3.4999452;-12.389024;-19.404339;0.00079503166;0.01532344;-0.0080379;-0.12250374;-0.41892892;-0.069313504;12.25;12.25;12.25;1372;9999.999999866193
9.097015;-23.640839;-17.478521;0.007928416;-0.0010053834;0.012742597;0.058249682;-0.35173634;-0.0668431;12.25;12.25;12.25;1372;9999.999999866193
-22.463518;4.209718;-13.082936;0.015078122;0.004499808;0.011661317;-0.008627482;0.052102618;-0.06791723;12.25;12.25;12.25;1372;9999.999999866193
8.3426485;-2.5174127;13.859137;0.00906616;-0.0050073923;-0.011839827;0.057972312;-0.14264095;-0.107895896;12.25;12.25;12.25;1372;9999.999999866193
-12.32579;30.187128;-21.37067;-0.00451616;0.013110152;0.017986575;0.03820694;0.21810539;0.1295625;12.25;12.25;12.25;1372;9999.999999866193
2.5823538;16.8727;-6.556768;0.0016603719;0.0021334747;0.020757746;-0.123227835;-0.013019551;-0.100149415;12.25;12.25;12.25;1372;9999.999999866193
3.1425662;-21.010168;-13.324134;0.0031936313;-0.0041896813;0.017605469;0.018892288;0.08690102;0.09620799;12.25;12.25;12.25;1372;9999.999999866193
-0.3635029;3.7668288;4.6538;0.007097223;-0.0022105123;0.01913473;-0.116829164;0.0045902263;0.021970812;12.25;12.25;12.25;1372;9999.999999866193
-3.1947882;-0.75453585;-6.2820525;0.017385226;-0.002262622;-0.011306131;-0.18814124;0.11746362;0.15994267;12.25;12.25;12.25;1372;9999.999999866193
-37.78821;9.236127;5.3468285;-0.009134096;0.017174931;-0.00010234368;-0.01153385;0.10070088;-0.22511172;12.25;12.25;12.25;1372;9999.999999866193
-46.010056;-2.54465;6.383311;0.002927096;-0.0035058225;0.011097175;0.13127923;-0.07320584;0.013504372;12.25;12.25;12.25;1372;9999.999999866193
-1.5699043;0.1050934;5.203655;-0.0010822754;-0.0067274007;-0.01223841;-0.055783745;-0.013704931;-0.21331462;12.25;12.25;12.25;1372;9999.999999866193
-10.123898;15.4620695;-9.510579;0.00064962916;0.0146761155;-0.015117716;-0.14851284;0.015931327;-0.21118142;12.25;12.25;12.25;1372;9999.999999866193
-24.688509;5.7837915;-17.726524;-0.0071391836;0.004523262;0.0054705446;0.13727419;0.05296473;0.09696763;12.25;12.25;12.25;1372;9999.999999866193
2.885023;-16.456161;-39.953285;0.01690538;-0.0013850853;0.0023742537;-0.10891696;-0.11759824;0.04088564;12.25;12.25;12.25;1372;9999.999999866193
-0.6378929;4.4352365;-40.96449;0.0008313512;0.006219964;0.0062957266;-0.18479906;0.116506055;-0.16402581;12.25;12.25;12.25;1372;9999.999999866193
18.571383;10.852133;-7.1234913;-0.0018051342;0.010375799;-0.021012785;0.07538699;0.097787075;0.24499735;12.25;12.25;12.25;1372;9999.999999866193
-17.708696;-0.20431668;8.571378;-0.0037738374;-0.006053917;0.0055573005;-0.033401262;0.059124734;-0.12162136;12.25;12.25;12.25;1372;9999.999999866193
