time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
3225.005;0.010011935;-0.81798136;20.573563;-9917.601;-9897.027;-4552.148;0.0;0.0;1838.2656
3225.01;0.010010518;-0.81780493;20.571857;-9917.705;-9897.133;-4551.172;0.0;0.0;1838.2656
3225.015;0.010009146;-0.81772125;20.570831;-9917.879;-9897.308;-4550.7085;0.0;0.0;1838.2656
3225.02;0.010008037;-0.8175075;20.570541;-9917.82;-9897.25;-4549.529;0.0;0.0;1838.2656
3225.025;0.010007006;-0.8173034;20.57047;-9917.736;-9897.166;-4548.4033;0.0;0.0;1838.2656
3225.03;0.010005986;-0.81712556;20.570244;-9917.719;-9897.148;-4547.4224;0.0;0.0;1838.2656
3225.035;0.010004863;-0.81699026;20.569912;-9917.803;-9897.232;-4546.675;0.0;0.0;1838.2656
3225.04;0.010003771;-0.8167275;20.568947;-9917.6455;-9897.076;-4545.2246;0.0;0.0;1838.2656
3225.045;0.010002324;-0.8164992;20.566944;-9917.523;-9896.956;-4543.961;0.0;0.0;1838.2656
3225.05;0.010000716;-0.8163228;20.564001;-9917.498;-9896.934;-4542.9824;0.0;0.0;1838.2656
3225.055;0.009998807;-0.8161627;20.55975;-9917.523;-9896.964;-4542.0913;0.0;0.0;1838.2656
3225.06;0.009996547;-0.8160572;20.55456;-9917.654;-9897.1;-4541.499;0.0;0.0;1838.2656
3225.065;0.0099941995;-0.81595975;20.548353;-9917.686;-9897.137;-4540.949;0.0;0.0;1838.2656
3225.07;0.009991447;-0.8158447;20.540989;-9917.739;-9897.198;-4540.3;0.0;0.0;1838.2656
3225.075;0.009988549;-0.8155963;20.533003;-9917.617;-9897.084;-4538.9136;0.0;0.0;1838.2656
3225.08;0.009985511;-0.81527865;20.524593;-9917.336;-9896.812;-4537.1455;0.0;0.0;1838.2656
3225.085;0.009982436;-0.81510687;20.515703;-9917.303;-9896.787;-4536.18;0.0;0.0;1838.2656
3225.09;0.009979183;-0.81483823;20.506493;-9917.1;-9896.593;-4534.68;0.0;0.0;1838.2656
3225.095;0.00997595;-0.8147718;20.497665;-9917.212;-9896.714;-4534.296;0.0;0.0;1838.2656
3225.1;0.009972923;-0.8145669;20.48952;-9917.221;-9896.731;-4533.15;0.0;0.0;1838.2656
3225.105;0.009970035;-0.81436443;20.48215;-9917.104;-9896.621;-4532.0186;0.0;0.0;1838.2656
3225.11;0.0099674;-0.81419766;20.475525;-9917.078;-9896.603;-4531.0854;0.0;0.0;1838.2656
3225.115;0.009964877;-0.8139978;20.469833;-9916.994;-9896.524;-4529.972;0.0;0.0;1838.2656
3225.12;0.009962696;-0.81393087;20.465662;-9917.156;-9896.69;-4529.5947;0.0;0.0;1838.2656
3225.125;0.009960926;-0.8137526;20.46273;-9917.12;-9896.657;-4528.606;0.0;0.0;1838.2656
3225.13;0.009959327;-0.81367916;20.46039;-9917.168;-9896.708;-4528.1963;0.0;0.0;1838.2656
3225.135;0.009957842;-0.81354284;20.458351;-9917.182;-9896.724;-4527.4404;0.0;0.0;1838.2656
3225.14;0.009956383;-0.81340957;20.456867;-9917.098;-9896.641;-4526.702;0.0;0.0;1838.2656
3225.145;0.0099551445;-0.81325686;20.45591;-9917.037;-9896.581;-4525.8584;0.0;0.0;1838.2656
3225.15;0.0099539375;-0.8130678;20.45518;-9916.849;-9896.394;-4524.8145;0.0;0.0;1838.2656
3225.155;0.009952783;-0.8129653;20.454166;-9916.843;-9896.389;-4524.2466;0.0;0.0;1838.2656
3225.16;0.00995144;-0.8127119;20.452696;-9916.564;-9896.111;-4522.846;0.0;0.0;1838.2656
3225.165;0.009950046;-0.812753;20.450842;-9916.743;-9896.292;-4523.0693;0.0;0.0;1838.2656
3225.17;0.009948501;-0.8127388;20.44846;-9916.816;-9896.368;-4522.9863;0.0;0.0;1838.2656
3225.175;0.00994686;-0.8127213;20.445484;-9916.908;-9896.463;-4522.884;0.0;0.0;1838.2656
3225.18;0.009945025;-0.8126529;20.44203;-9916.863;-9896.421;-4522.4995;0.0;0.0;1838.2656
3225.185;0.009943155;-0.8127287;20.437843;-9917.025;-9896.588;-4522.909;0.0;0.0;1838.2656
3225.19;0.009940948;-0.8127824;20.432823;-9917.106;-9896.674;-4523.196;0.0;0.0;1838.2656
3225.195;0.009938681;-0.8127721;20.427704;-9917.207;-9896.779;-4523.1284;0.0;0.0;1838.2656
3225.2;0.009936445;-0.8128511;20.422657;-9917.359;-9896.937;-4523.5537;0.0;0.0;1838.2656
3225.205;0.009934218;-0.8127818;20.417458;-9917.266;-9896.849;-4523.1616;0.0;0.0;1838.2656
3225.21;0.009931921;-0.8128234;20.411991;-9917.326;-9896.914;-4523.38;0.0;0.0;1838.2656
3225.215;0.009929563;-0.8127539;20.406399;-9917.176;-9896.77;-4522.9854;0.0;0.0;1838.2656
3225.22;0.009927223;-0.81271625;20.401402;-9917.119;-9896.718;-4522.768;0.0;0.0;1838.2656
3225.225;0.009925155;-0.81272763;20.396889;-9917.035;-9896.639;-4522.822;0.0;0.0;1838.2656
3225.23;0.009923059;-0.81282973;20.392525;-9917.145;-9896.752;-4523.376;0.0;0.0;1838.2656
3225.235;0.009921065;-0.8128099;20.388695;-9917.133;-9896.744;-4523.259;0.0;0.0;1838.2656
3225.24;0.009919238;-0.81297374;20.385672;-9917.305;-9896.919;-4524.1562;0.0;0.0;1838.2656
3225.245;0.009917624;-0.81304747;20.383423;-9917.331;-9896.947;-4524.5586;0.0;0.0;1838.2656
3225.25;0.009916175;-0.8130933;20.381638;-9917.32;-9896.938;-4524.8076;0.0;0.0;1838.2656
3225.255;0.0099147735;-0.81306034;20.380253;-9917.192;-9896.8125;-4524.623;0.0;0.0;1838.2656
3225.26;0.009913503;-0.8131143;20.379244;-9917.083;-9896.704;-4524.9185;0.0;0.0;1838.2656
3225.265;0.009912274;-0.8132612;20.37846;-9917.143;-9896.764;-4525.7275;0.0;0.0;1838.2656
3225.27;0.009911091;-0.81340235;20.377596;-9917.232;-9896.8545;-4526.504;0.0;0.0;1838.2656
3225.275;0.00990981;-0.8136823;20.376379;-9917.502;-9897.126;-4528.0454;0.0;0.0;1838.2656
3225.28;0.0099084405;-0.8138862;20.374424;-9917.643;-9897.269;-4529.166;0.0;0.0;1838.2656
3225.285;0.009906771;-0.81401473;20.371452;-9917.648;-9897.277;-4529.8687;0.0;0.0;1838.2656
