time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;1.5048658;0.0025081097
0.01;3.767293e-05;0.0006278822;1.50079;0.0050094263
0.015;0.00015048699;0.0016720777;1.4886255;0.0074904687
0.02;0.00033783138;0.0028152617;1.4685614;0.0099380715
0.025;0.000598699;0.003991327;1.4409069;0.012339583
0.03;0.0009316996;0.0051761093;1.406083;0.014683054
0.035;0.0013350907;0.006357575;1.3646005;0.01695739
0.04;0.0018067852;0.007528272;1.3170409;0.019152457
0.045;0.0023444;0.0086829625;1.2640607;0.021259224
0.05;0.002945268;0.00981756;1.2063526;0.023269812
0.055;0.0036065078;0.0109288115;1.1446376;0.025177542
0.06;0.0043250117;0.0120139215;1.0796396;0.026976941
0.065;0.0050975378;0.01307061;1.0120898;0.028663756
0.07;0.00592067;0.014096833;0.94270205;0.030234927
0.075;0.0067909798;0.015091065;0.87216055;0.03168853
0.08;0.007704852;0.016051775;0.80111927;0.033023726
0.085;0.008658808;0.016978053;0.7301861;0.034240704
0.09;0.009649255;0.01786899;0.6599276;0.035340585
0.095;0.010672667;0.018723978;0.59086096;0.03632535
0.1;0.011725597;0.01954266;0.52344805;0.037197765
0.105;0.012804675;0.02032488;0.45810106;0.037961267
0.11;0.013906604;0.021070613;0.39517665;0.038619895
0.115;0.015028268;0.021780098;0.33497882;0.039178193
0.12;0.016166644;0.022453673;0.27776146;0.039641127
0.125;0.017318832;0.023091776;0.22372773;0.040014006
0.13;0.01848219;0.023695117;0.17303315;0.040302396
0.135;0.019654177;0.024264416;0.12579079;0.040512048
0.14;0.020832319;0.02480038;0.0820704;0.040648833
0.145;0.022014575;0.02530411;0.041903976;0.04071867
0.15;0.023198854;0.025776504;0.0052884375;0.040727485
0.155;0.024383323;0.026218627;-0.027811872;0.04068113
0.16;0.025566444;0.026631715;-0.057460822;0.040585365
0.165;0.0267466;0.027016766;-0.08374794;0.040445786
0.17;0.027922498;0.027374998;-0.10678506;0.04026781
0.175;0.029093036;0.027707653;-0.12670325;0.04005664
0.18;0.030257188;0.028015913;-0.1436493;0.03981722
0.185;0.031414144;0.02830103;-0.15778407;0.03955425
0.19;0.032563202;0.028564213;-0.1692781;0.03927212
0.195;0.03370375;0.028806627;-0.17831121;0.038974933
0.2;0.03483537;0.029029474;-0.18506737;0.038666487
0.205;0.035957627;0.029233843;-0.18973473;0.03835026
0.21;0.037070394;0.02942095;-0.19250304;0.038029425
0.215;0.038173568;0.029591912;-0.19356063;0.037706822
0.22;0.039267078;0.029747788;-0.19309361;0.037385
0.225;0.04035087;0.029889535;-0.19128516;0.03706619
0.23;0.041425116;0.030018201;-0.18831156;0.03675234
0.235;0.042489953;0.030134719;-0.18434347;0.0364451
0.24;0.043545414;0.030239873;-0.1795442;0.03614586
0.245;0.044592023;0.03033471;-0.1740669;0.035855748
0.25;0.045630082;0.030420056;-0.16805768;0.03557565
0.255;0.046659477;0.03049639;-0.16165146;0.035306234
0.26;0.047680866;0.030564658;-0.15497307;0.035047945
0.265;0.048694465;0.030625451;-0.14813545;0.03480105
0.27;0.049700703;0.030679444;-0.14124258;0.03456565
0.275;0.05069992;0.030727223;-0.13438581;0.03434167
0.28;0.051692296;0.030769225;-0.12764663;0.034128927
0.285;0.052678388;0.030806076;-0.12109514;0.0339271
0.29;0.05365838;0.03083815;-0.114790976;0.033735786
0.295;0.054632593;0.030865872;-0.10878354;0.03355448
0.3;0.055601403;0.030889668;-0.10311276;0.033382624
0.305;0.05656503;0.030909853;-0.09780902;0.03321961
0.31;0.057523664;0.030926703;-0.09289436;0.033064783
0.315;0.05847773;0.030940596;-0.08838286;0.03291748
0.32;0.05942744;0.030951794;-0.08428071;0.03277701
0.325;0.06037293;0.03096048;-0.08058811;0.0326427
0.33;0.061314262;0.0309668;-0.07729928;0.032513864
0.335;0.062251616;0.030970953;-0.07440259;0.03238986
0.34;0.06318551;0.030973291;-0.071882784;0.03227006
0.345;0.064115584;0.030973714;-0.069720626;0.032153856
0.35;0.065042295;0.030972522;-0.06789348;0.0320407
0.355;0.06596546;0.0309697;-0.066376716;0.031930074
0.36;0.06688551;0.030965513;-0.0651432;0.0318215
0.365;0.067802124;0.030959874;-0.064165235;0.03171456
0.37;0.06871558;0.030952964;-0.063413925;0.03160887
0.375;0.06962571;0.030944763;-0.06286003;0.031504102
0.38;0.070532605;0.030935353;-0.062474854;0.031399976
0.385;0.07143677;0.03092501;-0.06222929;0.03129626
