time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.0993671;0.0034989452
0.01;5.254898e-05;0.0008758164;2.0942118;0.0069892984
0.015;0.00020993664;0.0023326294;2.0788267;0.010454009
0.02;0.00047139006;0.0039282506;2.0535018;0.013876513
0.025;0.000835639;0.0055709267;2.0186763;0.017240973
0.03;0.0013009338;0.00722741;1.9749492;0.020532556
0.035;0.001865078;0.008881324;1.923025;0.023737596
0.04;0.002525465;0.010522772;1.8637389;0.02684383
0.045;0.0032791137;0.012144865;1.7979614;0.02984043
0.05;0.0041227397;0.0137424655;1.7266173;0.032718126
0.055;0.005052756;0.015311383;1.6506428;0.035469197
0.06;0.006065353;0.016848203;1.5709686;0.03808748
0.065;0.0071565146;0.018350037;1.4885029;0.04056832
0.07;0.00832214;0.01981462;1.4041091;0.042908497
0.075;0.009557975;0.021239946;1.3186072;0.045106176
0.08;0.010859764;0.02262451;1.2327483;0.047160756
0.085;0.01222315;0.023966959;1.1472298;0.049072806
0.09;0.013643898;0.025266478;1.0626781;0.050843935
0.095;0.015117752;0.026522374;0.9796576;0.0524767
0.1;0.016640594;0.027734322;0.89865;0.05397445
0.105;0.018208291;0.028902052;0.820082;0.055341255
0.11;0.019816944;0.030025672;0.7443108;0.056581773
0.115;0.021462774;0.031105468;0.6716339;0.05770116
0.12;0.023142202;0.032141946;0.602291;0.05870498
0.125;0.024851711;0.033135615;0.536466;0.05959909
0.13;0.026587918;0.034087077;0.47429073;0.060389575
0.135;0.028347805;0.034997292;0.4158562;0.06108267
0.14;0.030128451;0.035867203;0.36120573;0.061684676
0.145;0.0319271;0.03669782;0.31035066;0.06220193
0.15;0.033741243;0.037490267;0.26326594;0.062640704
0.155;0.035568576;0.03824578;0.21989734;0.0630072
0.16;0.03740671;0.038965322;0.18016747;0.06330748
0.165;0.039253835;0.039650336;0.1439728;0.06354743
0.17;0.041108217;0.040302172;0.111195475;0.06373276
0.175;0.042968072;0.040921975;0.08169922;0.063868925
0.18;0.044831842;0.041510962;0.055335455;0.06396115
0.185;0.046698604;0.042070813;0.031946793;0.0640144
0.19;0.048566844;0.042602494;0.011367887;0.064033344
0.195;0.050435618;0.043107364;-0.006571912;0.06402239
0.2;0.052304;0.043586664;-0.022046309;0.063985646
0.205;0.054171376;0.044041768;-0.035230175;0.06392693
0.21;0.05603683;0.044473674;-0.04629823;0.06384976
0.215;0.057900276;0.044883933;-0.055422917;0.06375739
0.22;0.05976059;0.045273174;-0.062773965;0.06365277
0.225;0.061617896;0.045642886;-0.068516426;0.06353857
0.23;0.06347179;0.045994047;-0.072810404;0.063417226
0.235;0.065322086;0.04632772;-0.07580944;0.06329088
0.24;0.067168444;0.04664475;-0.077660844;0.06316144
0.245;0.069011174;0.046946377;-0.07850359;0.0630306
0.25;0.07084995;0.0472333;-0.07846997;0.06289982
0.255;0.072684824;0.04750642;-0.07768343;0.062770344
0.26;0.07451582;0.04776655;-0.0762597;0.062643245
0.265;0.076342955;0.04801444;-0.07430572;0.0625194
0.27;0.07816673;0.048251066;-0.071919955;0.062399536
0.275;0.07998671;0.048476793;-0.069193125;0.062284216
0.28;0.081803195;0.04869238;-0.066206925;0.06217387
0.285;0.08361665;0.04889863;-0.06303558;0.062068813
0.29;0.08542669;0.0490958;-0.059744988;0.061969236
