radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;1.6866352e-06
0.97;8.7558e-05
0.98;0.0011507439
0.99;0.007761732
1.0;0.06710066
1.01;0.26626074
1.02;0.74849284
1.03;1.4682093
1.04;2.750611
1.05;4.056303
1.06;5.5695944
1.07;6.93119
1.08;7.345872
1.09;7.3036594
1.1;7.3947387
1.11;7.0521464
1.12;6.052742
1.1300000000000001;5.363371
1.1400000000000001;4.48914
1.1500000000000001;3.8781023
1.16;3.3201325
1.17;2.8616471
1.18;2.3543415
1.19;1.9501189
1.2;1.7033039
1.21;1.4749862
1.22;1.3985927
1.23;1.1156789
1.24;1.0221608
1.25;0.8720145
1.26;0.81058294
1.27;0.771605
1.28;0.70491236
1.29;0.5863938
1.3;0.5484897
1.31;0.5400656
1.32;0.4906611
1.33;0.53182524
1.34;0.47916412
1.35;0.43732756
1.36;0.39513934
1.37;0.40534666
1.3800000000000001;0.39100847
1.3900000000000001;0.42665735
1.4000000000000001;0.4574248
1.41;0.41250414
1.42;0.4295692
1.43;0.4648566
1.44;0.4183629
1.45;0.39457837
1.46;0.4096929
1.47;0.45090842
1.48;0.40811887
1.49;0.4711008
1.5;0.45094046
1.51;0.44689777
1.52;0.48697585
1.53;0.49252278
1.54;0.4768423
1.55;0.55847925
1.56;0.5326152
1.57;0.53461295
1.58;0.5867736
1.59;0.5754967
1.6;0.5344542
1.61;0.58712506
1.62;0.6010673
1.6300000000000001;0.62305653
1.6400000000000001;0.5843546
1.6500000000000001;0.6832415
1.6600000000000001;0.6575657
1.67;0.7027882
1.68;0.72503436
1.69;0.7728972
1.7;0.72436386
1.71;0.79593015
1.72;0.8625115
1.73;0.8861949
1.74;1.0159836
1.75;1.0133603
1.76;1.0857049
1.77;1.1534595
1.78;1.1832515
1.79;1.3205417
1.8;1.4209847
1.81;1.4374464
1.82;1.5164764
1.83;1.6457735
1.84;1.6203532
1.85;1.7342469
1.86;1.8503952
1.87;1.7354729
1.8800000000000001;1.8389802
1.8900000000000001;1.8910192
1.9000000000000001;1.8718847
1.9100000000000001;1.8556008
1.92;1.9042635
1.93;1.8611895
1.94;1.8247477
1.95;1.831112
1.96;1.656875
1.97;1.6732193
1.98;1.586349
1.99;1.5810745
2.0;1.5091313
2.0100000000000002;1.5279164
2.02;1.438634
2.0300000000000002;1.4330455
2.04;1.4109937
2.05;1.445308
2.06;1.3891855
2.07;1.3804822
2.08;1.3969375
