time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;1.4974513;0.0024957522
0.01;3.7488153e-05;0.00062480255;1.4933283;0.0049846326
0.015;0.00014974563;0.0016638403;1.4810183;0.0074529964
0.02;0.00033615506;0.0028012923;1.4607145;0.00988752
0.025;0.0005956974;0.0039713155;1.4327354;0.012275413
0.03;0.0009269674;0.005149819;1.3975075;0.014604593
0.035;0.0013281984;0.006324754;1.3555533;0.016863847
0.04;0.0017972845;0.0074886857;1.3074687;0.019042961
0.045;0.0023318208;0.008636373;1.2539278;0.021132842
0.05;0.0029291078;0.0097636925;1.1956272;0.023125554
0.055;0.0035862266;0.0108673535;1.1333005;0.025014387
0.06;0.004300057;0.011944603;1.067697;0.026793884
0.065;0.0050673075;0.012993096;0.9995539;0.028459806
0.07;0.005884554;0.014010842;0.92959446;0.03000913
0.075;0.0067483094;0.014996243;0.85851455;0.03143999
0.08;0.0076549887;0.015947893;0.78697926;0.03275162
0.085;0.008601037;0.016864778;0.7156041;0.033944294
0.09;0.009582864;0.017746044;0.6449655;0.035019238
0.095;0.010596877;0.018591013;0.57558167;0.03597854
0.1;0.011639719;0.019399531;0.5079228;0.036825076
0.105;0.012707892;0.020171257;0.44240215;0.037562415
0.11;0.0137981875;0.020906344;0.3793799;0.038194712
0.115;0.014907399;0.021604925;0.3191592;0.038726646
0.12;0.016032537;0.022267412;0.2619947;0.039163303
0.125;0.017170785;0.02289438;0.20808792;0.039510116
0.13;0.01831938;0.023486385;0.1575933;0.03977277
0.135;0.019475767;0.024044156;0.11061798;0.039957136
0.14;0.020637676;0.024568662;0.06722849;0.04006918
0.145;0.021802982;0.0250609;0.02745144;0.040114935
0.15;0.022969566;0.025521738;-0.008722847;0.040100396
0.155;0.024135677;0.02595234;-0.04133624;0.040031504
0.16;0.025299689;0.026353842;-0.070459865;0.03991407
0.165;0.026460154;0.026727427;-0.09619041;0.039753754
0.17;0.027615746;0.027074262;-0.11864724;0.039556008
0.175;0.028765446;0.027395664;-0.1379682;0.03932606
0.18;0.029908117;0.0276927;-0.15430826;0.03906888
0.185;0.031043064;0.027966723;-0.167834;0.038789157
0.19;0.032169703;0.028219037;-0.17872372;0.038491283
0.195;0.033287216;0.028450614;-0.1871625;0.038179345
0.2;0.034395486;0.028662905;-0.19334054;0.03785711
0.205;0.03549413;0.028857017;-0.19745171;0.037528027
0.21;0.036582686;0.029033879;-0.19968924;0.03719521
0.215;0.037661295;0.029194802;-0.20024624;0.036861468
0.22;0.038729936;0.029340861;-0.1993137;0.036529277
0.225;0.039788578;0.029473022;-0.1970762;0.036200818
0.23;0.04083724;0.029592201;-0.19371252;0.03587796
0.235;0.041876376;0.029699558;-0.18939635;0.035562303
0.24;0.042906035;0.029795859;-0.1842909;0.035255153
0.245;0.04392632;0.029881852;-0.17855133;0.034957565
0.25;0.0449377;0.029958466;-0.17232278;0.03467036
0.255;0.045940526;0.030026488;-0.16573918;0.03439413
0.26;0.04693492;0.030086488;-0.15892428;0.034129255
0.265;0.047921468;0.03013929;-0.1519903;0.03387594
0.27;0.048900377;0.030185416;-0.1450379;0.03363421
0.275;0.04987195;0.030225424;-0.13815658;0.033403948
0.28;0.05083668;0.030259928;-0.13142405;0.03318491
0.285;0.05179477;0.030289339;-0.124907374;0.032976728
0.29;0.05274668;0.030314185;-0.11866286;0.032778956
0.295;0.05369256;0.030334782;-0.112734936;0.032591064
0.3;0.054632805;0.030351557;-0.10716079;0.032412466
0.305;0.055567797;0.030364918;-0.101966;0.03224252
0.31;0.05649754;0.030375022;-0.09716858;0.032080572
0.315;0.05742261;0.030382335;-0.09277869;0.031925943
0.32;0.058342565;0.030386753;-0.08879877;0.031777944
0.325;0.05925849;0.03038897;-0.08522463;0.031635903
0.33;0.06016994;0.030388856;-0.08204708;0.03149916
0.335;0.06107728;0.030386705;-0.07925146;0.03136707
0.34;0.061980773;0.03038273;-0.076819144;0.03123904
0.345;0.062880315;0.030376965;-0.07472774;0.031114494
0.35;0.06377617;0.030369608;-0.0729532;0.030992905
0.355;0.064668305;0.030360708;-0.07146772;0.030873792
0.36;0.06555666;0.030350303;-0.07024365;0.03075672
0.365;0.06644183;0.030338733;-0.069252;0.030641299
0.37;0.06732328;0.030325804;-0.06846292;0.030527195
0.375;0.06820138;0.030311724;-0.06784831;0.030414114
0.38;0.069075994;0.03029649;-0.067379;0.030301815
0.385;0.06994734;0.030280234;-0.067027844;0.030190103
0.39;0.07081506;0.030262846;-0.06676876;0.03007882
0.395;0.071679816;0.030244648;-0.066576794;0.02996786
0.4;0.07254074;0.030225309;-0.06642949;0.029857144
0.405;0.073398575;0.030205175;-0.06630563;0.029746635
0.41;0.07425311;0.030184193;-0.06618637;0.029636323
0.415;0.07510416;0.030162314;-0.06605463;0.029526234
0.42;0.07595211;0.030139728;-0.06589593;0.029416407
0.425;0.0767966;0.030116312;-0.06569705;0.029306911
0.43;0.0776378;0.030092169;-0.06544781;0.029197833
