x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-12.332907;-7.85875;-7.4923644;0.1657672;-0.9473306;0.34790578;-2.8614142;-5.792508;3.928643;12.25;12.25;12.25;1372;75.00000000000428
-6.296212;-0.053669248;-7.3647695;0.715735;0.6310201;-0.30201536;15.167263;-0.707939;-21.50912;12.25;12.25;12.25;1372;75.00000000000428
-9.038922;-5.8428593;-2.2224095;1.6232966;-0.5611085;2.0355911;-3.5762126;8.3180485;17.008705;12.25;12.25;12.25;1372;75.00000000000428
0.8986912;-8.029832;-8.8901005;-0.24973054;0.27279127;-0.27979204;-4.1080213;-10.423256;22.29739;12.25;12.25;12.25;1372;75.00000000000428
-5.5323253;-1.7900928;-6.2551537;0.146778;-0.7982935;-0.61558235;-11.169437;5.9810233;8.025546;12.25;12.25;12.25;1372;75.00000000000428
2.1487968;-0.10355105;-6.830699;-1.3453007;-0.4235113;-0.052129228;-7.655527;-3.072481;-8.183694;12.25;12.25;12.25;1372;75.00000000000428
-0.53454417;-1.4935597;-2.5727844;-0.051965613;-0.20906982;0.60763;5.482911;0.51757395;-13.750929;12.25;12.25;12.25;1372;75.00000000000428
-5.693177;-2.3383708;-4.472059;-0.47776058;-1.1010206;-0.9674101;-8.1678;4.2436247;5.8259535;12.25;12.25;12.25;1372;75.00000000000428
-1.6698884;-1.4885856;-0.53472275;-0.10128563;-0.043725498;0.6473769;1.3338466;-0.8309768;-2.2008636;12.25;12.25;12.25;1372;75.00000000000428
-0.42083743;-2.5026577;-3.288505;-1.0596821;-0.8104831;0.10495232;-53.50832;-42.60612;-3.9935784;12.25;12.25;12.25;1372;75.00000000000428
-4.1692066;-6.570817;-4.837618;-0.6690568;-0.78333825;-0.79861826;11.567264;-11.01044;-11.831428;12.25;12.25;12.25;1372;75.00000000000428
1.4052998;-4.605861;-0.12553357;-0.76272976;-0.2810177;-0.988257;0.9718061;-3.317125;2.7221847;12.25;12.25;12.25;1372;75.00000000000428
0.06009143;-5.5918536;-3.005761;1.6756443;-1.2887573;-0.88439804;7.162907;-2.5812347;-13.526869;12.25;12.25;12.25;1372;75.00000000000428
-0.20078343;-3.5448086;-6.191632;0.69879746;0.7659526;-0.82655066;-27.52533;2.0698802;-11.15574;12.25;12.25;12.25;1372;75.00000000000428
-0.34757268;-8.581453;0.21353802;0.17450443;0.5394557;1.4530195;-16.628338;-5.4042525;-6.01804;12.25;12.25;12.25;1372;75.00000000000428
-2.746883;-1.3723323;-7.2123337;-0.19519936;-0.5990011;1.4703188;-10.647672;-16.995863;4.777011;12.25;12.25;12.25;1372;75.00000000000428
2.9384668;-4.0490656;-0.062456083;-0.86827314;-0.44668493;-0.50673205;0.1819622;8.509935;-11.412554;12.25;12.25;12.25;1372;75.00000000000428
0.92894;-2.2991538;-7.3379083;-0.18715383;0.5149765;2.0444603;8.434121;25.8705;-2.8362837;12.25;12.25;12.25;1372;75.00000000000428
-2.7334762;-2.8822744;-1.337961;-1.883663;-1.1405476;0.20450582;-6.1607985;-14.232568;-12.507578;12.25;12.25;12.25;1372;75.00000000000428
1.9530871;0.17736113;-5.8506875;-0.12236112;1.212299;0.77203244;-29.764687;35.64659;-5.0924172;12.25;12.25;12.25;1372;75.00000000000428
1.256577;-3.2728164;-7.33996;-1.0092139;1.413099;-1.157212;-1.9450073;-24.624619;-10.596916;12.25;12.25;12.25;1372;75.00000000000428
3.539943;-7.0920634;-4.12847;-0.9243263;0.82007045;1.3606415;63.559208;1.3231968;8.493464;12.25;12.25;12.25;1372;75.00000000000428
