time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.005;0.7789667;0.2666375;1601.8259;-6852.5176;-5250.6914;-1733.2002;0.0;0.0;1838.2656
0.01;0.77958095;0.26781097;1602.1417;-6852.9644;-5250.8228;-1727.3604;0.0;0.0;1838.2656
0.015;0.77925724;0.27104136;1600.4963;-6851.051;-5250.5547;-1706.2546;0.0;0.0;1838.2656
0.02;0.777993;0.27574483;1597.0918;-6847.7974;-5250.7056;-1673.5068;0.0;0.0;1838.2656
0.025;0.7759818;0.28190503;1592.4482;-6842.8975;-5250.449;-1630.2474;0.0;0.0;1838.2656
0.03;0.77352494;0.28878975;1587.2123;-6837.2827;-5250.0703;-1581.8077;0.0;0.0;1838.2656
0.035;0.77093714;0.29556763;1581.9453;-6831.8857;-5249.9404;-1533.8951;0.0;0.0;1838.2656
0.04;0.7684398;0.30235708;1576.9644;-6826.462;-5249.4976;-1486.4908;0.0;0.0;1838.2656
0.045;0.76611495;0.30876493;1572.3024;-6821.4473;-5249.145;-1441.8289;0.0;0.0;1838.2656
0.05;0.76391673;0.31455314;1567.7948;-6817.3213;-5249.5264;-1400.893;0.0;0.0;1838.2656
0.055;0.7617413;0.32065836;1563.2766;-6812.4707;-5249.1943;-1358.1876;0.0;0.0;1838.2656
0.06;0.75954306;0.32652527;1558.805;-6807.6475;-5248.8423;-1316.8895;0.0;0.0;1838.2656
0.065;0.7574266;0.33194467;1554.7463;-6803.115;-5248.369;-1278.8853;0.0;0.0;1838.2656
0.07;0.7556381;0.33611065;1551.6799;-6799.789;-5248.1094;-1249.7778;0.0;0.0;1838.2656
0.075;0.754482;0.33864582;1550.1699;-6798.0566;-5247.8867;-1232.777;0.0;0.0;1838.2656
0.08;0.7541887;0.33937803;1550.5095;-6798.123;-5247.6133;-1229.4181;0.0;0.0;1838.2656
0.085;0.7548064;0.33782217;1552.611;-6800.97;-5248.3594;-1242.2012;0.0;0.0;1838.2656
0.09;0.7562061;0.33517146;1556.0916;-6804.283;-5248.1914;-1263.7805;0.0;0.0;1838.2656
0.095;0.75815505;0.3318415;1560.4641;-6808.3145;-5247.8506;-1290.8896;0.0;0.0;1838.2656
0.1;0.7604245;0.32745057;1565.3313;-6813.446;-5248.1143;-1324.8392;0.0;0.0;1838.2656
0.105;0.7628618;0.32305944;1570.4663;-6818.3037;-5247.8374;-1359.3254;0.0;0.0;1838.2656
0.11;0.76539785;0.3181581;1575.7683;-6823.715;-5247.9463;-1396.9594;0.0;0.0;1838.2656
0.115;0.7679986;0.31330293;1581.1609;-6829.0776;-5247.917;-1434.5197;0.0;0.0;1838.2656
0.12;0.7706202;0.30852872;1586.5095;-6834.5083;-5247.999;-1471.5459;0.0;0.0;1838.2656
0.125;0.77317417;0.3040413;1591.5903;-6839.538;-5247.9478;-1506.4547;0.0;0.0;1838.2656
0.13;0.77553344;0.30040163;1596.1221;-6843.7295;-5247.6074;-1535.5901;0.0;0.0;1838.2656
0.135;0.7775557;0.29741526;1599.8468;-6847.5303;-5247.6836;-1559.5089;0.0;0.0;1838.2656
0.14;0.77913517;0.2954409;1602.5767;-6850.397;-5247.8203;-1575.8567;0.0;0.0;1838.2656
0.145;0.7801944;0.29466823;1604.1779;-6852.255;-5248.077;-1583.3203;0.0;0.0;1838.2656
0.15;0.7806792;0.29520562;1604.5378;-6852.8906;-5248.3525;-1581.0765;0.0;0.0;1838.2656
0.155;0.780535;0.29720336;1603.568;-6852.22;-5248.6523;-1568.1199;0.0;0.0;1838.2656
0.16;0.7797345;0.30053604;1601.3025;-6850.1084;-5248.8057;-1545.2098;0.0;0.0;1838.2656
0.165;0.7783421;0.30489656;1597.9558;-6847.177;-5249.2207;-1514.469;0.0;0.0;1838.2656
0.17;0.7765022;0.31043237;1593.898;-6842.8545;-5248.9565;-1475.8243;0.0;0.0;1838.2656
0.175;0.7744257;0.31616873;1589.5974;-6838.4526;-5248.8555;-1435.5885;0.0;0.0;1838.2656
0.18;0.77235144;0.32168877;1585.5201;-6834.292;-5248.772;-1396.992;0.0;0.0;1838.2656
0.185;0.77048826;0.32691568;1582.031;-6830.466;-5248.4346;-1361.1885;0.0;0.0;1838.2656
0.19;0.76897997;0.33088252;1579.3718;-6827.951;-5248.579;-1333.9938;0.0;0.0;1838.2656
0.195;0.7679142;0.33384296;1577.6453;-6826.631;-5248.9854;-1314.2145;0.0;0.0;1838.2656
0.2;0.7673038;0.33607543;1576.8289;-6825.7026;-5248.874;-1300.27;0.0;0.0;1838.2656
0.205;0.76711535;0.3372126;1576.8125;-6825.8506;-5249.038;-1293.9661;0.0;0.0;1838.2656
0.21;0.7672767;0.33765194;1577.4243;-6826.529;-5249.1045;-1292.7668;0.0;0.0;1838.2656
0.215;0.7676908;0.3376116;1578.3943;-6827.5264;-5249.132;-1294.9293;0.0;0.0;1838.2656
0.22;0.76819247;0.33749166;1579.3148;-6828.4927;-5249.1777;-1297.4316;0.0;0.0;1838.2656
0.225;0.76855516;0.33756444;1579.7324;-6829.165;-5249.4326;-1297.8656;0.0;0.0;1838.2656
0.23;0.768574;0.3386013;1579.3055;-6828.429;-5249.1235;-1291.2937;0.0;0.0;1838.2656
0.235;0.76813096;0.3403491;1577.9402;-6826.7627;-5248.8223;-1278.9242;0.0;0.0;1838.2656
0.24;0.7672551;0.34249958;1575.8442;-6824.801;-5248.9565;-1262.8729;0.0;0.0;1838.2656
0.245;0.7661135;0.34507918;1573.4418;-6822.21;-5248.768;-1243.8419;0.0;0.0;1838.2656
0.25;0.764943;0.34737766;1571.2104;-6819.845;-5248.635;-1226.7037;0.0;0.0;1838.2656
0.255;0.7639619;0.34918875;1569.5356;-6818.207;-5248.6714;-1213.3663;0.0;0.0;1838.2656
0.26;0.763324;0.3501906;1568.6482;-6817.394;-5248.746;-1206.0664;0.0;0.0;1838.2656
0.265;0.7630986;0.35046688;1568.6067;-6817.4185;-5248.8115;-1204.4597;0.0;0.0;1838.2656
0.27;0.7632756;0.34990388;1569.3342;-6818.2285;-5248.8945;-1209.0195;0.0;0.0;1838.2656
0.275;0.76379573;0.34912926;1570.7118;-6819.2275;-5248.5156;-1216.0468;0.0;0.0;1838.2656
0.28;0.7646097;0.34754965;1572.7039;-6821.1406;-5248.4365;-1228.742;0.0;0.0;1838.2656
0.285;0.7657338;0.3450799;1575.4102;-6824.0713;-5248.661;-1247.7748;0.0;0.0;1838.2656
0.29;0.7672422;0.3419239;1578.9556;-6827.7603;-5248.8047;-1272.2703;0.0;0.0;1838.2656
0.295;0.769171;0.3378762;1583.2888;-6832.4536;-5249.165;-1303.259;0.0;0.0;1838.2656
0.3;0.7714264;0.33371225;1588.0652;-6837.1206;-5249.0557;-1335.7751;0.0;0.0;1838.2656
0.305;0.77377135;0.32955396;1592.7153;-6841.88;-5249.1646;-1368.0076;0.0;0.0;1838.2656
0.31;0.77590275;0.3260124;1596.6438;-6845.9253;-5249.2812;-1395.3954;0.0;0.0;1838.2656
0.315;0.777555;0.32384372;1599.3926;-6848.3896;-5248.997;-1412.8529;0.0;0.0;1838.2656
0.32;0.77855355;0.3228265;1600.699;-6849.5137;-5248.8145;-1421.0753;0.0;0.0;1838.2656
0.325;0.7788188;0.32314736;1600.4962;-6849.206;-5248.71;-1418.9005;0.0;0.0;1838.2656
0.33;0.7783681;0.32448563;1598.9448;-6847.8027;-5248.858;-1408.4172;0.0;0.0;1838.2656
0.335;0.7773406;0.32677257;1596.4625;-6845.254;-5248.7915;-1390.8407;0.0;0.0;1838.2656
0.34;0.7759981;0.3291064;1593.6589;-6842.587;-5248.9277;-1372.3629;0.0;0.0;1838.2656
0.345;0.7746612;0.33104503;1591.1783;-6840.407;-5249.229;-1356.7106;0.0;0.0;1838.2656
0.35;0.7736235;0.3324226;1589.5164;-6838.551;-5249.034;-1345.7896;0.0;0.0;1838.2656
0.355;0.7730659;0.33240983;1588.8944;-6838.3477;-5249.453;-1344.6161;0.0;0.0;1838.2656
0.36;0.7730228;0.33148074;1589.2528;-6838.9717;-5249.7188;-1350.4565;0.0;0.0;1838.2656
0.365;0.77340573;0.32996333;1590.3181;-6840.038;-5249.7197;-1360.9556;0.0;0.0;1838.2656
0.37;0.7740432;0.32834667;1591.6946;-6841.052;-5249.3574;-1372.624;0.0;0.0;1838.2656
0.375;0.7747299;0.32624584;1592.9907;-6842.5894;-5249.5986;-1386.8019;0.0;0.0;1838.2656
0.38;0.7752955;0.32448447;1593.9385;-6843.875;-5249.9365;-1398.411;0.0;0.0;1838.2656
0.385;0.77565014;0.3232643;1594.3962;-6844.442;-5250.046;-1406.0555;0.0;0.0;1838.2656
0.39;0.77573824;0.3227311;1594.2174;-6844.1714;-5249.954;-1408.6383;0.0;0.0;1838.2656
0.395;0.7754663;0.32275409;1593.1525;-6843.34;-5250.1875;-1406.3817;0.0;0.0;1838.2656
0.4;0.7746906;0.32395536;1590.9495;-6841.301;-5250.3516;-1395.351;0.0;0.0;1838.2656
0.405;0.7733239;0.32605267;1587.5806;-6838.203;-5250.6226;-1377.047;0.0;0.0;1838.2656
0.41;0.77143586;0.32916337;1583.3901;-6833.589;-5250.1987;-1351.5112;0.0;0.0;1838.2656
0.415;0.76928866;0.33206606;1579.0636;-6829.2734;-5250.21;-1326.8503;0.0;0.0;1838.2656
0.42;0.76727706;0.3340944;1575.4441;-6825.9585;-5250.5146;-1308.4254;0.0;0.0;1838.2656
0.425;0.7658132;0.3346206;1573.3228;-6824.173;-5250.85;-1301.2809;0.0;0.0;1838.2656
0.43;0.76524156;0.3333397;1573.2455;-6824.1113;-5250.8657;-1308.1903;0.0;0.0;1838.2656
0.435;0.76574016;0.32980812;1575.3755;-6826.456;-5251.0806;-1331.9263;0.0;0.0;1838.2656
0.44;0.7672868;0.32467997;1579.4597;-6830.1367;-5250.677;-1368.3752;0.0;0.0;1838.2656
0.445;0.7696628;0.31800357;1584.9121;-6835.5337;-5250.6216;-1416.0992;0.0;0.0;1838.2656
0.45;0.7725267;0.31064236;1590.9707;-6841.739;-5250.768;-1468.8119;0.0;0.0;1838.2656
0.455;0.77548975;0.3036872;1596.8615;-6847.212;-5250.3506;-1518.9495;0.0;0.0;1838.2656
0.46;0.77819747;0.29727462;1601.9323;-6852.325;-5250.393;-1564.4554;0.0;0.0;1838.2656
0.465;0.7803774;0.29218006;1605.7386;-6856.167;-5250.428;-1600.1636;0.0;0.0;1838.2656
0.47;0.7818739;0.28853643;1608.0918;-6858.404;-5250.312;-1624.9637;0.0;0.0;1838.2656
0.475;0.78265816;0.2864254;1609.0325;-6859.2827;-5250.25;-1638.487;0.0;0.0;1838.2656
0.48;0.7827966;0.28555804;1608.7561;-6859.08;-5250.324;-1642.7177;0.0;0.0;1838.2656
