time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
90.005;1.3004271;1.5908399;2667.9668;-6254.78;-3586.813;3437.2249;0.0;0.0;1838.2656
90.01;1.3003136;1.5997108;2667.8115;-6247.379;-3579.5674;3486.457;0.0;0.0;1838.2656
90.015;1.3003354;1.607832;2668.3843;-6240.859;-3572.4746;3530.098;0.0;0.0;1838.2656
90.02;1.300725;1.6147722;2669.733;-6235.2734;-3565.5405;3565.6748;0.0;0.0;1838.2656
90.025;1.3008791;1.6200151;2670.3696;-6231.04;-3560.6704;3593.3152;0.0;0.0;1838.2656
90.03;1.3011177;1.6247329;2671.1187;-6226.6895;-3555.5708;3617.8345;0.0;0.0;1838.2656
90.035;1.3011554;1.6279476;2671.7246;-6223.277;-3551.5522;3634.351;0.0;0.0;1838.2656
90.04;1.3015578;1.6291997;2673.5757;-6221.6455;-3548.0698;3637.5542;0.0;0.0;1838.2656
90.045;1.3020115;1.6276964;2675.9583;-6221.74;-3545.782;3624.4985;0.0;0.0;1838.2656
90.05;1.3028551;1.6220478;2679.2996;-6225.184;-3545.8845;3586.665;0.0;0.0;1838.2656
90.055;1.3035414;1.6119348;2682.1985;-6232.003;-3549.8044;3525.096;0.0;0.0;1838.2656
90.06;1.3043501;1.5980572;2685.1768;-6242.093;-3556.916;3442.607;0.0;0.0;1838.2656
90.065;1.3048785;1.5806366;2687.5981;-6254.71;-3567.1118;3341.6936;0.0;0.0;1838.2656
90.07;1.3056197;1.5604907;2690.4893;-6269.587;-3579.0977;3224.8105;0.0;0.0;1838.2656
90.075;1.3061163;1.537402;2692.2139;-6287.157;-3594.9434;3094.032;0.0;0.0;1838.2656
90.08;1.306378;1.5149033;2691.8987;-6303.815;-3611.9163;2970.587;0.0;0.0;1838.2656
90.085;1.3056406;1.4963049;2687.9922;-6316.616;-3628.624;2875.8328;0.0;0.0;1838.2656
90.09;1.3044232;1.4849929;2682.22;-6323.4814;-3641.2615;2824.994;0.0;0.0;1838.2656
90.095;1.3026782;1.4826851;2675.185;-6323.123;-3647.938;2826.3367;0.0;0.0;1838.2656
90.1;1.301139;1.4893332;2668.9404;-6316.0264;-3647.086;2875.489;0.0;0.0;1838.2656
90.105;1.2996569;1.5028425;2663.6802;-6304.457;-3640.7769;2960.511;0.0;0.0;1838.2656
90.11;1.2988567;1.5209745;2661.045;-6290.424;-3629.379;3065.776;0.0;0.0;1838.2656
90.115;1.2984848;1.5405003;2660.704;-6275.9673;-3615.2632;3174.138;0.0;0.0;1838.2656
90.12;1.2990035;1.5581589;2663.5532;-6264.051;-3600.4976;3265.8235;0.0;0.0;1838.2656
90.125;1.2999259;1.5708021;2667.877;-6256.4727;-3588.5957;3326.9004;0.0;0.0;1838.2656
90.13;1.3012406;1.5779929;2672.6274;-6253.429;-3580.8018;3357.0554;0.0;0.0;1838.2656
90.135;1.3020643;1.5803113;2675.4348;-6253.7324;-3578.2976;3364.2263;0.0;0.0;1838.2656
90.14;1.302615;1.5802007;2677.0198;-6255.6104;-3578.5906;3360.4458;0.0;0.0;1838.2656
90.145;1.3026909;1.5786905;2677.5654;-6257.7227;-3580.1572;3351.0266;0.0;0.0;1838.2656
90.15;1.3029732;1.575837;2678.7056;-6261.0225;-3582.317;3333.0098;0.0;0.0;1838.2656
90.155;1.3031304;1.5715036;2679.5405;-6265.2637;-3585.7231;3307.4426;0.0;0.0;1838.2656
90.16;1.3034347;1.5661163;2680.3633;-6270.229;-3589.8657;3276.0872;0.0;0.0;1838.2656
90.165;1.3033763;1.5602037;2680.148;-6275.135;-3594.9868;3243.9106;0.0;0.0;1838.2656
90.17;1.3033935;1.5546901;2679.9749;-6279.8145;-3599.8396;3213.8508;0.0;0.0;1838.2656
90.175;1.3031609;1.5498333;2679.1562;-6283.587;-3604.4307;3188.7034;0.0;0.0;1838.2656
90.18;1.3030393;1.5466278;2678.2012;-6285.9736;-3607.7725;3172.9353;0.0;0.0;1838.2656
90.185;1.3025244;1.5453765;2676.0713;-6286.662;-3610.5908;3170.2952;0.0;0.0;1838.2656
90.19;1.3020612;1.5471561;2674.023;-6285.008;-3610.9849;3184.2056;0.0;0.0;1838.2656
90.195;1.3014339;1.5514392;2671.9348;-6281.3364;-3609.4016;3212.0024;0.0;0.0;1838.2656
90.2;1.3011882;1.5574349;2671.0745;-6276.7383;-3605.6638;3246.788;0.0;0.0;1838.2656
