time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.9007432;0.006501239
0.01;9.768606e-05;0.0016281011;3.8874464;0.012980316
0.015;0.00039007503;0.004334167;3.8479345;0.01939354
0.02;0.0008751747;0.0072931224;3.7833507;0.025699126
0.025;0.001549735;0.010331566;3.6954837;0.031858265
0.03;0.0024093348;0.013385193;3.5866344;0.03783599
0.035;0.0034484928;0.016421394;3.4594688;0.04360177
0.04;0.004660825;0.019420104;3.3168688;0.049129885
0.045;0.0060391333;0.022367159;3.161789;0.05439953
0.05;0.0075756568;0.02525219;2.997158;0.059394795
0.055;0.009262137;0.028067082;2.825749;0.06410438
0.06;0.01108993;0.030805362;2.6501708;0.06852133
0.065;0.013050249;0.033462178;2.472779;0.072642624
0.07;0.015134247;0.03603392;2.295707;0.0764688
0.075;0.017332934;0.038517628;2.120795;0.08000346
0.08;0.019637693;0.04091186;1.9496474;0.08325288
0.085;0.022039773;0.04321524;1.783588;0.086225525
0.09;0.024530997;0.045427773;1.6237235;0.08893173
0.095;0.02710326;0.047549583;1.4709235;0.09138327
0.1;0.029749066;0.049581774;1.325861;0.09359304
0.105;0.032460976;0.05152536;1.1890116;0.09557472
0.11;0.035232343;0.05338234;1.060706;0.097342566
0.115;0.038056586;0.055154473;0.94111437;0.09891109
0.12;0.040927693;0.05684402;0.8302866;0.1002949
0.125;0.043840382;0.058453843;0.7281629;0.101508506
0.13;0.046789303;0.05998629;0.63459027;0.10256615
0.135;0.0497699;0.061444324;0.54934573;0.10348173
0.14;0.052777752;0.06283066;0.47213292;0.10426862
0.145;0.05580923;0.064148545;0.40261742;0.10493965
0.15;0.05886055;0.06540061;0.34041783;0.10550701
0.155;0.061929002;0.066590324;0.28512526;0.10598222
0.16;0.06501155;0.06772037;0.23631516;0.10637608
0.165;0.06810578;0.068793714;0.19354738;0.10669866
0.17;0.07120973;0.06981346;0.15637933;0.10695929
0.175;0.074321225;0.07078212;0.12436665;0.107166566
0.18;0.077439204;0.071702965;0.09707289;0.107328355
0.185;0.08056164;0.07257805;0.07406996;0.107451804
0.19;0.08368784;0.07341039;0.054943193;0.10754338
0.195;0.08681655;0.07420218;0.039293986;0.10760887
0.2;0.08994749;0.074956246;0.02674177;0.10765344
0.205;0.093079634;0.0756745;0.016926246;0.10768165
0.21;0.09621249;0.07635912;0.009508048;0.107697494
0.215;0.0993458;0.07701225;0.004170176;0.107704446
0.22;0.10247925;0.077635795;0.0006179641;0.107705474
0.225;0.10561271;0.07823164;-0.0014202358;0.10770311
0.23;0.108745836;0.078801334;-0.002193257;0.107699454
0.235;0.11187908;0.079346865;-0.001927245;0.10769624
0.24;0.11501175;0.07986927;-0.000825971;0.107694864
0.245;0.11814484;0.080370635;0.0009285859;0.107696414
0.25;0.12127799;0.080851994;0.0031754938;0.107701704
0.255;0.12441093;0.08131433;0.005773931;0.10771133
0.26;0.12754442;0.081759244;0.008602192;0.107725665
0.265;0.13067785;0.08218733;0.011556449;0.107744925
0.27;0.13381238;0.08260023;0.014549425;0.10776918
0.275;0.1369472;0.0829983;0.017509175;0.10779836
0.28;0.14008306;0.08338277;0.02037747;0.10783232
0.285;0.14321978;0.08375426;0.023108734;0.10787083
0.29;0.1463575;0.08411351;0.025668394;0.10791361
0.295;0.14949648;0.084461294;0.028031811;0.107960336
0.3;0.15263689;0.08479826;0.030183233;0.10801064
0.305;0.15577915;0.08512522;0.03211425;0.10806416
0.31;0.15892269;0.085442305;0.033823133;0.10812054
0.315;0.16206785;0.085750185;0.035313375;0.10817939
0.32;0.16521457;0.08604925;0.036592897;0.10824038
0.325;0.168363;0.08634001;0.037672706;0.10830317
0.33;0.17151351;0.08662298;0.038566675;0.10836744
0.335;0.17466606;0.086898535;0.039290123;0.108432926
0.34;0.17782043;0.087166876;0.039859626;0.10849936
0.345;0.18097624;0.08742814;0.040292237;0.108566515
0.35;0.18413445;0.087683074;0.040605217;0.10863419
0.355;0.18729465;0.08793176;0.040815707;0.10870221
0.36;0.19045685;0.08817446;0.040940017;0.10877045
0.365;0.1936209;0.088411376;0.040994175;0.108838774
0.37;0.1967871;0.088642836;0.040993195;0.108907096
0.375;0.19995546;0.088869095;0.040950436;0.10897534
0.38;0.20312603;0.08909037;0.040878624;0.10904348
0.385;0.20629805;0.08930652;0.040788643;0.10911146
0.39;0.20947239;0.089518115;0.040689513;0.10917927
0.395;0.21264873;0.0897252;0.040588614;0.109246925
0.4;0.21582682;0.089927845;0.040491145;0.109314404
0.405;0.2190076;0.09012658;0.040400844;0.10938174
0.41;0.22218965;0.090321;0.040319525;0.10944894
0.415;0.2253741;0.090511695;0.04024803;0.10951602
0.42;0.22856091;0.09069878;0.040185355;0.109583
0.425;0.23174961;0.0908822;0.04013022;0.10964988
0.43;0.23494041;0.09106217;0.040080592;0.10971668
0.435;0.23813315;0.09123876;0.040034194;0.1097834
0.44;0.24132778;0.09141204;0.03998872;0.10985005
0.445;0.24452488;0.09158235;0.03994166;0.10991662
0.45;0.24772339;0.09174941;0.039891113;0.10998311
0.455;0.2509242;0.091913626;0.03983487;0.1100495
0.46;0.25412697;0.09207498;0.039771028;0.11011578
0.465;0.25733212;0.09223373;0.039698295;0.11018195
0.47;0.26053897;0.0923897;0.03961515;0.11024797
0.475;0.26374802;0.09254317;0.039520435;0.11031384
0.48;0.26695904;0.09269411;0.039413046;0.11037953
0.485;0.27017152;0.092842445;0.039292306;0.110445015
0.49;0.27338624;0.09298851;0.03915705;0.110510275
0.495;0.27660322;0.0931324;0.039006654;0.11057529
0.5;0.27982205;0.09327402;0.03884031;0.11064002
0.505;0.28304222;0.09341328;0.038657516;0.11070445
0.51;0.28626472;0.09355056;0.038457904;0.11076855
0.515;0.28948963;0.09368597;0.038241647;0.11083228
0.52;0.29271618;0.09381929;0.03800905;0.11089563
0.525;0.29594427;0.09395057;0.037760563;0.11095857
0.53;0.29917425;0.09407996;0.03749764;0.111021064
0.535;0.3024069;0.094207756;0.037220936;0.1110831
0.54;0.30563995;0.09433331;0.03693268;0.111144654
0.545;0.30887616;0.09445754;0.036634143;0.11120571
0.55;0.3121138;0.094579935;0.03632754;0.111266255
0.555;0.31535277;0.09470053;0.036015153;0.11132628
0.56;0.31859493;0.09481992;0.035699163;0.11138578
0.565;0.32183757;0.09493734;0.035382554;0.11144475
0.57;0.32508308;0.09505353;0.035067696;0.1115032
0.575;0.32832947;0.095167965;0.03475728;0.11156113
0.58;0.3315775;0.0952809;0.034453284;0.11161855
0.585;0.33482838;0.095392704;0.034157414;0.11167548
0.59;0.33807972;0.09550275;0.033869762;0.111731924
0.595;0.34133422;0.095611826;0.03359019;0.11178791
0.6;0.34459004;0.09571945;0.033317115;0.11184344
0.605;0.34784698;0.09582561;0.033047948;0.11189852
0.61;0.3511058;0.09593055;0.0327792;0.11195315
0.615;0.35436705;0.09603443;0.032506302;0.11200733
0.62;0.3576291;0.09613685;0.03222451;0.11206103
0.625;0.36089215;0.096237905;0.031928528;0.11211425
0.63;0.36415672;0.09633776;0.031613037;0.11216693
0.635;0.36742488;0.09643698;0.031273168;0.11221906
0.64;0.3706933;0.096534714;0.03090442;0.112270564
0.645;0.37396327;0.09663133;0.030503342;0.11232141
0.65;0.37723467;0.09672684;0.030067692;0.11237152
0.655;0.38050812;0.09682141;0.029596198;0.11242084
0.66;0.3837834;0.09691499;0.029089615;0.11246933
0.665;0.38705897;0.09700726;0.028549967;0.11251691
0.67;0.39033678;0.0970987;0.02798091;0.11256354
0.675;0.39361492;0.09718887;0.027387595;0.11260919
0.68;0.39689526;0.09727825;0.026776182;0.11265382
0.685;0.40017802;0.097366914;0.026154025;0.11269741
0.69;0.40346056;0.09745424;0.02552867;0.11273996
0.695;0.40674415;0.09754057;0.02490821;0.11278147
0.7;0.41002992;0.09762617;0.024300428;0.112821974
0.705;0.41331717;0.09771092;0.023712628;0.11286149
0.71;0.4166041;0.09779439;0.023151424;0.11290008
0.715;0.41989297;0.09787715;0.022622583;0.11293778
0.72;0.42318273;0.09795896;0.022130722;0.112974666
0.725;0.42647484;0.09804019;0.021679608;0.1130108
0.73;0.42976645;0.0981202;0.021271942;0.11304625
0.735;0.4330604;0.098199636;0.020909676;0.113081105
0.74;0.43635488;0.09827812;0.020593999;0.11311542
0.745;0.4396497;0.098355636;0.020325597;0.1131493
0.75;0.44294682;0.09843263;0.02010475;0.113182805
0.755;0.44624484;0.0985088;0.01993128;0.11321603
0.76;0.44954297;0.09858399;0.019805057;0.11324903
0.765;0.4528421;0.098658405;0.019725196;0.11328191
0.77;0.45614243;0.09873213;0.019690754;0.11331473
0.775;0.45944336;0.098805025;0.019700574;0.11334756
0.78;0.4627473;0.09887763;0.019753011;0.113380484
0.785;0.46604994;0.09894903;0.019846214;0.113413565
0.79;0.46935326;0.09901968;0.019978147;0.11344686
0.795;0.47265863;0.09908986;0.020146256;0.113480434
0.8;0.47596505;0.09915938;0.020348193;0.11351435
0.805;0.47927243;0.09922825;0.020581461;0.11354865
0.81;0.48258072;0.09929644;0.020843653;0.11358339
0.815;0.48589003;0.09936401;0.021132106;0.11361861
0.82;0.48920044;0.099430986;0.02144446;0.11365435
0.825;0.4925122;0.099497415;0.02177813;0.11369065
0.83;0.49582377;0.09956301;0.02213044;0.11372753
