time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
10.005;1.3377433;1.2972844;2747.4866;-6463.174;-3715.6873;1659.2867;0.0;0.0;1838.2656
10.01;1.3352702;1.3001021;2740.4548;-6460.3867;-3719.932;1688.8892;0.0;0.0;1838.2656
10.015;1.330935;1.3049752;2729.8196;-6454.932;-3725.1125;1737.0336;0.0;0.0;1838.2656
10.02;1.3249961;1.3113004;2716.3203;-6447.6514;-3731.331;1798.9148;0.0;0.0;1838.2656
10.025;1.3178997;1.3178926;2700.9756;-6439.9844;-3739.0088;1865.9585;0.0;0.0;1838.2656
10.03;1.3101726;1.324318;2684.8506;-6432.153;-3747.3022;1933.6442;0.0;0.0;1838.2656
10.035;1.3023107;1.3299462;2668.8733;-6425.2275;-3756.3542;1996.6364;0.0;0.0;1838.2656
10.04;1.2947196;1.3344243;2653.8567;-6419.3506;-3765.494;2051.3655;0.0;0.0;1838.2656
10.045;1.2877861;1.3371133;2640.588;-6415.3535;-3774.7656;2092.7322;0.0;0.0;1838.2656
10.05;1.2818831;1.3379394;2629.7546;-6413.116;-3783.3616;2118.9546;0.0;0.0;1838.2656
10.055;1.2772952;1.3367921;2621.7732;-6412.722;-3790.949;2128.5906;0.0;0.0;1838.2656
10.06;1.2741383;1.3337431;2616.734;-6414.3657;-3797.6318;2121.8547;0.0;0.0;1838.2656
10.065;1.2723931;1.3287694;2614.5417;-6418.1147;-3803.573;2098.81;0.0;0.0;1838.2656
10.07;1.2719915;1.32235;2614.989;-6423.329;-3808.34;2062.5137;0.0;0.0;1838.2656
10.075;1.2727957;1.3150063;2617.7056;-6429.6206;-3811.915;2016.5818;0.0;0.0;1838.2656
10.08;1.2745819;1.3071833;2622.1155;-6436.303;-3814.1877;1964.6189;0.0;0.0;1838.2656
10.085;1.2770259;1.2993314;2627.5933;-6442.98;-3815.3867;1910.3625;0.0;0.0;1838.2656
10.09;1.2798568;1.2919732;2633.6672;-6449.428;-3815.761;1857.6353;0.0;0.0;1838.2656
10.095;1.2828909;1.2851719;2640.043;-6455.323;-3815.2803;1807.376;0.0;0.0;1838.2656
10.1;1.2860199;1.2791455;2646.5479;-6460.4746;-3813.9268;1761.1318;0.0;0.0;1838.2656
10.105;1.2891797;1.2740203;2653.0183;-6465.056;-3812.0378;1719.9263;0.0;0.0;1838.2656
10.11;1.2922702;1.2696013;2659.1794;-6469.1074;-3809.928;1683.2347;0.0;0.0;1838.2656
10.115;1.2951206;1.2669765;2664.602;-6471.332;-3806.73;1657.9142;0.0;0.0;1838.2656
10.12;1.2974926;1.2655818;2668.8044;-6472.7324;-3803.928;1641.8181;0.0;0.0;1838.2656
10.125;1.2991723;1.2662017;2671.532;-6472.009;-3800.4768;1639.7817;0.0;0.0;1838.2656
10.13;1.3001374;1.2678734;2672.9333;-6470.21;-3797.2766;1646.1974;0.0;0.0;1838.2656
10.135;1.3005488;1.270869;2673.427;-6467.1953;-3793.7683;1661.7305;0.0;0.0;1838.2656
10.14;1.3006417;1.2740356;2673.5276;-6464.0454;-3790.5178;1678.9923;0.0;0.0;1838.2656
10.145;1.300674;1.2772033;2673.7483;-6461.1;-3787.3518;1696.0206;0.0;0.0;1838.2656
10.15;1.3008858;1.2799541;2674.559;-6458.873;-3784.314;1709.5684;0.0;0.0;1838.2656
10.155;1.3014855;1.2821733;2676.263;-6457.4326;-3781.1697;1718.3993;0.0;0.0;1838.2656
10.16;1.3025458;1.2836883;2678.7744;-6457.087;-3778.3125;1721.7316;0.0;0.0;1838.2656
