x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-10.340925;-8.754609;1.1782359;0.28461757;1.1250122;2.652999;-5.244374;20.778978;15.84974;12.25;12.25;12.25;1372;0.0
-0.95013255;-12.214583;-12.391389;0.78310746;0.5209794;1.0873312;5.3422894;3.6253824;-16.19317;12.25;12.25;12.25;1372;0.0
5.0961823;-7.1966443;-9.55895;-1.8117472;0.9601581;0.35178563;4.2400746;8.977405;24.001394;12.25;12.25;12.25;1372;0.0
0.7105535;-14.818251;0.36875725;0.5923172;1.06692;-2.635818;22.009062;12.462871;-24.085838;12.25;12.25;12.25;1372;0.0
-4.156946;-5.0029063;-1.1743946;-0.8538368;-1.7907196;-1.125477;-5.336487;-31.187815;44.505867;12.25;12.25;12.25;1372;0.0
-7.453256;-4.732252;-5.699416;-0.34891492;-1.8624837;-0.27638388;-48.35964;83.30916;6.2513494;12.25;12.25;12.25;1372;0.0
-12.743952;-8.958101;-8.882726;0.1345423;-2.3046198;-0.13418917;-2.1872287;11.341428;1.4280087;12.25;12.25;12.25;1372;0.0
-2.205539;2.20316;-17.071196;1.6677238;-1.0441606;-2.1825335;-5.2457056;-2.8315792;8.572488;12.25;12.25;12.25;1372;0.0
0.62940043;-2.1354454;-1.7065079;0.6470229;1.7585711;-0.6172767;3.5844414;6.188426;3.4859016;12.25;12.25;12.25;1372;0.0
-22.115438;5.5854397;-10.232857;-3.1738534;0.2056103;0.07991519;5.4348264;3.2467804;-2.8029952;12.25;12.25;12.25;1372;0.0
-1.5980941;-5.511699;-9.829684;0.4791713;0.8193046;1.3807782;-6.749079;-14.866087;10.265227;12.25;12.25;12.25;1372;0.0
-4.8376083;-6.515858;5.5586476;-0.5639287;-0.59212714;-0.67520607;22.412533;-31.334665;-19.456306;12.25;12.25;12.25;1372;0.0
-2.5587254;-3.0690672;-1.7557698;1.274426;-1.5655893;-0.62642765;16.175575;2.2364528;-27.16165;12.25;12.25;12.25;1372;0.0
